,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A024880,케이피에프,20210823,4250,4390,4235,4380,25105,268,17718000
1,A024880,케이피에프,20210820,4515,4515,4240,4240,96886,268,17718000
2,A024880,케이피에프,20210819,4600,4635,4425,4460,67512,268,17718000
3,A024880,케이피에프,20210818,4415,4650,4405,4595,54482,268,17718000
4,A024880,케이피에프,20210817,4640,4645,4450,4450,81753,268,17718000
5,A024880,케이피에프,20210813,4730,4755,4590,4650,105739,268,17718000
6,A024880,케이피에프,20210812,4725,4800,4715,4760,15969,268,17718000
7,A024880,케이피에프,20210811,4730,4850,4725,4760,41388,268,17718000
8,A024880,케이피에프,20210810,4820,4830,4725,4730,42678,268,17718000
9,A024880,케이피에프,20210809,4840,4885,4800,4820,32552,268,17718000
10,A024880,케이피에프,20210806,4870,4900,4830,4885,60601,268,17718000
11,A024880,케이피에프,20210805,4785,4870,4780,4870,28504,268,17718000
12,A024880,케이피에프,20210804,4735,4835,4725,4825,20964,268,17718000
13,A024880,케이피에프,20210803,4750,4805,4700,4725,40471,268,17718000
14,A024880,케이피에프,20210802,4760,4800,4705,4740,55326,268,17718000
15,A024880,케이피에프,20210730,4935,4935,4795,4800,65395,268,17718000
16,A024880,케이피에프,20210729,4890,4960,4860,4910,57124,268,17718000
17,A024880,케이피에프,20210728,4925,4945,4820,4900,68203,268,17718000
18,A024880,케이피에프,20210727,4890,4990,4890,4925,33604,268,17718000
19,A024880,케이피에프,20210726,4960,4995,4890,4890,74195,268,17718000
20,A024880,케이피에프,20210723,4975,4990,4945,4960,41581,268,17718000
21,A024880,케이피에프,20210722,4960,5000,4950,4970,44569,268,17718000
22,A024880,케이피에프,20210721,5050,5090,4955,4960,103116,268,17718000
23,A024880,케이피에프,20210720,4990,5090,4985,5050,62961,268,17718000
24,A024880,케이피에프,20210719,5110,5120,4980,5090,126543,268,17718000
25,A024880,케이피에프,20210716,5080,5190,5050,5180,93524,268,17718000
26,A024880,케이피에프,20210715,5120,5170,5060,5120,109050,268,17718000
27,A024880,케이피에프,20210714,5100,5180,5020,5120,119382,268,17718000
28,A024880,케이피에프,20210713,5030,5130,5030,5120,107394,268,17718000
29,A024880,케이피에프,20210712,4890,5090,4890,5040,120209,268,17718000
30,A024880,케이피에프,20210709,4975,4980,4780,4890,214048,268,17718000
31,A024880,케이피에프,20210708,5130,5200,4995,5000,179865,268,17718000
32,A024880,케이피에프,20210707,5130,5180,5080,5110,94595,268,17718000
33,A024880,케이피에프,20210706,5030,5200,4885,5130,303960,268,17718000
34,A024880,케이피에프,20210705,5060,5070,4975,5000,121733,268,17718000
35,A024880,케이피에프,20210702,5070,5100,5030,5060,46078,268,17718000
36,A024880,케이피에프,20210701,5070,5110,5010,5080,68983,268,17718000
37,A024880,케이피에프,20210630,5030,5090,5010,5070,63745,268,17718000
38,A024880,케이피에프,20210629,5110,5140,5010,5040,81731,268,17718000
39,A024880,케이피에프,20210628,5060,5130,5040,5100,74450,268,17718000
40,A024880,케이피에프,20210625,5070,5150,5010,5060,50108,268,17718000
41,A024880,케이피에프,20210624,5130,5140,4995,5070,139560,268,17718000
42,A024880,케이피에프,20210623,5190,5250,5100,5130,160172,268,17718000
43,A024880,케이피에프,20210622,5000,5210,5000,5190,283890,268,17718000
44,A024880,케이피에프,20210621,5120,5130,4940,5000,169106,268,17718000
45,A024880,케이피에프,20210618,5110,5190,5080,5170,129725,268,17718000
46,A024880,케이피에프,20210617,5070,5250,5020,5150,294143,268,17718000
47,A024880,케이피에프,20210616,5160,5180,5070,5080,109189,268,17718000
48,A024880,케이피에프,20210615,5080,5220,5060,5160,266434,268,17718000
49,A024880,케이피에프,20210614,5080,5150,5030,5080,145204,268,17718000
50,A024880,케이피에프,20210611,4980,5120,4980,5060,222224,268,17718000
51,A024880,케이피에프,20210610,4950,5060,4915,4980,140847,268,17718000
52,A024880,케이피에프,20210609,4980,5040,4945,4975,109259,268,17718000
53,A024880,케이피에프,20210608,5050,5070,4985,5000,99965,268,17718000
54,A024880,케이피에프,20210607,4995,5070,4935,5050,160076,268,17718000
55,A024880,케이피에프,20210604,4985,5010,4905,4995,103039,268,17718000
56,A024880,케이피에프,20210603,5000,5050,4995,4995,69427,268,17718000
57,A024880,케이피에프,20210602,5000,5080,4980,5000,109443,268,17718000
58,A024880,케이피에프,20210601,4995,5070,4975,5000,118670,268,17718000
59,A024880,케이피에프,20210531,4985,5120,4905,5020,204438,268,17718000
60,A024880,케이피에프,20210528,4975,5020,4935,4985,83038,268,17718000
61,A024880,케이피에프,20210527,5000,5120,4985,5000,229663,268,17718000
62,A024880,케이피에프,20210526,4935,5010,4900,5000,221518,268,17718000
63,A024880,케이피에프,20210525,4760,5050,4740,4975,363472,268,17718000
64,A024880,케이피에프,20210524,4860,4915,4755,4760,154914,268,17718000
65,A024880,케이피에프,20210521,4895,5050,4865,4915,1135031,268,17718000
66,A024880,케이피에프,20210520,4685,4885,4610,4880,343138,268,17718000
67,A024880,케이피에프,20210518,4540,4715,4510,4685,125900,268,17718000
68,A024880,케이피에프,20210517,4645,4665,4485,4560,149874,268,17718000
69,A024880,케이피에프,20210514,4630,4735,4610,4645,65422,268,17718000
70,A024880,케이피에프,20210513,4645,4740,4600,4610,115226,268,17718000
71,A024880,케이피에프,20210512,4885,4950,4605,4755,408734,268,17718000
