,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A004100,태양금속,20210823,1605,1730,1595,1685,2588281,015,36700000
1,A004100,태양금속,20210820,1670,1670,1515,1535,2064388,015,36700000
2,A004100,태양금속,20210819,1800,1815,1680,1680,3087606,015,36700000
3,A004100,태양금속,20210818,1640,1895,1640,1860,22111649,015,36700000
4,A004100,태양금속,20210817,1650,1715,1530,1625,2438064,015,36700000
5,A004100,태양금속,20210813,1515,1850,1485,1660,10983950,015,36700000
6,A004100,태양금속,20210812,1550,1565,1515,1515,122847,015,36700000
7,A004100,태양금속,20210811,1535,1555,1495,1550,217408,015,36700000
8,A004100,태양금속,20210810,1570,1580,1530,1535,142874,015,36700000
9,A004100,태양금속,20210809,1615,1620,1570,1570,136565,015,36700000
10,A004100,태양금속,20210806,1620,1630,1590,1610,141424,015,36700000
11,A004100,태양금속,20210805,1610,1630,1595,1615,128113,015,36700000
12,A004100,태양금속,20210804,1580,1610,1580,1610,66702,015,36700000
13,A004100,태양금속,20210803,1600,1615,1550,1580,207932,015,36700000
14,A004100,태양금속,20210802,1610,1615,1590,1595,164443,015,36700000
15,A004100,태양금속,20210730,1640,1650,1615,1620,170837,015,36700000
16,A004100,태양금속,20210729,1615,1635,1610,1630,104014,015,36700000
17,A004100,태양금속,20210728,1640,1655,1605,1615,104060,015,36700000
18,A004100,태양금속,20210727,1650,1675,1640,1640,156887,015,36700000
19,A004100,태양금속,20210726,1630,1660,1630,1650,168646,015,36700000
20,A004100,태양금속,20210723,1620,1640,1615,1625,99793,015,36700000
21,A004100,태양금속,20210722,1600,1625,1590,1600,202799,015,36700000
22,A004100,태양금속,20210721,1635,1640,1595,1610,277179,015,36700000
23,A004100,태양금속,20210720,1665,1665,1620,1645,197642,015,36700000
24,A004100,태양금속,20210719,1710,1710,1660,1675,181884,015,36700000
25,A004100,태양금속,20210716,1705,1710,1675,1710,240407,015,36700000
26,A004100,태양금속,20210715,1660,1720,1650,1705,382058,015,36700000
27,A004100,태양금속,20210714,1690,1700,1655,1660,252691,015,36700000
28,A004100,태양금속,20210713,1715,1715,1685,1690,170996,015,36700000
29,A004100,태양금속,20210712,1665,1700,1650,1680,239748,015,36700000
30,A004100,태양금속,20210709,1635,1680,1585,1680,570158,015,36700000
31,A004100,태양금속,20210708,1710,1715,1650,1650,520205,015,36700000
32,A004100,태양금속,20210707,1730,1740,1695,1705,305756,015,36700000
33,A004100,태양금속,20210706,1710,1735,1705,1730,235631,015,36700000
34,A004100,태양금속,20210705,1725,1745,1690,1710,311896,015,36700000
35,A004100,태양금속,20210702,1750,1760,1705,1725,505294,015,36700000
36,A004100,태양금속,20210701,1790,1800,1745,1765,436473,015,36700000
