,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A009410,태영건설,20210823,11100,11350,11100,11300,23991,018,38899000
1,A009410,태영건설,20210820,11350,11400,11100,11150,121790,018,38899000
2,A009410,태영건설,20210819,11750,11800,11250,11300,214060,018,38899000
3,A009410,태영건설,20210818,11500,11900,11400,11750,111320,018,38899000
4,A009410,태영건설,20210817,12000,12050,11550,11650,179257,018,38899000
5,A009410,태영건설,20210813,12100,12100,11800,12050,125217,018,38899000
6,A009410,태영건설,20210812,12100,12150,12000,12000,55570,018,38899000
7,A009410,태영건설,20210811,12000,12100,11900,12050,75082,018,38899000
8,A009410,태영건설,20210810,12100,12150,11850,12050,158810,018,38899000
9,A009410,태영건설,20210809,12200,12350,12000,12100,108432,018,38899000
10,A009410,태영건설,20210806,12400,12400,12200,12300,81857,018,38899000
11,A009410,태영건설,20210805,12300,12550,12200,12450,86171,018,38899000
12,A009410,태영건설,20210804,12200,12300,12100,12250,85911,018,38899000
13,A009410,태영건설,20210803,12150,12200,11950,12150,115322,018,38899000
14,A009410,태영건설,20210802,12250,12350,12000,12150,131883,018,38899000
15,A009410,태영건설,20210730,12450,12450,12200,12250,126923,018,38899000
16,A009410,태영건설,20210729,12250,12500,12250,12350,53392,018,38899000
17,A009410,태영건설,20210728,12200,12450,12200,12250,61038,018,38899000
18,A009410,태영건설,20210727,12350,12450,12250,12300,71111,018,38899000
19,A009410,태영건설,20210726,12450,12500,12250,12350,85488,018,38899000
20,A009410,태영건설,20210723,12500,12550,12350,12400,73059,018,38899000
21,A009410,태영건설,20210722,12500,12550,12400,12500,62423,018,38899000
22,A009410,태영건설,20210721,12350,12650,12350,12500,99670,018,38899000
23,A009410,태영건설,20210720,12250,12450,12250,12300,109465,018,38899000
24,A009410,태영건설,20210719,12700,12700,12400,12450,139683,018,38899000
25,A009410,태영건설,20210716,12700,12850,12600,12700,61058,018,38899000
26,A009410,태영건설,20210715,13000,13050,12750,12750,105445,018,38899000
27,A009410,태영건설,20210714,13050,13050,12850,13000,93355,018,38899000
28,A009410,태영건설,20210713,12900,13100,12850,13000,250326,018,38899000
29,A009410,태영건설,20210712,12700,12800,12450,12650,145840,018,38899000
30,A009410,태영건설,20210709,12700,12850,12400,12600,192931,018,38899000
31,A009410,태영건설,20210708,12800,12950,12700,12850,244846,018,38899000
32,A009410,태영건설,20210707,13000,13050,12750,12850,171889,018,38899000
33,A009410,태영건설,20210706,12950,13200,12950,13050,263891,018,38899000
34,A009410,태영건설,20210705,13050,13050,12750,12900,211592,018,38899000
35,A009410,태영건설,20210702,12700,12900,12600,12900,242196,018,38899000
36,A009410,태영건설,20210701,12550,12650,12400,12650,198816,018,38899000
37,A009410,태영건설,20210630,12350,12500,12350,12500,115342,018,38899000
38,A009410,태영건설,20210629,12550,12550,12250,12300,131560,018,38899000
39,A009410,태영건설,20210628,12500,12500,12250,12400,200629,018,38899000
40,A009410,태영건설,20210625,12250,12400,12200,12350,164715,018,38899000
41,A009410,태영건설,20210624,12300,12300,12100,12150,177675,018,38899000
42,A009410,태영건설,20210623,12450,12500,12200,12200,261822,018,38899000
43,A009410,태영건설,20210622,12500,12650,12300,12450,167278,018,38899000
44,A009410,태영건설,20210621,12650,12700,12300,12450,275664,018,38899000
45,A009410,태영건설,20210618,12800,12850,12500,12650,211387,018,38899000
46,A009410,태영건설,20210617,12700,12800,12600,12700,149602,018,38899000
47,A009410,태영건설,20210616,12850,12900,12600,12700,331451,018,38899000
48,A009410,태영건설,20210615,12800,12950,12800,12800,161182,018,38899000
49,A009410,태영건설,20210614,13000,13200,12850,12900,170527,018,38899000
50,A009410,태영건설,20210611,13150,13250,12900,13050,378010,018,38899000
51,A009410,태영건설,20210610,12700,12900,12700,12900,683626,018,38899000
52,A009410,태영건설,20210609,12950,13050,12700,12800,379760,018,38899000
53,A009410,태영건설,20210608,12900,13200,12850,12900,226398,018,38899000
54,A009410,태영건설,20210607,13000,13050,12750,12900,272435,018,38899000
55,A009410,태영건설,20210604,12950,13100,12750,12950,315414,018,38899000
56,A009410,태영건설,20210603,13050,13250,12900,13000,159344,018,38899000
57,A009410,태영건설,20210602,13050,13400,12950,13100,286368,018,38899000
58,A009410,태영건설,20210601,13350,13500,12950,13050,320363,018,38899000
59,A009410,태영건설,20210531,13050,13700,12800,13150,547274,018,38899000
60,A009410,태영건설,20210528,13300,13300,12950,12950,98695,018,38899000
61,A009410,태영건설,20210527,12950,13200,12850,13150,197832,018,38899000
62,A009410,태영건설,20210526,13050,13250,12800,13050,150134,018,38899000
63,A009410,태영건설,20210525,12600,13150,12500,13000,309894,018,38899000
64,A009410,태영건설,20210524,12650,12800,12400,12500,255335,018,38899000
65,A009410,태영건설,20210521,13050,13050,12350,12600,302558,018,38899000
66,A009410,태영건설,20210520,13300,13450,12750,13050,242387,018,38899000
67,A009410,태영건설,20210518,13500,13800,13400,13450,124165,018,38899000
68,A009410,태영건설,20210517,13600,13600,13300,13450,211098,018,38899000
69,A009410,태영건설,20210514,13400,13650,13350,13600,128490,018,38899000
70,A009410,태영건설,20210513,13400,13850,13200,13350,226600,018,38899000
71,A009410,태영건설,20210512,14150,14250,13500,13650,527100,018,38899000
72,A009410,태영건설,20210511,13850,14150,13600,14100,316551,018,38899000
73,A009410,태영건설,20210510,13650,14050,13650,13850,363738,018,38899000
74,A009410,태영건설,20210507,13250,14100,13250,13650,819445,018,38899000
75,A009410,태영건설,20210506,13000,13500,12900,13200,396085,018,38899000
76,A009410,태영건설,20210504,13100,13250,12550,13000,490332,018,38899000
77,A009410,태영건설,20210503,12950,13250,12800,13100,553548,018,38899000
78,A009410,태영건설,20210430,13050,13150,12750,13000,398353,018,38899000
79,A009410,태영건설,20210429,12750,13300,12650,13150,435745,018,38899000
80,A009410,태영건설,20210428,13200,13300,12700,12800,422968,018,38899000
81,A009410,태영건설,20210427,12850,13200,12700,13200,431937,018,38899000
82,A009410,태영건설,20210426,12600,12950,12550,12850,344431,018,38899000
83,A009410,태영건설,20210423,12600,12700,12450,12600,176514,018,38899000
84,A009410,태영건설,20210422,12750,12750,12550,12700,322071,018,38899000
85,A009410,태영건설,20210421,12800,12850,12550,12750,284453,018,38899000
86,A009410,태영건설,20210420,12700,13000,12500,12900,501560,018,38899000
87,A009410,태영건설,20210419,12650,12750,12500,12650,275381,018,38899000
88,A009410,태영건설,20210416,12500,12650,12350,12550,315475,018,38899000
89,A009410,태영건설,20210415,12300,12500,12300,12450,195440,018,38899000
90,A009410,태영건설,20210414,12200,12500,12200,12400,277298,018,38899000
91,A009410,태영건설,20210413,12250,12350,12100,12300,180537,018,38899000
92,A009410,태영건설,20210412,12400,12450,12050,12300,340553,018,38899000
93,A009410,태영건설,20210409,12550,12600,12300,12400,499274,018,38899000
94,A009410,태영건설,20210408,12950,13900,12400,12400,3125685,018,38899000
95,A009410,태영건설,20210407,11850,12150,11800,12100,305257,018,38899000
96,A009410,태영건설,20210406,12000,12100,11850,11900,134875,018,38899000
97,A009410,태영건설,20210405,11900,12050,11800,11950,165547,018,38899000
98,A009410,태영건설,20210402,12000,12000,11800,12000,165787,018,38899000
99,A009410,태영건설,20210401,12050,12050,11850,12000,154889,018,38899000
100,A009410,태영건설,20210331,11900,12050,11750,12000,301985,018,38899000
101,A009410,태영건설,20210330,12400,12400,11850,11900,333512,018,38899000
102,A009410,태영건설,20210329,12500,12700,12300,12400,447886,018,38899000
103,A009410,태영건설,20210326,12400,12750,12400,12500,201835,018,38899000
104,A009410,태영건설,20210325,12500,12650,12300,12400,167913,018,38899000
105,A009410,태영건설,20210324,12650,12650,12350,12500,123050,018,38899000
106,A009410,태영건설,20210323,12550,12700,12400,12650,127497,018,38899000
107,A009410,태영건설,20210322,12400,12550,12100,12550,211465,018,38899000
108,A009410,태영건설,20210319,12600,12700,12300,12350,221169,018,38899000
109,A009410,태영건설,20210318,12400,12750,12350,12700,278334,018,38899000
110,A009410,태영건설,20210317,12150,12600,12150,12350,212318,018,38899000
111,A009410,태영건설,20210316,12100,12250,12000,12150,91599,018,38899000
112,A009410,태영건설,20210315,11700,12100,11600,12000,153546,018,38899000
113,A009410,태영건설,20210312,11750,11900,11600,11700,121373,018,38899000
114,A009410,태영건설,20210311,11500,11800,11400,11600,166493,018,38899000
115,A009410,태영건설,20210310,11800,11850,11450,11550,128280,018,38899000
116,A009410,태영건설,20210309,11800,11900,11450,11700,129802,018,38899000
117,A009410,태영건설,20210308,12000,12050,11650,11750,122313,018,38899000
118,A009410,태영건설,20210305,12100,12100,11850,11950,100552,018,38899000
119,A009410,태영건설,20210304,11900,12150,11750,12150,125105,018,38899000
120,A009410,태영건설,20210303,12000,12350,12000,12050,117488,018,38899000
121,A009410,태영건설,20210302,11850,12050,11750,12000,149973,018,38899000
122,A009410,태영건설,20210226,11800,11900,11600,11850,216984,018,38899000
123,A009410,태영건설,20210225,11800,12150,11800,12050,165699,018,38899000
124,A009410,태영건설,20210224,11800,12000,11650,11800,290415,018,38899000
125,A009410,태영건설,20210223,11800,12050,11650,11950,131613,018,38899000
126,A009410,태영건설,20210222,12050,12650,11750,11850,357316,018,38899000
127,A009410,태영건설,20210219,12000,12100,11650,11950,209302,018,38899000
128,A009410,태영건설,20210218,12100,12250,12050,12100,150310,018,38899000
129,A009410,태영건설,20210217,12100,12300,12000,12150,172945,018,38899000
130,A009410,태영건설,20210216,12200,12300,12050,12150,167128,018,38899000
131,A009410,태영건설,20210215,12300,12400,12050,12150,277480,018,38899000
132,A009410,태영건설,20210210,12400,12400,12150,12300,199735,018,38899000
133,A009410,태영건설,20210209,12450,12600,12200,12400,238159,018,38899000
134,A009410,태영건설,20210208,12450,12750,12300,12450,190030,018,38899000
135,A009410,태영건설,20210205,12700,12800,12100,12450,362348,018,38899000
136,A009410,태영건설,20210204,13150,13200,12450,12600,485723,018,38899000
137,A009410,태영건설,20210203,12500,12900,12250,12850,325962,018,38899000
138,A009410,태영건설,20210202,12500,12600,12200,12400,189946,018,38899000
139,A009410,태영건설,20210201,11950,12450,11850,12400,200695,018,38899000
140,A009410,태영건설,20210129,12450,12550,11600,12050,507507,018,38899000
141,A009410,태영건설,20210128,12150,12500,12150,12400,261188,018,38899000
142,A009410,태영건설,20210127,12600,12800,12450,12550,305012,018,38899000
143,A009410,태영건설,20210126,12950,13100,12300,12600,506033,018,38899000
144,A009410,태영건설,20210125,13100,13100,12800,12950,253325,018,38899000
145,A009410,태영건설,20210122,13150,13400,12900,13150,337530,018,38899000
146,A009410,태영건설,20210121,13550,13650,13200,13300,296780,018,38899000
147,A009410,태영건설,20210120,13700,13750,13200,13400,426575,018,38899000
148,A009410,태영건설,20210119,12750,13950,12750,13650,1087368,018,38899000
149,A009410,태영건설,20210118,12750,13050,12450,12600,391639,018,38899000
150,A009410,태영건설,20210115,12850,12900,12450,12700,238597,018,38899000
151,A009410,태영건설,20210114,12950,13000,12750,12800,138053,018,38899000
152,A009410,태영건설,20210113,12800,13400,12700,12900,545785,018,38899000
153,A009410,태영건설,20210112,12450,12700,12200,12600,418110,018,38899000
154,A009410,태영건설,20210111,12800,12950,12100,12450,657980,018,38899000
155,A009410,태영건설,20210108,12950,13150,12700,12800,398802,018,38899000
156,A009410,태영건설,20210107,12500,13050,12500,12900,493769,018,38899000
157,A009410,태영건설,20210106,12700,12750,12250,12500,533904,018,38899000
158,A009410,태영건설,20210105,12150,12750,11950,12500,639662,018,38899000
159,A009410,태영건설,20210104,11850,12250,11650,12200,564121,018,38899000
160,A009410,태영건설,20201230,11500,12200,11500,11800,934178,018,38899000
161,A009410,태영건설,20201229,11400,11500,11150,11300,587216,018,38899000
162,A009410,태영건설,20201228,11400,11600,11250,11450,404677,018,38899000
163,A009410,태영건설,20201224,11250,11500,11150,11300,384910,018,38899000
164,A009410,태영건설,20201223,11300,11400,10950,11250,445023,018,38899000
165,A009410,태영건설,20201222,11600,11700,11250,11250,517855,018,38899000
166,A009410,태영건설,20201221,11250,11650,11100,11350,338059,018,38899000
