,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,Ω√∞°,∞Ì∞°,¿˙∞°,¡æ∞°,∞≈∑°∑Æ,¡ı±«¿¸ªÍæ˜¡æƒ⁄µÂ,πﬂ«‡¡÷Ωƒºˆ
0,A045340,≈‰≈ªº“«¡∆Æ,20210823,12050,12500,12050,12350,31863,355,8558000
1,A045340,≈‰≈ªº“«¡∆Æ,20210820,12700,13100,12000,12150,136793,355,8558000
2,A045340,≈‰≈ªº“«¡∆Æ,20210819,12450,13400,12400,12650,152469,355,8558000
3,A045340,≈‰≈ªº“«¡∆Æ,20210818,12450,12850,12350,12550,63611,355,8558000
4,A045340,≈‰≈ªº“«¡∆Æ,20210817,13100,13300,12600,12700,110739,355,8558000
5,A045340,≈‰≈ªº“«¡∆Æ,20210813,13400,13450,12600,13050,128581,355,8558000
6,A045340,≈‰≈ªº“«¡∆Æ,20210812,13200,13550,13150,13400,88673,355,8558000
7,A045340,≈‰≈ªº“«¡∆Æ,20210811,13400,13600,13150,13300,73856,355,8558000
8,A045340,≈‰≈ªº“«¡∆Æ,20210810,13850,13850,13200,13450,124683,355,8558000
9,A045340,≈‰≈ªº“«¡∆Æ,20210809,14100,14100,13500,13800,133856,355,8558000
10,A045340,≈‰≈ªº“«¡∆Æ,20210806,13700,14250,13500,14150,286866,355,8558000
11,A045340,≈‰≈ªº“«¡∆Æ,20210805,13050,14050,13000,13600,164187,355,8558000
12,A045340,≈‰≈ªº“«¡∆Æ,20210804,13000,13250,12650,13050,82010,355,8558000
13,A045340,≈‰≈ªº“«¡∆Æ,20210803,13250,13450,12900,13050,104937,355,8558000
14,A045340,≈‰≈ªº“«¡∆Æ,20210802,13650,13800,13300,13350,64144,355,8558000
15,A045340,≈‰≈ªº“«¡∆Æ,20210730,13200,13650,13100,13600,119523,355,8558000
16,A045340,≈‰≈ªº“«¡∆Æ,20210729,13450,13750,13100,13250,109676,355,8558000
17,A045340,≈‰≈ªº“«¡∆Æ,20210728,14200,14200,13400,13500,204010,355,8558000
18,A045340,≈‰≈ªº“«¡∆Æ,20210727,13600,14500,13550,14200,371445,355,8558000
19,A045340,≈‰≈ªº“«¡∆Æ,20210726,13500,13850,13400,13700,128043,355,8558000
20,A045340,≈‰≈ªº“«¡∆Æ,20210723,13650,13800,13500,13650,82946,355,8558000
21,A045340,≈‰≈ªº“«¡∆Æ,20210722,12800,13950,12800,13750,376107,355,8558000
22,A045340,≈‰≈ªº“«¡∆Æ,20210721,13150,13350,12750,12950,153218,355,8558000
23,A045340,≈‰≈ªº“«¡∆Æ,20210720,13250,13550,12950,13150,129452,355,8558000
24,A045340,≈‰≈ªº“«¡∆Æ,20210719,13950,13950,13100,13250,208491,355,8558000
25,A045340,≈‰≈ªº“«¡∆Æ,20210716,13850,14050,13750,13950,92853,355,8558000
26,A045340,≈‰≈ªº“«¡∆Æ,20210715,13850,14200,13800,13900,199264,355,8558000
27,A045340,≈‰≈ªº“«¡∆Æ,20210714,13850,14400,13850,14100,178718,355,8558000
28,A045340,≈‰≈ªº“«¡∆Æ,20210713,13400,14650,13400,13950,493214,355,8558000
29,A045340,≈‰≈ªº“«¡∆Æ,20210712,13950,13950,13400,13400,194953,355,8558000
30,A045340,≈‰≈ªº“«¡∆Æ,20210709,13700,14150,13650,13950,285454,355,8558000
31,A045340,≈‰≈ªº“«¡∆Æ,20210708,14200,14300,13450,13750,566285,355,8558000
32,A045340,≈‰≈ªº“«¡∆Æ,20210707,14650,14850,14200,14300,269946,355,8558000
33,A045340,≈‰≈ªº“«¡∆Æ,20210706,14750,15200,14450,14650,411625,355,8558000
34,A045340,≈‰≈ªº“«¡∆Æ,20210705,16400,16400,14700,14800,812253,355,8558000
35,A045340,≈‰≈ªº“«¡∆Æ,20210702,15800,16800,15600,16400,326917,355,8558000
36,A045340,≈‰≈ªº“«¡∆Æ,20210701,16350,16500,15600,15800,317905,355,8558000
37,A045340,≈‰≈ªº“«¡∆Æ,20210630,16350,16650,16050,16350,295118,355,8558000
38,A045340,≈‰≈ªº“«¡∆Æ,20210629,17050,17250,16100,16200,538146,355,8558000
39,A045340,≈‰≈ªº“«¡∆Æ,20210628,18200,18200,17100,17150,425270,355,8558000
40,A045340,≈‰≈ªº“«¡∆Æ,20210625,18500,18700,17850,17850,267592,355,8558000
41,A045340,≈‰≈ªº“«¡∆Æ,20210624,18700,19000,17250,18500,725086,355,8558000
42,A045340,≈‰≈ªº“«¡∆Æ,20210623,19800,20100,19500,19700,159058,355,8558000
43,A045340,≈‰≈ªº“«¡∆Æ,20210622,19500,19950,19350,19750,137971,355,8558000
44,A045340,≈‰≈ªº“«¡∆Æ,20210621,19850,19900,19500,19550,124706,355,8558000
45,A045340,≈‰≈ªº“«¡∆Æ,20210618,19500,19800,19400,19550,82559,355,8558000
46,A045340,≈‰≈ªº“«¡∆Æ,20210617,19750,20200,19400,19450,238640,355,8558000
47,A045340,≈‰≈ªº“«¡∆Æ,20210616,19800,20050,19600,19750,59017,355,8558000
48,A045340,≈‰≈ªº“«¡∆Æ,20210615,19700,20250,18800,19850,132184,355,8558000
49,A045340,≈‰≈ªº“«¡∆Æ,20210614,20000,20000,19550,19700,89549,355,8558000
50,A045340,≈‰≈ªº“«¡∆Æ,20210611,20400,20400,19950,20000,123982,355,8558000
51,A045340,≈‰≈ªº“«¡∆Æ,20210610,20500,21950,19600,20650,556615,355,8558000
52,A045340,≈‰≈ªº“«¡∆Æ,20210609,20250,20400,19850,20300,100561,355,8558000
53,A045340,≈‰≈ªº“«¡∆Æ,20210608,20250,20650,19800,20000,113349,355,8558000
54,A045340,≈‰≈ªº“«¡∆Æ,20210607,20950,20950,20050,20350,158314,355,8558000
55,A045340,≈‰≈ªº“«¡∆Æ,20210604,21150,22200,21000,21250,405947,355,8558000
56,A045340,≈‰≈ªº“«¡∆Æ,20210603,21100,21850,20600,20950,300245,355,8558000
57,A045340,≈‰≈ªº“«¡∆Æ,20210602,20850,21000,20250,20900,194163,355,8558000
58,A045340,≈‰≈ªº“«¡∆Æ,20210601,19500,20850,19450,20700,324346,355,8558000
59,A045340,≈‰≈ªº“«¡∆Æ,20210531,19800,19800,19350,19500,78868,355,8558000
60,A045340,≈‰≈ªº“«¡∆Æ,20210528,20000,20350,19450,19800,142221,355,8558000
61,A045340,≈‰≈ªº“«¡∆Æ,20210527,20250,20450,19150,19950,122411,355,8558000
62,A045340,≈‰≈ªº“«¡∆Æ,20210526,19600,20350,19400,20250,120687,355,8558000
63,A045340,≈‰≈ªº“«¡∆Æ,20210525,19650,20400,19500,19750,168478,355,8558000
64,A045340,≈‰≈ªº“«¡∆Æ,20210524,20000,20000,19350,19650,131174,355,8558000
65,A045340,≈‰≈ªº“«¡∆Æ,20210521,18950,22250,18950,20000,1122219,355,8558000
66,A045340,≈‰≈ªº“«¡∆Æ,20210520,18950,19150,18750,18950,61148,355,8558000
67,A045340,≈‰≈ªº“«¡∆Æ,20210518,19500,19800,18750,18950,87089,355,8558000
68,A045340,≈‰≈ªº“«¡∆Æ,20210517,19650,19950,19250,19350,100136,355,8558000
69,A045340,≈‰≈ªº“«¡∆Æ,20210514,19900,20500,19500,19650,280175,355,8558000
70,A045340,≈‰≈ªº“«¡∆Æ,20210513,18850,19550,18500,19200,123974,355,8558000
71,A045340,≈‰≈ªº“«¡∆Æ,20210512,20050,20100,19100,19300,73466,355,8558000
72,A045340,≈‰≈ªº“«¡∆Æ,20210511,20100,20350,19600,19950,78418,355,8558000
73,A045340,≈‰≈ªº“«¡∆Æ,20210510,19700,20400,19200,20100,102123,355,8558000
74,A045340,≈‰≈ªº“«¡∆Æ,20210507,19300,20000,18900,19650,74381,355,8558000
75,A045340,≈‰≈ªº“«¡∆Æ,20210506,19300,20000,19100,19300,61547,355,8558000
76,A045340,≈‰≈ªº“«¡∆Æ,20210504,19000,19650,18000,19650,171430,355,8558000
77,A045340,≈‰≈ªº“«¡∆Æ,20210503,20050,20700,19250,19450,112166,355,8558000
78,A045340,≈‰≈ªº“«¡∆Æ,20210430,20950,21150,19900,19950,137561,355,8558000
79,A045340,≈‰≈ªº“«¡∆Æ,20210429,20500,21350,20400,20950,161377,355,8558000
80,A045340,≈‰≈ªº“«¡∆Æ,20210428,20500,20900,20000,20500,132189,355,8558000
81,A045340,≈‰≈ªº“«¡∆Æ,20210427,20500,21050,20000,20550,183136,355,8558000
82,A045340,≈‰≈ªº“«¡∆Æ,20210426,20850,20950,19900,20550,226140,355,8558000
83,A045340,≈‰≈ªº“«¡∆Æ,20210423,22150,22350,20450,21050,303532,355,8558000
84,A045340,≈‰≈ªº“«¡∆Æ,20210422,22700,22700,21750,22150,194259,355,8558000
85,A045340,≈‰≈ªº“«¡∆Æ,20210421,22750,23500,22150,22500,180414,355,8558000
86,A045340,≈‰≈ªº“«¡∆Æ,20210420,23400,23450,22050,22750,246543,355,8558000
