,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A363230,투니플레이,20210823,455,455,393,450,77,699,9795000
1,A363230,투니플레이,20210820,459,460,362,460,36,699,9795000
2,A363230,투니플레이,20210819,470,480,470,478,120,699,9795000
3,A363230,투니플레이,20210818,483,483,483,483,0,699,9795000
4,A363230,투니플레이,20210817,489,489,470,477,178,699,9795000
5,A363230,투니플레이,20210813,476,479,419,420,6345,699,9795000
6,A363230,투니플레이,20210812,499,499,430,485,2235,699,9795000
7,A363230,투니플레이,20210811,500,500,496,496,430,699,9795000
8,A363230,투니플레이,20210810,562,562,424,489,3936,699,9795000
9,A363230,투니플레이,20210809,590,590,421,435,6653,699,9795000
10,A363230,투니플레이,20210806,460,584,442,469,9723,699,9795000
11,A363230,투니플레이,20210805,500,500,450,450,1484,699,9795000
12,A363230,투니플레이,20210804,510,510,462,473,6410,699,9795000
13,A363230,투니플레이,20210803,600,600,465,470,15893,699,9795000
14,A363230,투니플레이,20210802,550,550,472,472,7125,699,9795000
15,A363230,투니플레이,20210730,585,586,480,530,3093,699,9795000
16,A363230,투니플레이,20210729,600,600,540,560,192,699,9795000
17,A363230,투니플레이,20210728,605,605,570,595,286,699,9795000
18,A363230,투니플레이,20210727,586,699,533,587,13430,699,9795000
19,A363230,투니플레이,20210726,480,699,480,586,8469,699,9795000
20,A363230,투니플레이,20210723,595,595,519,540,5731,699,9795000
21,A363230,투니플레이,20210722,615,615,500,579,276,699,9795000
22,A363230,투니플레이,20210721,520,569,490,496,1365,699,9795000
23,A363230,투니플레이,20210720,650,650,515,525,9782,699,9795000
24,A363230,투니플레이,20210719,480,666,480,590,14225,699,9795000
25,A363230,투니플레이,20210716,530,670,515,580,8155,699,9795000
26,A363230,투니플레이,20210715,520,660,520,531,12358,699,9795000
27,A363230,투니플레이,20210714,584,678,531,566,5269,699,9795000
28,A363230,투니플레이,20210713,683,683,507,600,8234,699,9795000
29,A363230,투니플레이,20210712,700,768,607,607,12069,699,9795000
30,A363230,투니플레이,20210709,740,788,651,750,1986,699,9795000
31,A363230,투니플레이,20210708,798,810,702,793,8759,699,9795000
32,A363230,투니플레이,20210707,800,800,611,716,1163,699,9795000
33,A363230,투니플레이,20210706,877,877,770,810,3613,699,9795000
34,A363230,투니플레이,20210705,820,982,705,829,7286,699,9795000
35,A363230,투니플레이,20210702,945,945,745,899,1206,699,9795000
36,A363230,투니플레이,20210701,700,889,700,839,4430,699,9795000
37,A363230,투니플레이,20210630,832,832,832,832,0,699,9795000
38,A363230,투니플레이,20210629,979,979,702,773,4761,699,9795000
39,A363230,투니플레이,20210628,990,990,701,944,6641,699,9795000
40,A363230,투니플레이,20210625,1000,1600,925,925,19784,699,9795000
41,A363230,투니플레이,20210624,1250,1490,1245,1245,12360,699,9795000
42,A363230,투니플레이,20210623,1280,1280,1000,1280,95383,699,9795000
43,A363230,투니플레이,20210622,988,988,985,988,57252,699,9795000
44,A363230,투니플레이,20210621,761,761,760,761,13640,699,9695000
45,A363230,투니플레이,20210618,750,750,500,674,3754,699,9695000
46,A363230,투니플레이,20210617,703,1090,666,741,2037,699,9695000
47,A363230,투니플레이,20210616,1020,1020,712,899,26252,699,9695000
48,A363230,투니플레이,20210615,787,787,785,787,7259,699,9695000
49,A363230,투니플레이,20210614,608,608,600,608,26355,699,9695000
50,A363230,투니플레이,20210611,451,580,451,555,5917,699,9695000
51,A363230,투니플레이,20210610,513,598,510,598,2087,699,9695000
52,A363230,투니플레이,20210609,544,544,511,513,618,699,9695000
53,A363230,투니플레이,20210608,522,676,503,668,6321,699,9695000
54,A363230,투니플레이,20210607,659,659,510,510,304,699,9695000
55,A363230,투니플레이,20210604,519,599,510,520,3456,699,9695000
56,A363230,투니플레이,20210603,690,690,472,590,8840,699,9695000
57,A363230,투니플레이,20210602,455,584,455,472,12073,699,9695000
58,A363230,투니플레이,20210601,620,634,560,561,1388,699,9695000
59,A363230,투니플레이,20210531,660,665,601,601,1138,699,9695000
60,A363230,투니플레이,20210528,661,661,660,660,132,699,9695000
61,A363230,투니플레이,20210527,665,665,631,663,2228,699,9695000
62,A363230,투니플레이,20210526,665,665,610,665,2120,699,9695000
63,A363230,투니플레이,20210525,666,666,665,666,1513,699,9695000
64,A363230,투니플레이,20210524,686,686,637,637,2768,699,9695000
65,A363230,투니플레이,20210521,661,750,661,739,8360,699,9695000
66,A363230,투니플레이,20210520,601,880,601,740,5171,699,9695000
67,A363230,투니플레이,20210518,686,834,686,807,2942,699,9695000
68,A363230,투니플레이,20210517,869,869,609,800,4674,699,9695000
69,A363230,투니플레이,20210514,900,999,800,962,4695,699,9695000
70,A363230,투니플레이,20210513,1220,1220,672,1010,32717,699,9695000
71,A363230,투니플레이,20210512,1100,1300,850,968,4638,699,9695000
72,A363230,투니플레이,20210511,847,1100,847,960,37240,699,9695000
73,A363230,투니플레이,20210510,849,850,813,850,26972,699,9695000
74,A363230,투니플레이,20210507,480,886,479,651,56906,699,9695000
75,A363230,투니플레이,20210506,683,950,683,683,15996,699,9075000
76,A363230,투니플레이,20210504,970,1350,970,1000,18661,699,9075000
77,A363230,투니플레이,20210503,2400,2400,1320,1320,13694,699,9075000
78,A363230,투니플레이,20210430,1870,2895,1660,1660,16245,699,9075000
79,A363230,투니플레이,20210429,2365,2365,1870,2220,56155,699,9075000
80,A363230,투니플레이,20210428,1820,1820,1410,1820,15146,699,9075000
81,A363230,투니플레이,20210427,1400,1400,1390,1400,12276,699,9075000
82,A363230,투니플레이,20210426,1080,1080,1080,1080,7797,699,9075000
83,A363230,투니플레이,20210423,834,834,834,834,3490,699,9075000
84,A363230,투니플레이,20210422,643,643,640,643,21813,699,9075000
85,A363230,투니플레이,20210421,495,495,495,495,14457,699,9075000
86,A363230,투니플레이,20210420,381,382,381,382,17561,699,9075000
87,A363230,투니플레이,20210419,295,295,292,295,8742,699,9075000
88,A363230,투니플레이,20210416,226,228,226,228,10068,699,9075000
89,A363230,투니플레이,20210415,176,176,176,176,3912,699,9075000
90,A363230,투니플레이,20210414,130,137,130,137,10023,699,9075000
91,A363230,투니플레이,20210413,127,127,70,125,142030,699,9075000
92,A363230,투니플레이,20210412,178,178,96,164,63115,699,9075000
93,A363230,투니플레이,20210409,191,236,136,210,20656,699,9075000
94,A363230,투니플레이,20210408,344,344,189,290,16519,699,9075000
95,A363230,투니플레이,20210407,418,418,269,277,1823,699,9075000
96,A363230,투니플레이,20210406,383,383,383,383,1249,699,9075000
97,A363230,투니플레이,20210405,546,546,546,546,1026,699,9075000
98,A363230,투니플레이,20210402,856,856,463,743,398,699,9075000
99,A363230,투니플레이,20210401,660,660,659,659,2,699,9075000
100,A363230,투니플레이,20210331,514,514,509,509,3,699,9075000
101,A363230,투니플레이,20210330,400,400,400,400,1,699,9075000
102,A363230,투니플레이,20210329,319,319,318,319,1964,699,9075000
103,A363230,투니플레이,20210326,249,249,246,247,2109,699,9075000
104,A363230,투니플레이,20210325,239,239,238,239,940,699,9075000
105,A363230,투니플레이,20210324,250,309,178,305,9463,699,9075000
106,A363230,투니플레이,20210323,400,400,234,315,2479,699,9075000
107,A363230,투니플레이,20210322,510,510,306,306,7501,699,9075000
108,A363230,투니플레이,20210319,436,437,436,437,211,699,9075000
109,A363230,투니플레이,20210318,436,456,435,456,215,699,9075000
110,A363230,투니플레이,20210317,715,715,390,569,3007,699,9075000
111,A363230,투니플레이,20210316,550,550,550,550,1,699,9075000
112,A363230,투니플레이,20210315,325,564,319,499,1833,699,9075000
113,A363230,투니플레이,20210312,740,740,403,497,1044,699,9075000
114,A363230,투니플레이,20210311,689,689,375,600,147,699,9075000
115,A363230,투니플레이,20210310,570,570,311,550,24,699,9075000
116,A363230,투니플레이,20210309,484,484,439,440,3039,699,9075000
117,A363230,투니플레이,20210308,444,444,353,441,8711,699,9075000
118,A363230,투니플레이,20210305,451,451,320,449,3,699,9075000
119,A363230,투니플레이,20210304,489,489,277,486,6,699,9075000
120,A363230,투니플레이,20210303,392,392,260,260,9,699,9075000
121,A363230,투니플레이,20210302,299,309,252,252,3397,699,9075000
