,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A010770,평화홀딩스,20210823,4070,4140,4035,4105,16441,015,14625000
1,A010770,평화홀딩스,20210820,4245,4310,4010,4055,34820,015,14625000
2,A010770,평화홀딩스,20210819,4445,4475,4255,4260,24336,015,14625000
3,A010770,평화홀딩스,20210818,4295,4500,3870,4445,90616,015,14625000
4,A010770,평화홀딩스,20210817,4405,4455,4310,4315,49394,015,14625000
5,A010770,평화홀딩스,20210813,4585,4595,4420,4480,47110,015,14625000
6,A010770,평화홀딩스,20210812,4550,4620,4520,4610,18786,015,14625000
7,A010770,평화홀딩스,20210811,4640,4720,4600,4600,23032,015,14625000
8,A010770,평화홀딩스,20210810,4810,4845,4680,4685,24514,015,14625000
9,A010770,평화홀딩스,20210809,4810,4950,4810,4810,23438,015,14625000
10,A010770,평화홀딩스,20210806,4775,4880,4775,4810,36033,015,14625000
11,A010770,평화홀딩스,20210805,4675,4850,4675,4775,22101,015,14625000
12,A010770,평화홀딩스,20210804,4590,4720,4575,4670,19996,015,14625000
13,A010770,평화홀딩스,20210803,4695,4705,4600,4600,37947,015,14625000
14,A010770,평화홀딩스,20210802,4745,4745,4680,4695,35330,015,14625000
15,A010770,평화홀딩스,20210730,4870,4885,4795,4800,25046,015,14625000
16,A010770,평화홀딩스,20210729,4860,4880,4810,4870,16792,015,14625000
17,A010770,평화홀딩스,20210728,4915,4965,4845,4880,39674,015,14625000
18,A010770,평화홀딩스,20210727,5050,5070,4970,4990,24485,015,14625000
19,A010770,평화홀딩스,20210726,5110,5170,5050,5090,23837,015,14625000
20,A010770,평화홀딩스,20210723,5020,5150,5020,5050,28950,015,14625000
21,A010770,평화홀딩스,20210722,5090,5090,4960,5020,24748,015,14625000
22,A010770,평화홀딩스,20210721,5030,5210,5000,5090,44525,015,14625000
23,A010770,평화홀딩스,20210720,5220,5220,4920,5030,47632,015,14625000
24,A010770,평화홀딩스,20210719,5220,5300,5070,5300,47527,015,14625000
25,A010770,평화홀딩스,20210716,5200,5230,5110,5230,41718,015,14625000
26,A010770,평화홀딩스,20210715,5110,5320,5100,5200,68929,015,14625000
27,A010770,평화홀딩스,20210714,5110,5190,5040,5100,55406,015,14625000
28,A010770,평화홀딩스,20210713,4980,5100,4980,5100,27871,015,14625000
29,A010770,평화홀딩스,20210712,4815,4995,4810,4980,57798,015,14625000
30,A010770,평화홀딩스,20210709,4965,4965,4765,4855,75095,015,14625000
31,A010770,평화홀딩스,20210708,5200,5220,5000,5000,60292,015,14625000
32,A010770,평화홀딩스,20210707,5250,5330,5170,5200,80680,015,14625000
33,A010770,평화홀딩스,20210706,5180,5250,5090,5250,85433,015,14625000
34,A010770,평화홀딩스,20210705,5050,5220,4990,5170,111014,015,14625000
35,A010770,평화홀딩스,20210702,5120,5130,5040,5050,46315,015,14625000
36,A010770,평화홀딩스,20210701,5180,5220,5050,5120,73454,015,14625000
37,A010770,평화홀딩스,20210630,5090,5180,5060,5170,99583,015,14625000
38,A010770,평화홀딩스,20210629,4955,5150,4955,5090,151225,015,14625000
39,A010770,평화홀딩스,20210628,4930,5010,4900,4945,52605,015,14625000
40,A010770,평화홀딩스,20210625,4915,4985,4915,4930,37107,015,14625000
41,A010770,평화홀딩스,20210624,5000,5030,4920,4960,52050,015,14625000
42,A010770,평화홀딩스,20210623,4950,5020,4930,5000,71220,015,14625000
43,A010770,평화홀딩스,20210622,4970,4980,4880,4935,79493,015,14625000
44,A010770,평화홀딩스,20210621,4965,5030,4850,4935,110604,015,14625000
45,A010770,평화홀딩스,20210618,5020,5020,4895,4965,104025,015,14625000
46,A010770,평화홀딩스,20210617,4900,5000,4875,5000,116242,015,14625000
47,A010770,평화홀딩스,20210616,4825,4960,4770,4960,203562,015,14625000
48,A010770,평화홀딩스,20210615,5000,5090,4825,4825,349273,015,14625000
49,A010770,평화홀딩스,20210614,5360,5900,4930,5040,2959948,015,14625000
50,A010770,평화홀딩스,20210611,4405,5720,4405,5470,4030606,015,14625000
51,A010770,평화홀딩스,20210610,4380,4415,4375,4400,19578,015,14625000
52,A010770,평화홀딩스,20210609,4410,4435,4380,4420,43147,015,14625000
53,A010770,평화홀딩스,20210608,4430,4435,4385,4410,40224,015,14625000
54,A010770,평화홀딩스,20210607,4420,4500,4385,4415,17604,015,14625000
55,A010770,평화홀딩스,20210604,4385,4395,4340,4375,25536,015,14625000
56,A010770,평화홀딩스,20210603,4460,4460,4380,4385,24171,015,14625000
57,A010770,평화홀딩스,20210602,4460,4460,4385,4460,32049,015,14625000
58,A010770,평화홀딩스,20210601,4445,4475,4430,4460,30155,015,14625000
59,A010770,평화홀딩스,20210531,4400,4480,4390,4445,39710,015,14625000
60,A010770,평화홀딩스,20210528,4360,4500,4350,4400,55942,015,14625000
61,A010770,평화홀딩스,20210527,4360,4410,4300,4355,31475,015,14625000
62,A010770,평화홀딩스,20210526,4350,4400,4305,4355,22482,015,14625000
63,A010770,평화홀딩스,20210525,4345,4400,4245,4340,39308,015,14625000
64,A010770,평화홀딩스,20210524,4350,4460,4160,4345,55761,015,14625000
65,A010770,평화홀딩스,20210521,4350,4420,4345,4350,51274,015,14625000
66,A010770,평화홀딩스,20210520,4285,4350,4285,4340,37796,015,14625000
67,A010770,평화홀딩스,20210518,4240,4300,4220,4285,36256,015,14625000
68,A010770,평화홀딩스,20210517,4240,4285,4215,4240,29335,015,14625000
69,A010770,평화홀딩스,20210514,4135,4240,4130,4240,44079,015,14625000
70,A010770,평화홀딩스,20210513,4085,4250,4005,4135,59140,015,14625000
71,A010770,평화홀딩스,20210512,4305,4380,4120,4150,106752,015,14625000
72,A010770,평화홀딩스,20210511,4650,4670,4245,4305,756968,015,14625000
73,A010770,평화홀딩스,20210510,4235,4300,4190,4230,66023,015,14625000
74,A010770,평화홀딩스,20210507,4310,4310,4170,4230,43233,015,14625000
75,A010770,평화홀딩스,20210506,4195,4260,4195,4240,29901,015,14625000
76,A010770,평화홀딩스,20210504,4130,4255,3920,4195,59736,015,14625000
77,A010770,평화홀딩스,20210503,4060,4170,4025,4130,25179,015,14625000
78,A010770,평화홀딩스,20210430,3985,4080,3965,4060,37334,015,14625000
79,A010770,평화홀딩스,20210429,4040,4055,3960,4010,31815,015,14625000
80,A010770,평화홀딩스,20210428,4135,4135,4005,4080,33799,015,14625000
81,A010770,평화홀딩스,20210427,4135,4200,4105,4135,34670,015,14625000
82,A010770,평화홀딩스,20210426,4215,4215,4130,4135,23654,015,14625000
83,A010770,평화홀딩스,20210423,4250,4320,4135,4200,69926,015,14625000
84,A010770,평화홀딩스,20210422,4050,4195,4050,4140,51134,015,14625000
85,A010770,평화홀딩스,20210421,4100,4150,4025,4050,40408,015,14625000
86,A010770,평화홀딩스,20210420,4040,4065,4020,4065,22572,015,14625000
87,A010770,평화홀딩스,20210419,4015,4080,4005,4040,24827,015,14625000
88,A010770,평화홀딩스,20210416,3935,4070,3935,4005,32176,015,14625000
89,A010770,평화홀딩스,20210415,4000,4000,3920,3970,34066,015,14625000
90,A010770,평화홀딩스,20210414,4080,4080,3910,4000,28015,015,14625000
91,A010770,평화홀딩스,20210413,4105,4120,4000,4080,45179,015,14625000
92,A010770,평화홀딩스,20210412,3850,4115,3850,4095,183282,015,14625000
93,A010770,평화홀딩스,20210409,3735,3865,3735,3850,64898,015,14625000
94,A010770,평화홀딩스,20210408,3720,3750,3700,3735,14007,015,14625000
95,A010770,평화홀딩스,20210407,3735,3770,3680,3685,38690,015,14625000
96,A010770,평화홀딩스,20210406,3705,3770,3700,3735,24731,015,14625000
97,A010770,평화홀딩스,20210405,3720,3840,3650,3700,30478,015,14625000
98,A010770,평화홀딩스,20210402,3685,3745,3685,3710,17211,015,14625000
99,A010770,평화홀딩스,20210401,3630,3685,3610,3685,12480,015,14625000
100,A010770,평화홀딩스,20210331,3640,3640,3600,3630,13517,015,14625000
101,A010770,평화홀딩스,20210330,3630,3685,3605,3635,15326,015,14625000
102,A010770,평화홀딩스,20210329,3625,3630,3580,3630,42143,015,14625000
103,A010770,평화홀딩스,20210326,3775,3775,3590,3635,23235,015,14625000
104,A010770,평화홀딩스,20210325,3725,3725,3600,3675,39818,015,14625000
