,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A141020,포티스,20210823,108,108,108,108,0,227,174440000
1,A141020,포티스,20210820,108,108,108,108,0,227,174440000
2,A141020,포티스,20210819,108,108,108,108,0,227,174440000
3,A141020,포티스,20210818,108,108,108,108,0,227,174440000
4,A141020,포티스,20210817,108,108,108,108,0,227,174440000
5,A141020,포티스,20210813,108,108,108,108,0,227,174440000
6,A141020,포티스,20210812,108,108,108,108,0,227,174440000
7,A141020,포티스,20210811,108,108,108,108,0,227,174440000
8,A141020,포티스,20210810,108,108,108,108,0,227,174440000
9,A141020,포티스,20210809,108,108,108,108,0,227,174440000
10,A141020,포티스,20210806,108,108,108,108,0,227,174440000
11,A141020,포티스,20210805,108,108,108,108,0,227,174440000
12,A141020,포티스,20210804,108,108,108,108,0,227,174440000
13,A141020,포티스,20210803,108,108,108,108,0,227,174440000
14,A141020,포티스,20210802,108,108,108,108,0,227,174440000
15,A141020,포티스,20210730,108,108,108,108,0,227,174440000
16,A141020,포티스,20210729,108,108,108,108,0,227,174440000
17,A141020,포티스,20210728,108,108,108,108,0,227,174440000
18,A141020,포티스,20210727,108,108,108,108,0,227,174440000
19,A141020,포티스,20210726,108,108,108,108,0,227,174440000
20,A141020,포티스,20210723,108,108,108,108,0,227,174440000
21,A141020,포티스,20210722,108,108,108,108,0,227,174440000
22,A141020,포티스,20210721,108,108,108,108,0,227,174440000
23,A141020,포티스,20210720,108,108,108,108,0,227,174440000
24,A141020,포티스,20210719,108,108,108,108,0,227,174440000
25,A141020,포티스,20210716,108,108,108,108,0,227,174440000
26,A141020,포티스,20210715,108,108,108,108,0,227,174440000
27,A141020,포티스,20210714,108,108,108,108,0,227,174440000
28,A141020,포티스,20210713,108,108,108,108,0,227,174440000
29,A141020,포티스,20210712,108,108,108,108,0,227,174440000
30,A141020,포티스,20210709,108,108,108,108,0,227,174440000
31,A141020,포티스,20210708,108,108,108,108,0,227,174440000
32,A141020,포티스,20210707,108,108,108,108,0,227,174440000
33,A141020,포티스,20210706,108,108,108,108,0,227,174440000
34,A141020,포티스,20210705,108,108,108,108,0,227,174440000
35,A141020,포티스,20210702,108,108,108,108,0,227,174440000
36,A141020,포티스,20210701,108,108,108,108,0,227,174440000
37,A141020,포티스,20210630,108,108,108,108,0,227,174440000
38,A141020,포티스,20210629,108,108,108,108,0,227,174440000
39,A141020,포티스,20210628,108,108,108,108,0,227,174440000
40,A141020,포티스,20210625,108,108,108,108,0,227,174440000
41,A141020,포티스,20210624,108,108,108,108,0,227,174440000
42,A141020,포티스,20210623,108,108,108,108,0,227,174440000
43,A141020,포티스,20210622,108,108,108,108,0,227,174440000
44,A141020,포티스,20210621,108,108,108,108,0,227,174440000
45,A141020,포티스,20210618,108,108,108,108,0,227,174440000
46,A141020,포티스,20210617,108,108,108,108,0,227,174440000
47,A141020,포티스,20210616,108,108,108,108,0,227,174440000
48,A141020,포티스,20210615,108,108,108,108,0,227,174440000
49,A141020,포티스,20210614,108,108,108,108,0,227,174440000
50,A141020,포티스,20210611,108,108,108,108,0,227,174440000
51,A141020,포티스,20210610,108,108,108,108,0,227,174440000
52,A141020,포티스,20210609,108,108,108,108,0,227,174440000
53,A141020,포티스,20210608,108,108,108,108,0,227,174440000
54,A141020,포티스,20210607,108,108,108,108,0,227,174440000
55,A141020,포티스,20210604,108,108,108,108,0,227,174440000
56,A141020,포티스,20210603,108,108,108,108,0,227,174440000
57,A141020,포티스,20210602,108,108,108,108,0,227,174440000
58,A141020,포티스,20210601,108,108,108,108,0,227,174440000
59,A141020,포티스,20210531,108,108,108,108,0,227,174440000
60,A141020,포티스,20210528,108,108,108,108,0,227,174440000
61,A141020,포티스,20210527,108,108,108,108,0,227,174440000
62,A141020,포티스,20210526,108,108,108,108,0,227,174440000
63,A141020,포티스,20210525,108,108,108,108,0,227,174440000
64,A141020,포티스,20210524,108,108,108,108,0,227,174440000
65,A141020,포티스,20210521,108,108,108,108,0,227,174440000
66,A141020,포티스,20210520,108,108,108,108,0,227,174440000
67,A141020,포티스,20210518,108,108,108,108,0,227,174440000
68,A141020,포티스,20210517,108,108,108,108,0,227,174440000
69,A141020,포티스,20210514,108,108,108,108,0,227,174440000
70,A141020,포티스,20210513,108,108,108,108,0,227,174440000
71,A141020,포티스,20210512,108,108,108,108,0,227,174440000
72,A141020,포티스,20210511,108,108,108,108,0,227,174440000
73,A141020,포티스,20210510,108,108,108,108,0,227,174440000
74,A141020,포티스,20210507,108,108,108,108,0,227,174440000
75,A141020,포티스,20210506,108,108,108,108,0,227,174440000
76,A141020,포티스,20210504,108,108,108,108,0,227,174440000
77,A141020,포티스,20210503,108,108,108,108,0,227,174440000
78,A141020,포티스,20210430,108,108,108,108,0,227,174440000
79,A141020,포티스,20210429,108,108,108,108,0,227,174440000
80,A141020,포티스,20210428,108,108,108,108,0,227,174440000
81,A141020,포티스,20210427,108,108,108,108,0,227,174440000
82,A141020,포티스,20210426,108,108,108,108,0,227,174440000
83,A141020,포티스,20210423,108,108,108,108,0,227,174440000
84,A141020,포티스,20210422,108,108,108,108,0,227,174440000
85,A141020,포티스,20210421,108,108,108,108,0,227,174440000
86,A141020,포티스,20210420,108,108,108,108,0,227,174440000
87,A141020,포티스,20210419,108,108,108,108,0,227,174440000
88,A141020,포티스,20210416,108,108,108,108,0,227,174440000
89,A141020,포티스,20210415,108,108,108,108,0,227,174440000
90,A141020,포티스,20210414,108,108,108,108,0,227,174440000
91,A141020,포티스,20210413,108,108,108,108,0,227,174440000
92,A141020,포티스,20210412,108,108,108,108,0,227,174440000
93,A141020,포티스,20210409,108,108,108,108,0,227,174440000
