,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,°Å·¡·®,Áõ±ÇÀü»ê¾÷Á¾ÄÚµå,¹ßÇàÁÖ½Ä¼ö
0,A093380,Ç³°­,20210823,4225,4285,4175,4250,38559,268,9879000
1,A093380,Ç³°­,20210820,4645,4680,4175,4245,463658,268,9879000
2,A093380,Ç³°­,20210819,4425,5080,4390,4895,635022,268,9879000
3,A093380,Ç³°­,20210818,4390,4510,4310,4445,127199,268,9879000
4,A093380,Ç³°­,20210817,4705,4770,4420,4420,236578,268,9879000
5,A093380,Ç³°­,20210813,4965,4965,4705,4770,161236,268,9879000
6,A093380,Ç³°­,20210812,4995,5050,4960,4965,78116,268,9879000
7,A093380,Ç³°­,20210811,4910,5110,4870,5030,153103,268,9879000
8,A093380,Ç³°­,20210810,5010,5060,4950,4955,111927,268,9879000
9,A093380,Ç³°­,20210809,5200,5240,5010,5010,124907,268,9879000
10,A093380,Ç³°­,20210806,5130,5260,5130,5200,71395,268,9879000
11,A093380,Ç³°­,20210805,5060,5160,5060,5130,57141,268,9879000
12,A093380,Ç³°­,20210804,5010,5060,4970,5060,53756,268,9879000
13,A093380,Ç³°­,20210803,5220,5260,5000,5010,159957,268,9879000
14,A093380,Ç³°­,20210802,5140,5250,5140,5210,123447,268,9879000
15,A093380,Ç³°­,20210730,5300,5400,5190,5190,206042,268,9879000
16,A093380,Ç³°­,20210729,5230,5310,5180,5250,126710,268,9879000
17,A093380,Ç³°­,20210728,5180,5300,5160,5230,183456,268,9879000
18,A093380,Ç³°­,20210727,5170,5270,5150,5180,177710,268,9879000
19,A093380,Ç³°­,20210726,5480,5500,5150,5170,458844,268,9879000
20,A093380,Ç³°­,20210723,5240,5490,5200,5470,1119046,268,9879000
21,A093380,Ç³°­,20210722,5150,5260,5150,5200,113655,268,9879000
22,A093380,Ç³°­,20210721,5190,5270,5170,5200,221058,268,9879000
23,A093380,Ç³°­,20210720,5110,5210,5020,5190,127876,268,9879000
24,A093380,Ç³°­,20210719,5210,5250,5130,5160,111355,268,9879000
25,A093380,Ç³°­,20210716,5070,5350,5060,5210,359369,268,9879000
26,A093380,Ç³°­,20210715,5030,5100,4990,5060,106869,268,9879000
27,A093380,Ç³°­,20210714,5090,5110,4990,5030,92117,268,9879000
28,A093380,Ç³°­,20210713,5060,5120,5040,5070,74760,268,9879000
29,A093380,Ç³°­,20210712,4805,5020,4800,5010,159520,268,9879000
30,A093380,Ç³°­,20210709,4845,4900,4665,4855,234011,268,9879000
31,A093380,Ç³°­,20210708,5030,5040,4895,4955,257367,268,9879000
32,A093380,Ç³°­,20210707,5110,5170,5030,5030,143410,268,9879000
33,A093380,Ç³°­,20210706,5070,5150,5070,5110,99791,268,9879000
34,A093380,Ç³°­,20210705,5190,5240,5000,5070,306046,268,9879000
35,A093380,Ç³°­,20210702,5260,5340,5180,5180,164830,268,9879000
36,A093380,Ç³°­,20210701,5400,5430,5160,5260,360789,268,9879000
37,A093380,Ç³°­,20210630,5290,5550,5270,5400,620451,268,9879000
38,A093380,Ç³°­,20210629,5320,5410,5240,5290,253467,268,9879000
39,A093380,Ç³°­,20210628,5340,5410,5320,5320,238562,268,9879000
40,A093380,Ç³°­,20210625,5240,5390,5230,5340,217868,268,9879000
41,A093380,Ç³°­,20210624,5180,5310,5180,5240,103620,268,9879000
42,A093380,Ç³°­,20210623,5300,5390,5180,5180,251877,268,9879000
43,A093380,Ç³°­,20210622,5160,5350,5110,5290,301758,268,9879000
44,A093380,Ç³°­,20210621,5290,5290,5090,5160,147142,268,9879000
45,A093380,Ç³°­,20210618,5330,5330,5210,5290,134662,268,9879000
46,A093380,Ç³°­,20210617,5350,5400,5240,5330,184115,268,9879000
47,A093380,Ç³°­,20210616,5220,5410,5170,5360,382028,268,9879000
48,A093380,Ç³°­,20210615,5310,5320,5020,5220,320217,268,9879000
49,A093380,Ç³°­,20210614,5290,5410,5270,5310,198019,268,9879000
50,A093380,Ç³°­,20210611,5220,5490,5220,5290,643110,268,9879000
51,A093380,Ç³°­,20210610,5100,5300,5080,5170,337727,268,9879000
52,A093380,Ç³°­,20210609,5490,5510,5130,5160,893486,268,9879000
53,A093380,Ç³°­,20210608,5330,5450,5170,5420,712086,268,9879000
54,A093380,Ç³°­,20210607,5160,5480,5100,5370,2424222,268,9879000
55,A093380,Ç³°­,20210604,5130,5160,5020,5150,394708,268,9879000
56,A093380,Ç³°­,20210603,5000,5140,4960,5100,557915,268,9879000
57,A093380,Ç³°­,20210602,5020,5040,4935,5000,548447,268,9879000
58,A093380,Ç³°­,20210601,4855,5030,4850,5020,465788,268,9879000
59,A093380,Ç³°­,20210531,4935,4940,4810,4855,306518,268,9879000
60,A093380,Ç³°­,20210528,4960,4975,4840,4940,316516,268,9879000
61,A093380,Ç³°­,20210527,4815,4955,4805,4955,395872,268,9879000
62,A093380,Ç³°­,20210526,4805,4855,4695,4805,255978,268,9879000
63,A093380,Ç³°­,20210525,4635,4780,4620,4760,233563,268,9879000
64,A093380,Ç³°­,20210524,4875,4895,4645,4645,352224,268,9879000
65,A093380,Ç³°­,20210521,4850,4990,4850,4955,520880,268,9879000
66,A093380,Ç³°­,20210520,4880,4925,4840,4845,296921,268,9879000
67,A093380,Ç³°­,20210518,4765,4960,4765,4905,352914,268,9879000
68,A093380,Ç³°­,20210517,4910,4980,4810,4810,433883,268,9879000
69,A093380,Ç³°­,20210514,4905,5030,4865,4865,469704,268,9879000
70,A093380,Ç³°­,20210513,4980,5050,4875,4900,671510,268,9879000
71,A093380,Ç³°­,20210512,5400,5410,5030,5100,1412815,268,9879000
72,A093380,Ç³°­,20210511,5260,5430,5180,5430,1873286,268,9879000
73,A093380,Ç³°­,20210510,4600,5870,4545,5360,22985355,268,9879000
74,A093380,Ç³°­,20210507,4415,4520,4360,4520,585363,268,9879000
75,A093380,Ç³°­,20210506,4300,4490,4300,4375,523861,268,9879000
76,A093380,Ç³°­,20210504,4345,4405,4200,4300,270246,268,9879000
77,A093380,Ç³°­,20210503,4365,4415,4255,4345,331183,268,9879000
78,A093380,Ç³°­,20210430,4210,4440,4165,4440,473177,268,9879000
79,A093380,Ç³°­,20210429,4115,4260,4080,4210,292253,268,9879000
80,A093380,Ç³°­,20210428,4185,4230,4100,4135,216950,268,9879000
81,A093380,Ç³°­,20210427,4165,4260,4065,4230,334304,268,9879000
82,A093380,Ç³°­,20210426,4215,4215,4100,4165,248480,268,9879000
83,A093380,Ç³°­,20210423,4285,4295,4195,4205,198248,268,9879000
84,A093380,Ç³°­,20210422,4295,4335,4250,4285,194877,268,9879000
85,A093380,Ç³°­,20210421,4310,4315,4200,4295,284176,268,9879000
86,A093380,Ç³°­,20210420,4310,4340,4260,4335,282262,268,9879000
87,A093380,Ç³°­,20210419,4500,4500,4260,4295,1010991,268,9879000
88,A093380,Ç³°­,20210416,4405,4595,4390,4560,688000,268,9879000
89,A093380,Ç³°­,20210415,4460,4475,4350,4405,306804,268,9879000
90,A093380,Ç³°­,20210414,4400,4525,4320,4460,626801,268,9879000
91,A093380,Ç³°­,20210413,4375,4590,4335,4355,661700,268,9879000
92,A093380,Ç³°­,20210412,4600,4620,4280,4375,1193199,268,9879000
93,A093380,Ç³°­,20210409,4195,4400,4175,4350,762777,268,9879000
94,A093380,Ç³°­,20210408,4205,4215,4055,4175,116458,268,9879000
95,A093380,Ç³°­,20210407,4210,4235,4165,4205,138193,268,9879000
96,A093380,Ç³°­,20210406,4185,4240,4145,4210,132628,268,9879000
97,A093380,Ç³°­,20210405,4180,4240,4120,4185,248841,268,9879000
98,A093380,Ç³°­,20210402,4145,4165,4100,4140,157956,268,9879000
99,A093380,Ç³°­,20210401,4055,4160,4015,4125,299490,268,9879000
100,A093380,Ç³°­,20210331,3965,4055,3900,4055,316818,268,9879000
101,A093380,Ç³°­,20210330,3930,3960,3900,3930,81826,268,9879000
102,A093380,Ç³°­,20210329,3845,3930,3845,3925,85066,268,9879000
103,A093380,Ç³°­,20210326,3855,3870,3815,3840,104238,268,9879000
104,A093380,Ç³°­,20210325,3800,3850,3795,3835,81297,268,9879000
105,A093380,Ç³°­,20210324,3860,3960,3785,3800,280496,268,9879000
106,A093380,Ç³°­,20210323,3895,3970,3870,3890,116982,268,9879000
107,A093380,Ç³°­,20210322,3920,3945,3865,3895,139598,268,9879000
108,A093380,Ç³°­,20210319,4025,4030,3890,3920,203433,268,9879000
109,A093380,Ç³°­,20210318,4020,4090,3980,4045,166757,268,9879000
110,A093380,Ç³°­,20210317,4400,4590,4020,4020,2273035,268,9879000
111,A093380,Ç³°­,20210316,4065,4200,4000,4200,262069,268,9879000
112,A093380,Ç³°­,20210315,4030,4140,4005,4065,124549,268,9879000
113,A093380,Ç³°­,20210312,4010,4060,3985,4025,117107,268,9879000
114,A093380,Ç³°­,20210311,3920,4025,3920,3965,104166,268,9879000
115,A093380,Ç³°­,20210310,3980,4055,3880,3960,95481,268,9879000
116,A093380,Ç³°­,20210309,3805,3995,3730,3975,158359,268,9879000
117,A093380,Ç³°­,20210308,3950,4050,3850,3850,144009,268,9879000
118,A093380,Ç³°­,20210305,3860,4025,3765,3990,125102,268,9879000
119,A093380,Ç³°­,20210304,3995,4050,3900,3900,112169,268,9879000
120,A093380,Ç³°­,20210303,3800,4050,3800,3995,135955,268,9879000
121,A093380,Ç³°­,20210302,3925,3965,3780,3835,139092,268,9879000
122,A093380,Ç³°­,20210226,3965,3965,3795,3900,223176,268,9879000
123,A093380,Ç³°­,20210225,3890,4060,3890,4000,159270,268,9879000
124,A093380,Ç³°­,20210224,4110,4110,3855,3870,212020,268,9879000
125,A093380,Ç³°­,20210223,4370,4370,4090,4110,211994,268,9879000
126,A093380,Ç³°­,20210222,4170,4300,4140,4260,179545,268,9879000
127,A093380,Ç³°­,20210219,4240,4280,4085,4200,235850,268,9879000
128,A093380,Ç³°­,20210218,4395,4395,4270,4280,236098,268,9879000
129,A093380,Ç³°­,20210217,4405,4420,4330,4395,369476,268,9879000
130,A093380,Ç³°­,20210216,4365,4455,4270,4380,372796,268,9879000
131,A093380,Ç³°­,20210215,4350,4390,4225,4365,308189,268,9879000
132,A093380,Ç³°­,20210210,4250,4350,4185,4320,236334,268,9879000
133,A093380,Ç³°­,20210209,4080,4420,4045,4245,423923,268,9879000
134,A093380,Ç³°­,20210208,4300,4365,4000,4080,175711,268,9879000
135,A093380,Ç³°­,20210205,4280,4375,4235,4285,217978,268,9879000
136,A093380,Ç³°­,20210204,4255,4375,4215,4280,293581,268,9879000
137,A093380,Ç³°­,20210203,4190,4325,4185,4255,197153,268,9879000
138,A093380,Ç³°­,20210202,4100,4190,4020,4190,146135,268,9879000
139,A093380,Ç³°­,20210201,3790,4045,3650,4025,164794,268,9879000
140,A093380,Ç³°­,20210129,4100,4160,3840,3850,310542,268,9879000
141,A093380,Ç³°­,20210128,4260,4300,4085,4100,320130,268,9879000
142,A093380,Ç³°­,20210127,4410,4475,4270,4340,394931,268,9879000
143,A093380,Ç³°­,20210126,4370,4740,4330,4410,3331544,268,9879000
144,A093380,Ç³°­,20210125,4180,4425,4140,4370,789804,268,9879000
145,A093380,Ç³°­,20210122,4395,4395,4160,4200,434499,268,9879000
146,A093380,Ç³°­,20210121,4345,4480,4255,4385,721057,268,9879000
147,A093380,Ç³°­,20210120,4225,4420,3995,4350,1129783,268,9879000
