,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A075130,플랜티넷,20210823,9220,9340,9050,9320,42488,356,8960000
1,A075130,플랜티넷,20210820,9610,9850,8960,9030,450547,356,8960000
2,A075130,플랜티넷,20210819,11050,11550,9620,9660,995116,356,8960000
3,A075130,플랜티넷,20210818,10400,11000,10050,10950,353979,356,8960000
4,A075130,플랜티넷,20210817,10500,10800,10000,10250,383215,356,8960000
5,A075130,플랜티넷,20210813,10500,10550,9600,9980,281107,356,8960000
6,A075130,플랜티넷,20210812,10450,10650,10250,10500,74863,356,8960000
7,A075130,플랜티넷,20210811,10550,10700,10300,10450,94062,356,8960000
8,A075130,플랜티넷,20210810,10700,10700,10200,10550,176425,356,8960000
9,A075130,플랜티넷,20210809,11050,11150,10350,10700,179879,356,8960000
10,A075130,플랜티넷,20210806,10900,11050,10600,11050,82487,356,8960000
11,A075130,플랜티넷,20210805,11300,11300,10700,10900,139139,356,8960000
12,A075130,플랜티넷,20210804,11000,11150,10750,11000,155690,356,8960000
13,A075130,플랜티넷,20210803,10750,11100,10350,10750,224875,356,8960000
14,A075130,플랜티넷,20210802,11200,11350,10700,10750,189393,356,8960000
15,A075130,플랜티넷,20210730,11250,11600,11000,11500,171743,356,8960000
16,A075130,플랜티넷,20210729,11300,11400,10800,11300,178366,356,8960000
17,A075130,플랜티넷,20210728,12050,12250,11150,11300,371679,356,8960000
18,A075130,플랜티넷,20210727,12100,12550,11950,12250,171232,356,8960000
19,A075130,플랜티넷,20210726,12000,12350,11600,12300,245935,356,8960000
20,A075130,플랜티넷,20210723,12150,12900,12100,12100,260057,356,8960000
21,A075130,플랜티넷,20210722,12300,12600,12000,12250,261174,356,8960000
22,A075130,플랜티넷,20210721,11400,12400,11300,12400,371483,356,8960000
23,A075130,플랜티넷,20210720,11300,11800,10850,11450,382277,356,8960000
24,A075130,플랜티넷,20210719,12600,12700,11350,11450,791487,356,8960000
25,A075130,플랜티넷,20210716,13100,13200,12800,12850,324723,356,8960000
26,A075130,플랜티넷,20210715,13100,14500,12600,13300,2552759,356,8960000
27,A075130,플랜티넷,20210714,13000,13050,12400,12550,502767,356,8960000
28,A075130,플랜티넷,20210713,14750,15250,12350,12650,1547621,356,8960000
29,A075130,플랜티넷,20210712,13700,14950,13450,14750,1060558,356,8960000
30,A075130,플랜티넷,20210709,12400,14000,12400,13900,1514777,356,8960000
31,A075130,플랜티넷,20210708,13050,13300,12600,12650,434940,356,8960000
32,A075130,플랜티넷,20210707,13150,13650,12750,13250,606607,356,8960000
33,A075130,플랜티넷,20210706,13900,16000,12950,13300,3864754,356,8960000
34,A075130,플랜티넷,20210705,14200,15100,13300,13850,1626094,356,8960000
35,A075130,플랜티넷,20210702,14000,14400,14000,14250,465836,356,8960000
36,A075130,플랜티넷,20210701,13650,14150,13650,14100,468460,356,8960000
37,A075130,플랜티넷,20210630,13550,13750,13500,13600,425208,356,8960000
38,A075130,플랜티넷,20210629,13550,15200,13450,13800,6490290,356,8960000
39,A075130,플랜티넷,20210628,10600,13750,10500,13750,8888958,356,8960000
40,A075130,플랜티넷,20210625,9730,11300,9720,10600,1852901,356,8960000
41,A075130,플랜티넷,20210624,9700,10100,9580,9750,614431,356,8960000
42,A075130,플랜티넷,20210623,9540,11750,9500,9730,3990937,356,8960000
43,A075130,플랜티넷,20210622,9340,9400,9060,9060,417470,356,8960000
44,A075130,플랜티넷,20210621,8260,9400,8230,9400,1338439,356,8960000
45,A075130,플랜티넷,20210618,8310,8350,8230,8310,94279,356,8960000
46,A075130,플랜티넷,20210617,8150,8360,8070,8290,172535,356,8960000
47,A075130,플랜티넷,20210616,7980,8200,7930,8150,127161,356,8960000
48,A075130,플랜티넷,20210615,8050,8050,7810,7880,118860,356,8960000
49,A075130,플랜티넷,20210614,7980,8080,7840,8040,89478,356,8960000
50,A075130,플랜티넷,20210611,8060,8070,7890,7980,82495,356,8960000
51,A075130,플랜티넷,20210610,7900,8250,7870,7970,179209,356,8960000
52,A075130,플랜티넷,20210609,7920,7980,7810,7930,107073,356,8960000
53,A075130,플랜티넷,20210608,8280,8280,7800,7930,274839,356,8960000
54,A075130,플랜티넷,20210607,8410,8580,8250,8280,546132,356,8960000
55,A075130,플랜티넷,20210604,7740,9060,7690,8480,2586394,356,8960000
56,A075130,플랜티넷,20210603,7630,8450,7580,7870,2379858,356,8960000
57,A075130,플랜티넷,20210602,7640,7700,7460,7630,232016,356,8960000
58,A075130,플랜티넷,20210601,7700,7700,7470,7530,172170,356,8960000
59,A075130,플랜티넷,20210531,7410,7600,7400,7520,209691,356,8960000
60,A075130,플랜티넷,20210528,7220,7400,7140,7380,98545,356,8960000
61,A075130,플랜티넷,20210527,7230,7260,7180,7200,50153,356,8960000
62,A075130,플랜티넷,20210526,7250,7320,7190,7200,60328,356,8960000
63,A075130,플랜티넷,20210525,7130,7380,7130,7240,82786,356,8960000
64,A075130,플랜티넷,20210524,7100,7220,7070,7180,113428,356,8960000
65,A075130,플랜티넷,20210521,7400,7400,7200,7240,154053,356,8960000
66,A075130,플랜티넷,20210520,7210,7370,7130,7300,247140,356,8960000
67,A075130,플랜티넷,20210518,7130,7250,7080,7130,106749,356,8960000
68,A075130,플랜티넷,20210517,7110,7240,7050,7130,265142,356,8960000
