,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,Ω√∞°,∞Ì∞°,¿˙∞°,¡æ∞°,∞≈∑°∑Æ,¡ı±«¿¸ªÍæ˜¡æƒ⁄µÂ,πﬂ«‡¡÷Ωƒºˆ
0,A128660,««¡¶¿Ã∏ﬁ≈ª,20210823,3655,3710,3510,3665,30241,268,24803000
1,A128660,««¡¶¿Ã∏ﬁ≈ª,20210820,3875,3885,3615,3640,288210,268,24803000
2,A128660,««¡¶¿Ã∏ﬁ≈ª,20210819,3860,4005,3660,3875,262085,268,24803000
3,A128660,««¡¶¿Ã∏ﬁ≈ª,20210818,3870,3980,3820,3955,153005,268,24803000
4,A128660,««¡¶¿Ã∏ﬁ≈ª,20210817,3935,3990,3820,3870,244193,268,24803000
5,A128660,««¡¶¿Ã∏ﬁ≈ª,20210813,4005,4010,3880,3975,249243,268,24803000
6,A128660,««¡¶¿Ã∏ﬁ≈ª,20210812,3965,4045,3965,4010,129618,268,24803000
7,A128660,««¡¶¿Ã∏ﬁ≈ª,20210811,3965,4110,3885,4025,433417,268,24803000
8,A128660,««¡¶¿Ã∏ﬁ≈ª,20210810,4010,4035,3905,3950,183389,268,24803000
9,A128660,««¡¶¿Ã∏ﬁ≈ª,20210809,4030,4060,3965,3985,172991,268,24803000
10,A128660,««¡¶¿Ã∏ﬁ≈ª,20210806,4160,4160,4015,4050,127657,268,24803000
11,A128660,««¡¶¿Ã∏ﬁ≈ª,20210805,3975,4125,3975,4125,241188,268,24803000
12,A128660,««¡¶¿Ã∏ﬁ≈ª,20210804,3900,3985,3835,3955,144304,268,24803000
13,A128660,««¡¶¿Ã∏ﬁ≈ª,20210803,4035,4040,3850,3880,475442,268,24803000
14,A128660,««¡¶¿Ã∏ﬁ≈ª,20210802,4055,4120,3995,4035,268762,268,24803000
15,A128660,««¡¶¿Ã∏ﬁ≈ª,20210730,4150,4490,4080,4085,2480129,268,24803000
16,A128660,««¡¶¿Ã∏ﬁ≈ª,20210729,4100,4220,4060,4150,215418,268,24803000
17,A128660,««¡¶¿Ã∏ﬁ≈ª,20210728,4215,4235,4055,4115,250038,268,24803000
18,A128660,««¡¶¿Ã∏ﬁ≈ª,20210727,4125,4235,4100,4215,240250,268,24803000
19,A128660,««¡¶¿Ã∏ﬁ≈ª,20210726,4100,4170,4045,4150,205941,268,24803000
20,A128660,««¡¶¿Ã∏ﬁ≈ª,20210723,4015,4110,3990,4070,173863,268,24803000
21,A128660,««¡¶¿Ã∏ﬁ≈ª,20210722,3975,4090,3975,4010,152691,268,24803000
22,A128660,««¡¶¿Ã∏ﬁ≈ª,20210721,4130,4210,4010,4015,228930,268,24803000
23,A128660,««¡¶¿Ã∏ﬁ≈ª,20210720,4050,4185,4005,4120,244624,268,24803000
24,A128660,««¡¶¿Ã∏ﬁ≈ª,20210719,4280,4280,4115,4150,387592,268,24803000
25,A128660,««¡¶¿Ã∏ﬁ≈ª,20210716,4350,4355,4175,4295,638109,268,24803000
26,A128660,««¡¶¿Ã∏ﬁ≈ª,20210715,4255,4395,4220,4340,984137,268,24803000
27,A128660,««¡¶¿Ã∏ﬁ≈ª,20210714,4125,4310,4070,4310,1238733,268,24803000
