,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,Ω√∞°,∞Ì∞°,¿˙∞°,¡æ∞°,∞≈∑°∑Æ,¡ı±«¿¸ªÍæ˜¡æƒ⁄µÂ,πﬂ«‡¡÷Ωƒºˆ
0,A130480,«…«√≥›,20210823,625,625,625,625,0,699,4400000
1,A130480,«…«√≥›,20210820,625,625,625,625,0,699,4400000
2,A130480,«…«√≥›,20210819,625,625,625,625,0,699,4400000
3,A130480,«…«√≥›,20210818,625,625,625,625,114,699,4400000
4,A130480,«…«√≥›,20210817,625,625,625,625,0,699,4400000
5,A130480,«…«√≥›,20210813,625,625,625,625,0,699,4400000
6,A130480,«…«√≥›,20210812,625,625,625,625,0,699,4400000
7,A130480,«…«√≥›,20210811,625,625,625,625,0,699,4400000
8,A130480,«…«√≥›,20210810,513,708,513,708,120,699,4400000
9,A130480,«…«√≥›,20210809,545,545,545,545,10,699,4400000
10,A130480,«…«√≥›,20210806,755,755,755,755,0,699,4400000
11,A130480,«…«√≥›,20210805,755,755,755,755,0,699,4400000
12,A130480,«…«√≥›,20210804,755,755,755,755,10,699,4400000
13,A130480,«…«√≥›,20210803,732,732,732,732,0,699,4400000
14,A130480,«…«√≥›,20210802,732,732,732,732,0,699,4400000
15,A130480,«…«√≥›,20210730,732,732,732,732,0,699,4400000
16,A130480,«…«√≥›,20210729,732,733,732,733,10,699,4400000
17,A130480,«…«√≥›,20210728,565,565,565,565,0,699,4400000
18,A130480,«…«√≥›,20210727,561,561,561,561,2195,699,4400000
19,A130480,«…«√≥›,20210726,561,561,561,561,3,699,4400000
20,A130480,«…«√≥›,20210723,432,432,432,432,1,699,4400000
21,A130480,«…«√≥›,20210722,615,616,615,616,181,699,4400000
22,A130480,«…«√≥›,20210721,615,615,615,615,0,699,4400000
23,A130480,«…«√≥›,20210720,615,615,615,615,3001,699,4400000
24,A130480,«…«√≥›,20210719,612,612,611,612,968,699,4400000
25,A130480,«…«√≥›,20210716,612,612,612,612,10,699,4400000
26,A130480,«…«√≥›,20210715,700,700,700,700,0,699,4400000
27,A130480,«…«√≥›,20210714,700,700,700,700,1645,699,4400000
28,A130480,«…«√≥›,20210713,539,539,539,539,1,699,4400000
29,A130480,«…«√≥›,20210712,415,415,415,415,1,699,4400000
30,A130480,«…«√≥›,20210709,534,534,534,534,0,699,4400000
31,A130480,«…«√≥›,20210708,534,535,534,535,4,699,4400000
32,A130480,«…«√≥›,20210707,412,412,412,412,1,699,4400000
33,A130480,«…«√≥›,20210706,505,505,505,505,1,699,4400000
34,A130480,«…«√≥›,20210705,598,598,598,598,0,699,4400000
35,A130480,«…«√≥›,20210702,421,600,421,600,5856,699,4400000
36,A130480,«…«√≥›,20210701,600,600,600,600,0,699,4400000
37,A130480,«…«√≥›,20210630,588,588,588,588,2536,699,4400000
38,A130480,«…«√≥›,20210629,453,453,453,453,0,699,4400000
39,A130480,«…«√≥›,20210628,394,394,394,394,1,699,4400000
40,A130480,«…«√≥›,20210625,392,560,392,560,2,699,4400000
41,A130480,«…«√≥›,20210624,560,561,560,561,700,699,4400000
42,A130480,«…«√≥›,20210623,560,560,560,560,0,699,4400000
43,A130480,«…«√≥›,20210622,570,570,560,560,517,699,4400000
44,A130480,«…«√≥›,20210621,496,496,496,496,0,699,4400000
45,A130480,«…«√≥›,20210618,496,496,496,496,117,699,4400000
46,A130480,«…«√≥›,20210617,316,585,316,332,215,699,4400000
47,A130480,«…«√≥›,20210616,451,451,451,451,7,699,4400000
48,A130480,«…«√≥›,20210615,592,592,592,592,0,699,4400000
49,A130480,«…«√≥›,20210614,592,592,592,592,0,699,1400000
50,A130480,«…«√≥›,20210611,592,592,592,592,0,699,1400000
51,A130480,«…«√≥›,20210610,592,592,592,592,0,699,1400000
52,A130480,«…«√≥›,20210609,600,600,590,595,160,699,1400000
53,A130480,«…«√≥›,20210608,502,502,502,502,0,699,1400000
54,A130480,«…«√≥›,20210607,502,502,502,502,0,699,1400000
55,A130480,«…«√≥›,20210604,559,560,480,480,281,699,1400000
56,A130480,«…«√≥›,20210603,400,498,400,498,573,699,1400000
57,A130480,«…«√≥›,20210602,396,396,396,396,1,699,1400000
58,A130480,«…«√≥›,20210601,561,561,561,561,50,699,1400000
59,A130480,«…«√≥›,20210531,480,510,480,510,1477,699,1400000
60,A130480,«…«√≥›,20210528,421,540,421,540,8,699,1400000
61,A130480,«…«√≥›,20210527,600,600,560,560,41,699,1400000
62,A130480,«…«√≥›,20210526,600,600,600,600,5016,699,1400000
63,A130480,«…«√≥›,20210525,600,600,600,600,160,699,1400000
64,A130480,«…«√≥›,20210524,700,700,550,550,15,699,1400000
