,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A039130,하나투어,20210823,67900,69200,66600,69100,46727,026,13939000
1,A039130,하나투어,20210820,68500,69900,66900,67900,133255,026,13939000
2,A039130,하나투어,20210819,72700,72700,68600,68700,216057,026,13939000
3,A039130,하나투어,20210818,71800,73800,71000,72800,92004,026,13939000
4,A039130,하나투어,20210817,75600,75600,71600,72600,209230,026,13939000
5,A039130,하나투어,20210813,77200,77400,74600,75600,209461,026,13939000
6,A039130,하나투어,20210812,78000,78600,77500,77500,89069,026,13939000
7,A039130,하나투어,20210811,78600,79000,77500,78100,112250,026,13939000
8,A039130,하나투어,20210810,80000,80100,78700,79100,107709,026,13939000
9,A039130,하나투어,20210809,80300,81700,79300,80500,117472,026,13939000
10,A039130,하나투어,20210806,80100,83100,79600,81000,319570,026,13939000
11,A039130,하나투어,20210805,81200,81400,79000,79000,192798,026,13939000
12,A039130,하나투어,20210804,75600,81800,75500,81300,519516,026,13939000
13,A039130,하나투어,20210803,75600,76100,75400,76100,64298,026,13939000
14,A039130,하나투어,20210802,76600,76700,75400,75600,81189,026,13939000
15,A039130,하나투어,20210730,76900,77200,76000,76900,52194,026,13939000
16,A039130,하나투어,20210729,76300,77400,76000,76700,63837,026,13939000
17,A039130,하나투어,20210728,76000,76900,75300,76100,90185,026,13939000
18,A039130,하나투어,20210727,76500,77500,76400,76700,68146,026,13939000
19,A039130,하나투어,20210726,77500,77500,76000,76300,84811,026,13939000
20,A039130,하나투어,20210723,79200,79400,76800,77200,180776,026,13939000
21,A039130,하나투어,20210722,77200,80400,77000,79600,246047,026,13939000
22,A039130,하나투어,20210721,78000,78300,75800,76300,85359,026,13939000
23,A039130,하나투어,20210720,76100,77900,76100,77100,97213,026,13939000
24,A039130,하나투어,20210719,79100,79200,77400,77700,111870,026,13939000
25,A039130,하나투어,20210716,79000,79900,78000,79800,126313,026,13939000
26,A039130,하나투어,20210715,77500,79200,77200,79000,113457,026,13939000
27,A039130,하나투어,20210714,78100,78400,76900,77000,120583,026,13939000
28,A039130,하나투어,20210713,77800,79400,77500,79100,117240,026,13939000
29,A039130,하나투어,20210712,75400,77900,75200,77900,111715,026,13939000
30,A039130,하나투어,20210709,75500,75900,74100,75700,201471,026,13939000
31,A039130,하나투어,20210708,78100,79000,77000,77000,171990,026,13939000
32,A039130,하나투어,20210707,80000,80300,78200,78300,249225,026,13939000
33,A039130,하나투어,20210706,79200,82900,79100,81700,295107,026,13939000
34,A039130,하나투어,20210705,78600,79100,76900,78900,149352,026,13939000
35,A039130,하나투어,20210702,78600,79400,78500,78700,70983,026,13939000
36,A039130,하나투어,20210701,79800,79800,78300,78400,89256,026,13939000
37,A039130,하나투어,20210630,79200,79500,78600,79200,94764,026,13939000
38,A039130,하나투어,20210629,78900,80300,78000,78600,178822,026,13939000
39,A039130,하나투어,20210628,79300,79500,77600,79000,187178,026,13939000
40,A039130,하나투어,20210625,79200,82000,79100,79900,177077,026,13939000
41,A039130,하나투어,20210624,80400,80400,79000,79900,246436,026,13939000
42,A039130,하나투어,20210623,81600,82900,79200,81900,299745,026,13939000
43,A039130,하나투어,20210622,83800,83900,82600,82600,120777,026,13939000
44,A039130,하나투어,20210621,86000,86000,81800,82400,487423,026,13939000
45,A039130,하나투어,20210618,88300,88400,86500,86900,210138,026,13939000
46,A039130,하나투어,20210617,87200,88200,86400,87800,133667,026,13939000
47,A039130,하나투어,20210616,87200,88700,86500,87300,176777,026,13939000
48,A039130,하나투어,20210615,87900,88400,87000,87100,142059,026,13939000
49,A039130,하나투어,20210614,90000,90400,87200,87700,263876,026,13939000
50,A039130,하나투어,20210611,91200,91400,89000,90000,179925,026,13939000
51,A039130,하나투어,20210610,92100,94100,89000,91000,432798,026,13939000
52,A039130,하나투어,20210609,88500,90900,88300,90100,499724,026,13939000
53,A039130,하나투어,20210608,86600,88000,85700,86900,172427,026,13939000
54,A039130,하나투어,20210607,87500,88500,84000,87300,505061,026,13939000
55,A039130,하나투어,20210604,89500,89800,87000,87200,655041,026,13939000
56,A039130,하나투어,20210603,92600,94300,90400,91800,354233,026,13939000
57,A039130,하나투어,20210602,89000,93000,87600,92600,582070,026,13939000
58,A039130,하나투어,20210601,90100,93300,86000,88400,642441,026,13939000
59,A039130,하나투어,20210531,84500,89600,84200,89600,460268,026,13939000
60,A039130,하나투어,20210528,83600,84400,81900,83800,219431,026,13939000
61,A039130,하나투어,20210527,82100,86600,82100,83600,520417,026,13939000
62,A039130,하나투어,20210526,80400,82400,80100,81600,345809,026,13939000
63,A039130,하나투어,20210525,77600,82800,76600,80000,546287,026,13939000
64,A039130,하나투어,20210524,74500,77900,73000,76600,274544,026,13939000
65,A039130,하나투어,20210521,76200,77000,74200,75500,276411,026,13939000
66,A039130,하나투어,20210520,74800,77500,73600,76900,362540,026,13939000
67,A039130,하나투어,20210518,73800,74700,72700,74700,281767,026,13939000
68,A039130,하나투어,20210517,69700,73900,68900,73900,774795,026,13939000
69,A039130,하나투어,20210514,69500,69800,68200,68400,164095,026,13939000
70,A039130,하나투어,20210513,68400,69800,67300,68700,196929,026,13939000
71,A039130,하나투어,20210512,68600,70500,68000,69100,327967,026,13939000
72,A039130,하나투어,20210511,68400,69500,67600,68800,256896,026,13939000
73,A039130,하나투어,20210510,66300,69500,66000,68400,511552,026,13939000
74,A039130,하나투어,20210507,64800,67200,64800,66300,183909,026,13939000
75,A039130,하나투어,20210506,64200,64700,62800,64200,99053,026,13939000
76,A039130,하나투어,20210504,65100,65400,63500,64300,82937,026,13939000
77,A039130,하나투어,20210503,65700,66400,64500,64800,122035,026,13939000
78,A039130,하나투어,20210430,65300,66800,65000,65900,162011,026,13939000
79,A039130,하나투어,20210429,67000,67000,64800,65100,151448,026,13939000
80,A039130,하나투어,20210428,65000,66300,63900,66000,196587,026,13939000
81,A039130,하나투어,20210427,64300,65000,64100,65000,124212,026,13939000
