,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A019490,하이트론,20210823,4435,5380,4425,5000,1012381,013,7321000
1,A019490,하이트론,20210820,3730,4750,3730,4290,2712855,013,7321000
2,A019490,하이트론,20210819,3005,4005,2940,3710,1182711,013,7321000
3,A019490,하이트론,20210818,4075,4075,4075,4075,0,013,7321000
4,A019490,하이트론,20210817,5020,5430,4070,4075,1049762,013,7321000
5,A019490,하이트론,20210813,5200,5400,4945,5380,681903,013,7321000
6,A019490,하이트론,20210812,6380,6380,4780,5180,2749291,013,7321000
7,A019490,하이트론,20210811,6720,6720,6120,6400,220903,013,7321000
8,A019490,하이트론,20210810,6910,6940,6700,6720,73932,013,7321000
9,A019490,하이트론,20210809,6930,7140,6840,6910,120069,013,7321000
10,A019490,하이트론,20210806,6980,7110,6880,6990,70774,013,7321000
11,A019490,하이트론,20210805,7020,7170,6920,6980,111829,013,7321000
12,A019490,하이트론,20210804,7080,7170,6800,6940,189262,013,7321000
13,A019490,하이트론,20210803,7300,7300,6960,7100,103633,013,7321000
14,A019490,하이트론,20210802,7310,7490,7190,7200,94928,013,7321000
15,A019490,하이트론,20210730,7550,7670,7250,7310,66696,013,7321000
16,A019490,하이트론,20210729,7450,7700,7320,7550,82004,013,7321000
17,A019490,하이트론,20210728,7760,7770,7300,7460,132632,013,7321000
18,A019490,하이트론,20210727,7670,7970,7560,7640,149145,013,7321000
19,A019490,하이트론,20210726,7620,7800,7600,7670,73207,013,7321000
20,A019490,하이트론,20210723,7810,7830,7500,7600,97558,013,7321000
21,A019490,하이트론,20210722,7970,8190,7610,7780,167655,013,7321000
22,A019490,하이트론,20210721,7580,8340,7550,7940,551087,013,7321000
23,A019490,하이트론,20210720,7020,7870,7020,7480,389796,013,7321000
24,A019490,하이트론,20210719,7390,7390,6740,7020,155562,013,7321000
25,A019490,하이트론,20210716,7650,7790,7200,7340,321156,013,7321000
26,A019490,하이트론,20210715,7920,8020,7670,7670,285492,013,7321000
27,A019490,하이트론,20210714,8230,8240,7870,7960,119514,013,7321000
28,A019490,하이트론,20210713,7970,8310,7850,7980,173345,013,7222000
29,A019490,하이트론,20210712,8260,8300,7950,7950,187883,013,7222000
30,A019490,하이트론,20210709,8280,8300,8090,8290,91724,013,7222000
31,A019490,하이트론,20210708,8190,8370,8000,8280,294615,013,7222000
32,A019490,하이트론,20210707,8380,8470,8170,8240,140040,013,7222000
33,A019490,하이트론,20210706,8160,8500,8000,8380,231257,013,7222000
34,A019490,하이트론,20210705,8200,8390,8010,8080,301446,013,7222000
35,A019490,하이트론,20210702,8360,8480,8200,8300,198545,013,7222000
36,A019490,하이트론,20210701,8810,8910,8320,8490,290469,013,7222000
37,A019490,하이트론,20210630,8670,9430,8620,8800,654808,013,7222000
38,A019490,하이트론,20210629,9330,9600,7580,8450,2690241,013,7222000
39,A019490,하이트론,20210628,10200,10350,9430,9730,174057,013,7222000
40,A019490,하이트론,20210625,10400,10500,9900,10000,251858,013,7222000
41,A019490,하이트론,20210624,10500,10650,10000,10550,261598,013,7222000
42,A019490,하이트론,20210623,11400,11500,10400,10550,436431,013,7222000
43,A019490,하이트론,20210622,11250,11400,10800,11400,216457,013,7222000
44,A019490,하이트론,20210621,11200,11300,10800,11150,205689,013,7222000
45,A019490,하이트론,20210618,10900,11300,10650,11000,198613,013,7222000
46,A019490,하이트론,20210617,11050,11050,10450,10900,181789,013,7222000
47,A019490,하이트론,20210616,10950,11600,10800,10900,196371,013,7222000
48,A019490,하이트론,20210615,11450,11500,11100,11200,113998,013,7222000
49,A019490,하이트론,20210614,11500,11600,10800,11450,271310,013,7222000
50,A019490,하이트론,20210611,11700,11700,10650,11500,360814,013,7222000
51,A019490,하이트론,20210610,12100,12400,10900,11400,606969,013,7222000
52,A019490,하이트론,20210609,11150,11950,11100,11800,655403,013,7222000
53,A019490,하이트론,20210608,10600,11200,10600,10900,247729,013,7222000
54,A019490,하이트론,20210607,10400,11050,10400,10600,547661,013,7222000
55,A019490,하이트론,20210604,10850,11000,10050,10500,495555,013,7222000
56,A019490,하이트론,20210603,9900,10700,9710,10400,561059,013,7222000
57,A019490,하이트론,20210602,10150,10350,9640,9900,415799,013,7222000
58,A019490,하이트론,20210601,9970,10900,9970,10150,626960,013,7222000
59,A019490,하이트론,20210531,8950,9980,8900,9700,859183,013,7222000
60,A019490,하이트론,20210528,8350,8980,8300,8950,271169,013,7222000
61,A019490,하이트론,20210527,7980,8380,7680,8350,257316,013,7222000
62,A019490,하이트론,20210526,8430,8510,7610,7980,236925,013,7222000
63,A019490,하이트론,20210525,8750,8850,8260,8430,220231,013,7222000
64,A019490,하이트론,20210524,8700,8860,8410,8700,154465,013,7222000
65,A019490,하이트론,20210521,9400,9590,8650,8900,499959,013,7222000
66,A019490,하이트론,20210520,8740,9500,8740,9270,373555,013,7222000
67,A019490,하이트론,20210518,9070,9100,8000,9100,635198,013,7222000
68,A019490,하이트론,20210517,9440,9880,9000,9090,768939,013,7222000
69,A019490,하이트론,20210514,7800,9380,7790,9160,1873671,013,7222000
70,A019490,하이트론,20210513,7010,7720,7000,7660,717240,013,7222000
71,A019490,하이트론,20210512,7050,7490,6810,7260,379094,013,7222000
72,A019490,하이트론,20210511,6520,7350,6510,7160,785274,013,7222000
73,A019490,하이트론,20210510,6240,6550,6060,6500,309302,013,7222000
74,A019490,하이트론,20210507,6200,6250,5860,6150,430713,013,7222000
75,A019490,하이트론,20210506,6930,7400,5980,6250,1168910,013,7222000
76,A019490,하이트론,20210504,6470,7100,6270,6850,837244,013,7222000
77,A019490,하이트론,20210503,6470,7110,6190,6210,1171701,013,6714000
78,A019490,하이트론,20210430,8130,8370,7280,7280,742904,013,6714000
79,A019490,하이트론,20210429,8870,8870,7640,8380,941313,013,6714000
80,A019490,하이트론,20210428,9030,9090,8700,8890,114948,013,6714000
81,A019490,하이트론,20210427,8990,9170,8750,9010,193520,013,6714000
82,A019490,하이트론,20210426,9220,9260,8860,8970,215762,013,6714000
83,A019490,하이트론,20210423,9230,9640,9030,9210,146975,013,6714000
84,A019490,하이트론,20210422,9470,9530,9200,9230,173347,013,6714000
85,A019490,하이트론,20210421,9310,9600,9000,9520,583129,013,6714000
86,A019490,하이트론,20210420,10050,10100,9690,9900,153152,013,6714000
87,A019490,하이트론,20210419,9850,10150,9640,9900,358718,013,6714000
88,A019490,하이트론,20210416,9310,9680,9150,9610,192125,013,6714000
89,A019490,하이트론,20210415,9410,9420,9000,9290,86281,013,6714000
90,A019490,하이트론,20210414,9590,9650,9200,9410,181654,013,6714000
91,A019490,하이트론,20210413,9090,9440,8760,9390,220646,013,6714000
92,A019490,하이트론,20210412,9200,9280,8530,9090,216153,013,6714000
93,A019490,하이트론,20210409,9000,9150,8890,8890,160737,013,6714000
94,A019490,하이트론,20210408,9060,9210,8800,9000,198235,013,6714000
95,A019490,하이트론,20210407,9350,9350,9100,9170,127662,013,6714000
96,A019490,하이트론,20210406,9200,9540,8920,9460,141668,013,6714000
97,A019490,하이트론,20210405,9750,9750,8780,9200,331385,013,6714000
98,A019490,하이트론,20210402,10100,10200,9500,9710,161006,013,6714000
99,A019490,하이트론,20210401,9710,10550,9700,10000,326073,013,6714000
100,A019490,하이트론,20210331,9160,9900,9050,9680,305802,013,6714000
101,A019490,하이트론,20210330,9450,9450,8490,8880,373226,013,6714000
102,A019490,하이트론,20210329,9990,10050,9390,9490,321610,013,6714000
103,A019490,하이트론,20210326,9910,10000,9110,9940,314557,013,6714000
104,A019490,하이트론,20210325,9940,10150,9600,9970,173186,013,6714000
105,A019490,하이트론,20210324,10350,10500,9980,10100,344079,013,6714000
106,A019490,하이트론,20210323,10050,10450,9050,9690,504128,013,6714000
107,A019490,하이트론,20210322,10700,10850,10000,10000,371485,013,6714000
108,A019490,하이트론,20210319,10600,10900,10050,10500,286301,013,6714000
109,A019490,하이트론,20210318,10750,11450,10000,10600,503474,013,6714000
110,A019490,하이트론,20210317,9600,11450,9600,10750,746266,013,6714000
111,A019490,하이트론,20210316,8500,9900,8050,9680,966709,013,6714000
112,A019490,하이트론,20210315,10550,12100,8710,8890,1593997,013,6714000
113,A019490,하이트론,20210312,8830,10600,8750,10050,2364864,013,6714000
114,A019490,하이트론,20210311,8090,8940,8000,8280,1164054,013,6714000
