,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A000080,하이트진로,20210823,30500,30750,30150,30700,95479,005,70133000
1,A000080,하이트진로,20210820,30800,31150,30350,30350,375704,005,70133000
2,A000080,하이트진로,20210819,31500,31800,30700,30850,396906,005,70133000
3,A000080,하이트진로,20210818,31400,32300,31350,31900,258394,005,70133000
4,A000080,하이트진로,20210817,32650,32750,31550,31600,565939,005,70133000
5,A000080,하이트진로,20210813,33400,33600,32800,32950,309341,005,70133000
6,A000080,하이트진로,20210812,33700,33850,33450,33550,228110,005,70133000
7,A000080,하이트진로,20210811,33600,33900,33450,33550,239825,005,70133000
8,A000080,하이트진로,20210810,34250,34250,33650,33750,352868,005,70133000
9,A000080,하이트진로,20210809,34550,34550,34100,34250,201800,005,70133000
10,A000080,하이트진로,20210806,34850,34850,34400,34550,213438,005,70133000
11,A000080,하이트진로,20210805,34500,34950,34350,34600,341186,005,70133000
12,A000080,하이트진로,20210804,33850,34400,33850,34300,301624,005,70133000
13,A000080,하이트진로,20210803,34000,34000,33600,33750,278642,005,70133000
14,A000080,하이트진로,20210802,34400,34450,33900,34000,251434,005,70133000
15,A000080,하이트진로,20210730,34550,34550,34050,34450,268791,005,70133000
16,A000080,하이트진로,20210729,34650,34950,34350,34500,238588,005,70133000
17,A000080,하이트진로,20210728,34400,34750,34200,34450,221453,005,70133000
18,A000080,하이트진로,20210727,34600,34700,34500,34550,171198,005,70133000
19,A000080,하이트진로,20210726,34900,34950,34500,34500,231520,005,70133000
20,A000080,하이트진로,20210723,35250,35250,34900,34900,223920,005,70133000
21,A000080,하이트진로,20210722,35250,35350,35150,35250,268136,005,70133000
22,A000080,하이트진로,20210721,35050,35150,34800,35150,234637,005,70133000
23,A000080,하이트진로,20210720,34700,35000,34650,34900,398551,005,70133000
24,A000080,하이트진로,20210719,35400,35500,35050,35200,248112,005,70133000
25,A000080,하이트진로,20210716,35650,35900,35300,35450,414865,005,70133000
26,A000080,하이트진로,20210715,35450,35900,35400,35650,419063,005,70133000
27,A000080,하이트진로,20210714,35150,35500,34850,35250,392191,005,70133000
28,A000080,하이트진로,20210713,35300,35450,34950,35100,406271,005,70133000
29,A000080,하이트진로,20210712,34650,35300,34650,34900,381886,005,70133000
30,A000080,하이트진로,20210709,34900,35150,34300,34500,704400,005,70133000
31,A000080,하이트진로,20210708,35800,36100,35300,35500,508687,005,70133000
32,A000080,하이트진로,20210707,36300,36350,35800,35950,833674,005,70133000
33,A000080,하이트진로,20210706,36500,36950,36500,36850,477695,005,70133000
34,A000080,하이트진로,20210705,36650,36650,36250,36500,607364,005,70133000
35,A000080,하이트진로,20210702,36900,37100,36450,36750,389230,005,70133000
36,A000080,하이트진로,20210701,37600,37600,36600,36850,668318,005,70133000
37,A000080,하이트진로,20210630,38050,38050,37600,37700,433924,005,70133000
38,A000080,하이트진로,20210629,38150,38200,37700,37700,287389,005,70133000
39,A000080,하이트진로,20210628,37800,38000,37500,37850,283112,005,70133000
40,A000080,하이트진로,20210625,37600,37950,37350,37800,311285,005,70133000
41,A000080,하이트진로,20210624,37700,37750,37000,37600,538683,005,70133000
42,A000080,하이트진로,20210623,39000,39050,37350,37650,894915,005,70133000
43,A000080,하이트진로,20210622,39000,39350,38500,38900,404566,005,70133000
44,A000080,하이트진로,20210621,39800,39850,38650,38800,674612,005,70133000
45,A000080,하이트진로,20210618,40100,40250,39500,39550,413169,005,70133000
46,A000080,하이트진로,20210617,39650,40000,39200,39950,378159,005,70133000
47,A000080,하이트진로,20210616,39100,39750,38950,39650,376119,005,70133000
48,A000080,하이트진로,20210615,39100,39300,38550,38950,510402,005,70133000
49,A000080,하이트진로,20210614,40000,40300,39100,39150,678649,005,70133000
50,A000080,하이트진로,20210611,40600,40750,39750,39900,711610,005,70133000
51,A000080,하이트진로,20210610,39500,40450,39500,39700,664298,005,70133000
52,A000080,하이트진로,20210609,39900,40000,39450,39600,418865,005,70133000
53,A000080,하이트진로,20210608,39650,40050,39500,39700,372872,005,70133000
54,A000080,하이트진로,20210607,39200,39700,38350,39650,667294,005,70133000
55,A000080,하이트진로,20210604,39800,39950,39100,39200,840596,005,70133000
56,A000080,하이트진로,20210603,40300,40600,39700,39900,701440,005,70133000
57,A000080,하이트진로,20210602,39900,40500,39600,40100,843333,005,70133000
58,A000080,하이트진로,20210601,39700,40000,39050,39600,803872,005,70133000
59,A000080,하이트진로,20210531,38200,39650,37850,39600,1466409,005,70133000
60,A000080,하이트진로,20210528,38550,38550,37700,37850,607115,005,70133000
61,A000080,하이트진로,20210527,38200,38650,37800,38300,1032084,005,70133000
62,A000080,하이트진로,20210526,36750,38350,36600,38150,2009431,005,70133000
63,A000080,하이트진로,20210525,36050,36600,35850,36600,448053,005,70133000
64,A000080,하이트진로,20210524,36000,36050,35500,35950,250125,005,70133000
65,A000080,하이트진로,20210521,36550,36700,35800,36100,346381,005,70133000
66,A000080,하이트진로,20210520,36250,36550,35800,36450,324436,005,70133000
67,A000080,하이트진로,20210518,36650,36900,36250,36250,531928,005,70133000
68,A000080,하이트진로,20210517,35750,36550,35400,36300,948590,005,70133000
69,A000080,하이트진로,20210514,35450,37700,34700,35700,1055675,005,70133000
70,A000080,하이트진로,20210513,34250,35800,34200,35350,521380,005,70133000
71,A000080,하이트진로,20210512,36100,36300,34750,35000,617603,005,70133000
