,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A000140,하이트진로홀딩스,20210823,13550,13650,13350,13600,10805,021,23206000
1,A000140,하이트진로홀딩스,20210820,14050,14100,13400,13550,45286,021,23206000
2,A000140,하이트진로홀딩스,20210819,14600,14600,13850,14050,35478,021,23206000
3,A000140,하이트진로홀딩스,20210818,14050,14750,14050,14500,23120,021,23206000
4,A000140,하이트진로홀딩스,20210817,14700,14800,14050,14300,42395,021,23206000
5,A000140,하이트진로홀딩스,20210813,14900,15000,14450,14700,31866,021,23206000
6,A000140,하이트진로홀딩스,20210812,15050,15150,14900,14950,20269,021,23206000
7,A000140,하이트진로홀딩스,20210811,15100,15150,14850,15050,18538,021,23206000
8,A000140,하이트진로홀딩스,20210810,15450,15450,14950,15000,29634,021,23206000
9,A000140,하이트진로홀딩스,20210809,15600,15600,15250,15350,13541,021,23206000
10,A000140,하이트진로홀딩스,20210806,15700,15700,15350,15600,14041,021,23206000
11,A000140,하이트진로홀딩스,20210805,15350,15700,15250,15500,32151,021,23206000
12,A000140,하이트진로홀딩스,20210804,15000,15250,14950,15200,18786,021,23206000
13,A000140,하이트진로홀딩스,20210803,15200,15200,14900,15050,18107,021,23206000
14,A000140,하이트진로홀딩스,20210802,15250,15250,14900,15100,20025,021,23206000
15,A000140,하이트진로홀딩스,20210730,15350,15400,15050,15200,22800,021,23206000
16,A000140,하이트진로홀딩스,20210729,15650,15650,15300,15350,26297,021,23206000
17,A000140,하이트진로홀딩스,20210728,15700,15700,15150,15450,21381,021,23206000
18,A000140,하이트진로홀딩스,20210727,15650,15800,15600,15650,10321,021,23206000
19,A000140,하이트진로홀딩스,20210726,15900,15950,15600,15650,14159,021,23206000
20,A000140,하이트진로홀딩스,20210723,16000,16050,15600,15800,31977,021,23206000
21,A000140,하이트진로홀딩스,20210722,16050,16050,15800,16000,12589,021,23206000
22,A000140,하이트진로홀딩스,20210721,16250,16300,15900,15900,13351,021,23206000
23,A000140,하이트진로홀딩스,20210720,16150,16300,15950,16000,30574,021,23206000
24,A000140,하이트진로홀딩스,20210719,16300,16700,16100,16350,35180,021,23206000
25,A000140,하이트진로홀딩스,20210716,16500,16500,16050,16300,23658,021,23206000
26,A000140,하이트진로홀딩스,20210715,16450,16500,16350,16450,12813,021,23206000
27,A000140,하이트진로홀딩스,20210714,16400,16450,16150,16400,17535,021,23206000
28,A000140,하이트진로홀딩스,20210713,16250,16400,16200,16350,21322,021,23206000
29,A000140,하이트진로홀딩스,20210712,15750,16100,15750,16100,29301,021,23206000
30,A000140,하이트진로홀딩스,20210709,15900,16100,15500,15750,54267,021,23206000
31,A000140,하이트진로홀딩스,20210708,16550,16550,16100,16150,44813,021,23206000
32,A000140,하이트진로홀딩스,20210707,16750,16800,16400,16550,68305,021,23206000
33,A000140,하이트진로홀딩스,20210706,16900,16900,16750,16800,18662,021,23206000
34,A000140,하이트진로홀딩스,20210705,17000,17050,16700,16850,41565,021,23206000
35,A000140,하이트진로홀딩스,20210702,17000,17100,16850,17000,17764,021,23206000
36,A000140,하이트진로홀딩스,20210701,16950,17050,16700,16950,35176,021,23206000
37,A000140,하이트진로홀딩스,20210630,17200,17400,17000,17050,42247,021,23206000
38,A000140,하이트진로홀딩스,20210629,17300,17350,17100,17150,19572,021,23206000
39,A000140,하이트진로홀딩스,20210628,17300,17400,17100,17150,35683,021,23206000
40,A000140,하이트진로홀딩스,20210625,17150,17450,17150,17250,20371,021,23206000
41,A000140,하이트진로홀딩스,20210624,17400,17450,17050,17300,29262,021,23206000
42,A000140,하이트진로홀딩스,20210623,17750,17750,17250,17300,40412,021,23206000
43,A000140,하이트진로홀딩스,20210622,17450,18000,17450,17550,69783,021,23206000
44,A000140,하이트진로홀딩스,20210621,17400,17500,16950,17200,61996,021,23206000
45,A000140,하이트진로홀딩스,20210618,17800,17850,17250,17550,46676,021,23206000
46,A000140,하이트진로홀딩스,20210617,17750,17850,17500,17800,32701,021,23206000
47,A000140,하이트진로홀딩스,20210616,17650,17900,17600,17750,46422,021,23206000
48,A000140,하이트진로홀딩스,20210615,17850,17950,17550,17650,45674,021,23206000
49,A000140,하이트진로홀딩스,20210614,18650,18700,17900,17950,76750,021,23206000
50,A000140,하이트진로홀딩스,20210611,18600,18700,18300,18500,25684,021,23206000
51,A000140,하이트진로홀딩스,20210610,18650,19000,18200,18450,99969,021,23206000
52,A000140,하이트진로홀딩스,20210609,19250,19250,18550,18650,24947,021,23206000
53,A000140,하이트진로홀딩스,20210608,18800,19200,18600,18900,35805,021,23206000
54,A000140,하이트진로홀딩스,20210607,18750,18850,18350,18800,47323,021,23206000
55,A000140,하이트진로홀딩스,20210604,19200,19200,18650,18750,51027,021,23206000
56,A000140,하이트진로홀딩스,20210603,19050,19400,19050,19200,24813,021,23206000
57,A000140,하이트진로홀딩스,20210602,18900,19550,18900,19300,57464,021,23206000
58,A000140,하이트진로홀딩스,20210601,19550,19650,18900,18900,81523,021,23206000
59,A000140,하이트진로홀딩스,20210531,18150,19750,18000,19300,217710,021,23206000
60,A000140,하이트진로홀딩스,20210528,18000,18250,17650,18050,57834,021,23206000
61,A000140,하이트진로홀딩스,20210527,17950,18000,17650,17850,47765,021,23206000
62,A000140,하이트진로홀딩스,20210526,17450,17800,17250,17800,60438,021,23206000
63,A000140,하이트진로홀딩스,20210525,17150,17450,16950,17350,25871,021,23206000
64,A000140,하이트진로홀딩스,20210524,17150,17850,16600,16950,71958,021,23206000
65,A000140,하이트진로홀딩스,20210521,17400,17500,16900,17050,27175,021,23206000
66,A000140,하이트진로홀딩스,20210520,17500,17550,17150,17300,32426,021,23206000
67,A000140,하이트진로홀딩스,20210518,17200,17500,17150,17500,29587,021,23206000
68,A000140,하이트진로홀딩스,20210517,17550,17900,17250,17250,96908,021,23206000
69,A000140,하이트진로홀딩스,20210514,16900,17500,16650,17500,90300,021,23206000
70,A000140,하이트진로홀딩스,20210513,16300,17050,16300,16750,70756,021,23206000
71,A000140,하이트진로홀딩스,20210512,16850,17200,16650,16750,65540,021,23206000
72,A000140,하이트진로홀딩스,20210511,16700,17050,16650,16950,65741,021,23206000
73,A000140,하이트진로홀딩스,20210510,16600,16850,16550,16850,54742,021,23206000
74,A000140,하이트진로홀딩스,20210507,16400,16750,16350,16600,31783,021,23206000
75,A000140,하이트진로홀딩스,20210506,16250,16450,16150,16400,32521,021,23206000
76,A000140,하이트진로홀딩스,20210504,16450,16700,16200,16400,33153,021,23206000
77,A000140,하이트진로홀딩스,20210503,16350,16700,16300,16450,89759,021,23206000
78,A000140,하이트진로홀딩스,20210430,16250,16250,15950,15950,32349,021,23206000
79,A000140,하이트진로홀딩스,20210429,16450,16450,16000,16200,32902,021,23206000
80,A000140,하이트진로홀딩스,20210428,16400,16600,16250,16350,57270,021,23206000
81,A000140,하이트진로홀딩스,20210427,16200,16400,16050,16350,40295,021,23206000
82,A000140,하이트진로홀딩스,20210426,16000,16350,15900,16100,49718,021,23206000
83,A000140,하이트진로홀딩스,20210423,16050,16150,15900,16000,31588,021,23206000
84,A000140,하이트진로홀딩스,20210422,16350,16400,16050,16150,28127,021,23206000
85,A000140,하이트진로홀딩스,20210421,16400,16550,16200,16250,30345,021,23206000
86,A000140,하이트진로홀딩스,20210420,16250,16400,16100,16400,35534,021,23206000
87,A000140,하이트진로홀딩스,20210419,16400,16450,16000,16250,47927,021,23206000
88,A000140,하이트진로홀딩스,20210416,16400,16700,16350,16350,30704,021,23206000
89,A000140,하이트진로홀딩스,20210415,16300,16550,16200,16450,32612,021,23206000
90,A000140,하이트진로홀딩스,20210414,16450,16550,16300,16400,26149,021,23206000
91,A000140,하이트진로홀딩스,20210413,16650,16700,16450,16550,15600,021,23206000
92,A000140,하이트진로홀딩스,20210412,16450,16800,16200,16600,43017,021,23206000
93,A000140,하이트진로홀딩스,20210409,16050,16350,15900,16350,44975,021,23206000
94,A000140,하이트진로홀딩스,20210408,16100,16100,15800,15950,41711,021,23206000
95,A000140,하이트진로홀딩스,20210407,16050,16050,15750,16050,37284,021,23206000
