,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A123890,한국자산신탁,20210823,4310,4380,4295,4365,72185,021,123977000
1,A123890,한국자산신탁,20210820,4365,4485,4260,4295,306441,021,123977000
2,A123890,한국자산신탁,20210819,4460,4520,4360,4390,369839,021,123977000
3,A123890,한국자산신탁,20210818,4260,4485,4260,4460,391098,021,123977000
4,A123890,한국자산신탁,20210817,4350,4370,4220,4260,369399,021,123977000
5,A123890,한국자산신탁,20210813,4430,4450,4200,4350,292232,021,123977000
6,A123890,한국자산신탁,20210812,4430,4460,4405,4430,150760,021,123977000
7,A123890,한국자산신탁,20210811,4450,4490,4425,4430,133390,021,123977000
8,A123890,한국자산신탁,20210810,4500,4505,4425,4430,219974,021,123977000
9,A123890,한국자산신탁,20210809,4500,4515,4475,4500,154468,021,123977000
10,A123890,한국자산신탁,20210806,4475,4510,4445,4500,154115,021,123977000
11,A123890,한국자산신탁,20210805,4490,4505,4460,4475,152230,021,123977000
12,A123890,한국자산신탁,20210804,4450,4475,4420,4475,304618,021,123977000
13,A123890,한국자산신탁,20210803,4430,4465,4405,4450,329732,021,123977000
14,A123890,한국자산신탁,20210802,4510,4530,4395,4420,558265,021,123977000
15,A123890,한국자산신탁,20210730,4585,4585,4490,4545,309586,021,123977000
16,A123890,한국자산신탁,20210729,4630,4640,4555,4565,322465,021,123977000
17,A123890,한국자산신탁,20210728,4495,4635,4475,4590,445078,021,123977000
18,A123890,한국자산신탁,20210727,4510,4520,4480,4495,311512,021,123977000
19,A123890,한국자산신탁,20210726,4630,4630,4485,4500,384628,021,123977000
20,A123890,한국자산신탁,20210723,4575,4585,4475,4555,158906,021,123977000
21,A123890,한국자산신탁,20210722,4530,4620,4520,4530,232318,021,123977000
22,A123890,한국자산신탁,20210721,4530,4560,4500,4530,258718,021,123977000
23,A123890,한국자산신탁,20210720,4575,4575,4495,4525,528818,021,123977000
24,A123890,한국자산신탁,20210719,4655,4655,4580,4595,274013,021,123977000
25,A123890,한국자산신탁,20210716,4625,4665,4615,4655,197037,021,123977000
26,A123890,한국자산신탁,20210715,4625,4650,4615,4625,254570,021,123977000
27,A123890,한국자산신탁,20210714,4680,4685,4610,4620,251624,021,123977000
28,A123890,한국자산신탁,20210713,4615,4690,4615,4680,218479,021,123977000
29,A123890,한국자산신탁,20210712,4580,4700,4580,4625,307199,021,123977000
30,A123890,한국자산신탁,20210709,4655,4680,4570,4615,478677,021,123977000
31,A123890,한국자산신탁,20210708,4725,4770,4680,4705,292898,021,123977000
32,A123890,한국자산신탁,20210707,4765,4780,4730,4740,193560,021,123977000
33,A123890,한국자산신탁,20210706,4785,4790,4755,4780,255329,021,123977000
34,A123890,한국자산신탁,20210705,4790,4835,4745,4755,311078,021,123977000
35,A123890,한국자산신탁,20210702,4755,4775,4725,4775,231571,021,123977000
36,A123890,한국자산신탁,20210701,4815,4830,4730,4745,427718,021,123977000
37,A123890,한국자산신탁,20210630,4830,4835,4770,4795,243695,021,123977000
38,A123890,한국자산신탁,20210629,4855,4860,4765,4800,320205,021,123977000
39,A123890,한국자산신탁,20210628,4750,4855,4745,4855,368918,021,123977000
40,A123890,한국자산신탁,20210625,4750,4840,4730,4735,451264,021,123977000
41,A123890,한국자산신탁,20210624,4715,4770,4715,4735,213441,021,123977000
42,A123890,한국자산신탁,20210623,4775,4810,4725,4730,234436,021,123977000
43,A123890,한국자산신탁,20210622,4790,4830,4720,4765,338505,021,123977000
44,A123890,한국자산신탁,20210621,4900,4900,4730,4745,616327,021,123977000
45,A123890,한국자산신탁,20210618,4900,4915,4865,4900,244898,021,123977000
46,A123890,한국자산신탁,20210617,4965,4965,4870,4875,445996,021,123977000
47,A123890,한국자산신탁,20210616,4995,4995,4955,4960,339871,021,123977000
48,A123890,한국자산신탁,20210615,5020,5020,4965,4985,125567,021,123977000
49,A123890,한국자산신탁,20210614,5010,5020,4955,4990,207268,021,123977000
50,A123890,한국자산신탁,20210611,5010,5020,4970,4970,190243,021,123977000
51,A123890,한국자산신탁,20210610,4995,5030,4960,4960,338517,021,123977000
52,A123890,한국자산신탁,20210609,5030,5060,4995,4995,238279,021,123977000
53,A123890,한국자산신탁,20210608,5050,5060,4985,5030,183351,021,123977000
54,A123890,한국자산신탁,20210607,5060,5090,4985,5010,353512,021,123977000
55,A123890,한국자산신탁,20210604,5030,5070,4985,5060,303307,021,123977000
56,A123890,한국자산신탁,20210603,5100,5130,5020,5030,338919,021,123977000
57,A123890,한국자산신탁,20210602,5080,5100,5010,5100,263056,021,123977000
58,A123890,한국자산신탁,20210601,5130,5230,5050,5080,467509,021,123977000
59,A123890,한국자산신탁,20210531,5010,5140,5000,5130,483834,021,123977000
60,A123890,한국자산신탁,20210528,5020,5020,4965,5000,335917,021,123977000
61,A123890,한국자산신탁,20210527,5070,5080,4960,4975,311909,021,123977000
62,A123890,한국자산신탁,20210526,5050,5070,4945,5000,450575,021,123977000
63,A123890,한국자산신탁,20210525,5060,5170,5030,5050,423252,021,123977000
64,A123890,한국자산신탁,20210524,5060,5080,5010,5030,457390,021,123977000
65,A123890,한국자산신탁,20210521,5160,5190,4985,5060,507575,021,123977000
66,A123890,한국자산신탁,20210520,5290,5290,5060,5160,725223,021,123977000
67,A123890,한국자산신탁,20210518,5090,5400,5080,5260,1625794,021,123977000
68,A123890,한국자산신탁,20210517,4975,5140,4975,5030,1011548,021,123977000
69,A123890,한국자산신탁,20210514,4885,4985,4860,4975,690364,021,123977000
70,A123890,한국자산신탁,20210513,4700,4905,4685,4825,767806,021,123977000
71,A123890,한국자산신탁,20210512,4865,4865,4720,4785,325997,021,123977000
72,A123890,한국자산신탁,20210511,4820,4865,4755,4865,290149,021,123977000
73,A123890,한국자산신탁,20210510,4885,4885,4820,4850,391581,021,123977000
74,A123890,한국자산신탁,20210507,4840,4885,4805,4820,364284,021,123977000
75,A123890,한국자산신탁,20210506,4710,4870,4685,4830,578641,021,123977000
76,A123890,한국자산신탁,20210504,4660,4735,4530,4710,507366,021,123977000
77,A123890,한국자산신탁,20210503,4655,4740,4560,4660,365071,021,123977000
78,A123890,한국자산신탁,20210430,4690,4785,4600,4635,474678,021,123977000
79,A123890,한국자산신탁,20210429,4735,4755,4590,4705,440386,021,123977000
80,A123890,한국자산신탁,20210428,4830,4830,4700,4735,425065,021,123977000
81,A123890,한국자산신탁,20210427,4830,4845,4790,4835,332056,021,123977000
82,A123890,한국자산신탁,20210426,4845,4860,4795,4810,302612,021,123977000
83,A123890,한국자산신탁,20210423,4780,4835,4705,4815,297194,021,123977000
84,A123890,한국자산신탁,20210422,4750,4845,4750,4780,426385,021,123977000
85,A123890,한국자산신탁,20210421,4840,4870,4715,4745,451706,021,123977000
86,A123890,한국자산신탁,20210420,4700,4875,4700,4840,369839,021,123977000
87,A123890,한국자산신탁,20210419,4800,4805,4685,4770,629246,021,123977000
88,A123890,한국자산신탁,20210416,4760,4820,4740,4790,393477,021,123977000
89,A123890,한국자산신탁,20210415,4940,4940,4760,4775,927466,021,123977000
90,A123890,한국자산신탁,20210414,5070,5100,4860,4935,654118,021,123977000
91,A123890,한국자산신탁,20210413,5020,5230,5010,5060,919187,021,123977000
92,A123890,한국자산신탁,20210412,4905,5140,4860,4995,1087164,021,123977000
93,A123890,한국자산신탁,20210409,4945,4955,4855,4900,507111,021,123977000
94,A123890,한국자산신탁,20210408,4750,4975,4745,4890,1299115,021,123977000
95,A123890,한국자산신탁,20210407,4750,4845,4680,4715,453215,021,123977000
96,A123890,한국자산신탁,20210406,4810,4880,4670,4755,706588,021,123977000
