,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A014130,한익스프레스,20210823,6210,6400,6180,6370,22926,019,12000000
1,A014130,한익스프레스,20210820,6550,6580,6110,6200,194947,019,12000000
2,A014130,한익스프레스,20210819,6850,6930,6450,6470,136093,019,12000000
3,A014130,한익스프레스,20210818,6610,6990,6550,6850,288187,019,12000000
4,A014130,한익스프레스,20210817,6760,6990,6490,6500,182232,019,12000000
5,A014130,한익스프레스,20210813,6950,7000,6750,6810,167134,019,12000000
6,A014130,한익스프레스,20210812,7050,7160,6950,7000,113342,019,12000000
7,A014130,한익스프레스,20210811,6890,7220,6720,7180,385704,019,12000000
8,A014130,한익스프레스,20210810,7010,7010,6830,6890,72800,019,12000000
9,A014130,한익스프레스,20210809,7070,7090,6920,6990,73405,019,12000000
10,A014130,한익스프레스,20210806,7020,7080,6910,7070,79716,019,12000000
11,A014130,한익스프레스,20210805,7010,7030,6950,7000,51512,019,12000000
12,A014130,한익스프레스,20210804,6810,7010,6800,7010,118219,019,12000000
13,A014130,한익스프레스,20210803,6870,6930,6730,6810,119385,019,12000000
14,A014130,한익스프레스,20210802,6940,6950,6750,6870,113268,019,12000000
15,A014130,한익스프레스,20210730,7110,7110,6900,7020,108216,019,12000000
16,A014130,한익스프레스,20210729,7130,7210,7070,7070,134824,019,12000000
17,A014130,한익스프레스,20210728,7380,7380,7090,7130,199366,019,12000000
18,A014130,한익스프레스,20210727,7380,7570,7370,7370,195595,019,12000000
19,A014130,한익스프레스,20210726,7360,7560,7360,7400,224491,019,12000000
20,A014130,한익스프레스,20210723,7290,7450,7260,7360,185272,019,12000000
21,A014130,한익스프레스,20210722,7290,7370,7200,7290,148724,019,12000000
22,A014130,한익스프레스,20210721,7330,7490,7230,7290,224527,019,12000000
23,A014130,한익스프레스,20210720,7160,7380,7080,7300,231809,019,12000000
24,A014130,한익스프레스,20210719,7270,7340,7120,7300,193821,019,12000000
25,A014130,한익스프레스,20210716,7380,7490,7170,7180,326178,019,12000000
26,A014130,한익스프레스,20210715,7670,7710,7400,7400,462528,019,12000000
27,A014130,한익스프레스,20210714,7620,7810,7500,7810,998893,019,12000000
28,A014130,한익스프레스,20210713,7850,7860,7310,7500,1399531,019,12000000
29,A014130,한익스프레스,20210712,7520,7720,7380,7470,739527,019,12000000
30,A014130,한익스프레스,20210709,7570,8170,7200,7470,1636676,019,12000000
31,A014130,한익스프레스,20210708,7230,7500,7140,7500,1501032,019,12000000
32,A014130,한익스프레스,20210707,6900,7240,6840,7230,563651,019,12000000
33,A014130,한익스프레스,20210706,6850,6920,6770,6910,76343,019,12000000
34,A014130,한익스프레스,20210705,6780,6870,6770,6850,68469,019,12000000
35,A014130,한익스프레스,20210702,6780,6830,6700,6800,83685,019,12000000
36,A014130,한익스프레스,20210701,6810,6850,6700,6770,101496,019,12000000
37,A014130,한익스프레스,20210630,6850,6890,6770,6800,65935,019,12000000
38,A014130,한익스프레스,20210629,6960,7000,6820,6850,94711,019,12000000
39,A014130,한익스프레스,20210628,6980,7020,6900,6980,60377,019,12000000
40,A014130,한익스프레스,20210625,6920,7000,6850,6970,60825,019,12000000
41,A014130,한익스프레스,20210624,7110,7120,6890,6920,154266,019,12000000
42,A014130,한익스프레스,20210623,7040,7220,6990,7090,159533,019,12000000
43,A014130,한익스프레스,20210622,7030,7170,7000,7010,82414,019,12000000
44,A014130,한익스프레스,20210621,7180,7180,6990,7010,147621,019,12000000
45,A014130,한익스프레스,20210618,7260,7260,7130,7190,125256,019,12000000
46,A014130,한익스프레스,20210617,7220,7350,7190,7240,171463,019,12000000
47,A014130,한익스프레스,20210616,7100,7300,7090,7290,387019,019,12000000
48,A014130,한익스프레스,20210615,6970,7230,6970,7090,379499,019,12000000
49,A014130,한익스프레스,20210614,7140,7270,7000,7060,466765,019,12000000
50,A014130,한익스프레스,20210611,7210,7650,7100,7230,2196212,019,12000000
51,A014130,한익스프레스,20210610,7220,7270,7080,7170,190038,019,12000000
52,A014130,한익스프레스,20210609,7250,7320,7120,7220,243453,019,12000000
53,A014130,한익스프레스,20210608,7120,7260,7120,7160,169475,019,12000000
54,A014130,한익스프레스,20210607,7240,7250,7080,7180,97614,019,12000000
55,A014130,한익스프레스,20210604,7140,7240,7080,7190,141445,019,12000000
56,A014130,한익스프레스,20210603,7300,7300,7090,7150,204363,019,12000000
57,A014130,한익스프레스,20210602,7130,7330,7070,7180,443390,019,12000000
58,A014130,한익스프레스,20210601,6870,7080,6830,7030,259542,019,12000000
59,A014130,한익스프레스,20210531,6980,6980,6840,6870,160900,019,12000000
60,A014130,한익스프레스,20210528,6750,6960,6750,6870,157834,019,12000000
61,A014130,한익스프레스,20210527,6730,6890,6680,6790,101540,019,12000000
62,A014130,한익스프레스,20210526,6750,6850,6660,6730,44029,019,12000000
63,A014130,한익스프레스,20210525,6510,6850,6510,6750,131446,019,12000000
64,A014130,한익스프레스,20210524,6540,6550,6440,6500,84093,019,12000000
65,A014130,한익스프레스,20210521,6680,6720,6500,6540,137547,019,12000000
66,A014130,한익스프레스,20210520,6840,6840,6580,6610,209537,019,12000000
67,A014130,한익스프레스,20210518,6850,6970,6800,6870,117592,019,12000000
68,A014130,한익스프레스,20210517,6940,6960,6790,6860,161703,019,12000000
69,A014130,한익스프레스,20210514,6950,7000,6820,6870,156125,019,12000000
70,A014130,한익스프레스,20210513,6750,7190,6750,6920,382656,019,12000000
71,A014130,한익스프레스,20210512,7060,7330,6760,6880,828474,019,12000000
72,A014130,한익스프레스,20210511,6980,7100,6860,7060,208763,019,12000000
73,A014130,한익스프레스,20210510,6910,7190,6900,7040,329597,019,12000000
74,A014130,한익스프레스,20210507,7150,7180,6900,6910,572017,019,12000000
75,A014130,한익스프레스,20210506,7030,7170,7000,7100,464576,019,12000000
76,A014130,한익스프레스,20210504,7400,7900,6950,7150,8895794,019,12000000
77,A014130,한익스프레스,20210503,6600,7070,6600,6910,1684120,019,12000000
78,A014130,한익스프레스,20210430,6700,6880,6500,6590,517771,019,12000000
79,A014130,한익스프레스,20210429,6450,6890,6430,6750,991704,019,12000000
80,A014130,한익스프레스,20210428,6620,6770,6350,6480,257318,019,12000000
81,A014130,한익스프레스,20210427,6720,6770,6570,6600,147872,019,12000000
82,A014130,한익스프레스,20210426,6690,6810,6590,6700,358732,019,12000000
83,A014130,한익스프레스,20210423,6430,6770,6310,6640,404090,019,12000000
84,A014130,한익스프레스,20210422,6500,6550,6370,6430,169402,019,12000000
85,A014130,한익스프레스,20210421,6900,7140,6450,6460,1268222,019,12000000
86,A014130,한익스프레스,20210420,6570,6610,6500,6600,133431,019,12000000
87,A014130,한익스프레스,20210419,6470,6630,6420,6560,246232,019,12000000
88,A014130,한익스프레스,20210416,6550,6620,6410,6450,174685,019,12000000
89,A014130,한익스프레스,20210415,6610,6660,6480,6550,329356,019,12000000
90,A014130,한익스프레스,20210414,6250,7090,6240,6590,2320490,019,12000000
91,A014130,한익스프레스,20210413,6150,6250,6120,6240,151003,019,12000000
92,A014130,한익스프레스,20210412,6190,6220,6120,6140,65287,019,12000000
93,A014130,한익스프레스,20210409,6180,6240,6130,6190,126850,019,12000000
94,A014130,한익스프레스,20210408,6120,6190,6060,6180,110426,019,12000000
95,A014130,한익스프레스,20210407,6050,6120,6000,6120,73893,019,12000000
96,A014130,한익스프레스,20210406,6100,6150,6010,6040,75146,019,12000000
97,A014130,한익스프레스,20210405,6060,6140,6030,6090,69882,019,12000000
98,A014130,한익스프레스,20210402,6160,6160,6050,6090,100113,019,12000000
99,A014130,한익스프레스,20210401,6210,6230,6130,6140,70239,019,12000000
100,A014130,한익스프레스,20210331,6130,6220,6130,6170,90530,019,12000000
101,A014130,한익스프레스,20210330,6100,6220,6060,6180,192637,019,12000000
102,A014130,한익스프레스,20210329,6280,6280,6060,6110,215227,019,12000000
103,A014130,한익스프레스,20210326,6050,6330,5960,6220,649782,019,12000000
104,A014130,한익스프레스,20210325,5940,6050,5920,5960,61181,019,12000000
105,A014130,한익스프레스,20210324,5950,6050,5870,5940,62186,019,12000000
106,A014130,한익스프레스,20210323,6170,6170,5990,5990,85995,019,12000000
