,¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,Ω√∞°,∞Ì∞°,¿˙∞°,¡æ∞°,∞≈∑°∑Æ,¡ı±«¿¸ªÍæ˜¡æƒ⁄µÂ,πﬂ«‡¡÷Ωƒºˆ
0,A002220,«—¿œ√∂∞≠,20210823,2885,2900,2745,2805,137166,011,26697000
1,A002220,«—¿œ√∂∞≠,20210820,3040,3040,2830,2885,156860,011,26697000
2,A002220,«—¿œ√∂∞≠,20210819,3075,3075,2875,3045,525109,011,26697000
3,A002220,«—¿œ√∂∞≠,20210818,2800,2980,2755,2930,310878,011,26697000
4,A002220,«—¿œ√∂∞≠,20210817,2700,2820,2700,2745,184817,011,26697000
5,A002220,«—¿œ√∂∞≠,20210813,2750,2750,2605,2730,114150,011,26697000
6,A002220,«—¿œ√∂∞≠,20210812,2725,2785,2695,2750,40544,011,26697000
7,A002220,«—¿œ√∂∞≠,20210811,2745,2810,2705,2725,103406,011,26697000
8,A002220,«—¿œ√∂∞≠,20210810,2870,2900,2740,2750,153246,011,26697000
9,A002220,«—¿œ√∂∞≠,20210809,2960,2960,2870,2870,89459,011,26697000
10,A002220,«—¿œ√∂∞≠,20210806,2990,2990,2890,2960,129437,011,26697000
11,A002220,«—¿œ√∂∞≠,20210805,3000,3010,2965,2990,69051,011,26697000
12,A002220,«—¿œ√∂∞≠,20210804,2940,3005,2940,3000,52044,011,26697000
13,A002220,«—¿œ√∂∞≠,20210803,2960,3015,2925,2940,87813,011,26697000
14,A002220,«—¿œ√∂∞≠,20210802,2975,3000,2920,2950,75671,011,26697000
15,A002220,«—¿œ√∂∞≠,20210730,3030,3050,2980,2990,68803,011,26697000
16,A002220,«—¿œ√∂∞≠,20210729,2995,3050,2980,2990,74164,011,26697000
17,A002220,«—¿œ√∂∞≠,20210728,2955,3025,2950,3000,90214,011,26697000
18,A002220,«—¿œ√∂∞≠,20210727,2930,3000,2930,2955,73211,011,26697000
19,A002220,«—¿œ√∂∞≠,20210726,3000,3025,2940,2940,41391,011,26697000
20,A002220,«—¿œ√∂∞≠,20210723,2925,3010,2925,3000,91851,011,26697000
21,A002220,«—¿œ√∂∞≠,20210722,2915,2950,2880,2925,90550,011,26697000
22,A002220,«—¿œ√∂∞≠,20210721,2940,2990,2915,2915,91185,011,26697000
23,A002220,«—¿œ√∂∞≠,20210720,2970,2985,2910,2940,72666,011,26697000
24,A002220,«—¿œ√∂∞≠,20210719,3095,3115,3000,3020,80469,011,26697000
25,A002220,«—¿œ√∂∞≠,20210716,3075,3170,3075,3095,175146,011,26697000
26,A002220,«—¿œ√∂∞≠,20210715,3035,3100,3030,3075,64417,011,26697000
27,A002220,«—¿œ√∂∞≠,20210714,3080,3085,3010,3050,92499,011,26697000
28,A002220,«—¿œ√∂∞≠,20210713,3050,3085,3030,3075,89865,011,26697000
29,A002220,«—¿œ√∂∞≠,20210712,2970,3075,2945,3050,118970,011,26697000
30,A002220,«—¿œ√∂∞≠,20210709,3040,3040,2900,2980,143914,011,26697000
31,A002220,«—¿œ√∂∞≠,20210708,3100,3115,3025,3040,118147,011,26697000
32,A002220,«—¿œ√∂∞≠,20210707,3190,3190,3090,3100,180111,011,26697000
33,A002220,«—¿œ√∂∞≠,20210706,3130,3280,3130,3190,212281,011,26697000
34,A002220,«—¿œ√∂∞≠,20210705,3100,3150,3100,3110,89496,011,26697000
35,A002220,«—¿œ√∂∞≠,20210702,3175,3175,3020,3105,274864,011,26697000
36,A002220,«—¿œ√∂∞≠,20210701,3205,3255,3170,3175,113802,011,26697000
37,A002220,«—¿œ√∂∞≠,20210630,3150,3240,3150,3205,218096,011,26697000
38,A002220,«—¿œ√∂∞≠,20210629,3220,3220,3140,3150,117864,011,26697000
39,A002220,«—¿œ√∂∞≠,20210628,3265,3265,3180,3205,125814,011,26697000
40,A002220,«—¿œ√∂∞≠,20210625,3105,3260,3105,3240,527267,011,26697000
41,A002220,«—¿œ√∂∞≠,20210624,3125,3145,3060,3095,77446,011,26697000
42,A002220,«—¿œ√∂∞≠,20210623,3175,3210,3120,3125,127591,011,26697000
43,A002220,«—¿œ√∂∞≠,20210622,3125,3210,3110,3175,169421,011,26697000
44,A002220,«—¿œ√∂∞≠,20210621,3200,3200,3095,3125,164783,011,26697000
45,A002220,«—¿œ√∂∞≠,20210618,3215,3215,3130,3205,143161,011,26697000
46,A002220,«—¿œ√∂∞≠,20210617,3265,3340,3215,3215,151979,011,26697000
47,A002220,«—¿œ√∂∞≠,20210616,3200,3340,3180,3265,351410,011,26697000
48,A002220,«—¿œ√∂∞≠,20210615,3160,3180,3135,3175,150172,011,26697000
49,A002220,«—¿œ√∂∞≠,20210614,3160,3195,3110,3135,195799,011,26697000
50,A002220,«—¿œ√∂∞≠,20210611,3080,3160,3080,3160,135527,011,26697000
51,A002220,«—¿œ√∂∞≠,20210610,3065,3115,3055,3080,97546,011,26697000
52,A002220,«—¿œ√∂∞≠,20210609,3030,3140,3030,3065,124817,011,26697000
53,A002220,«—¿œ√∂∞≠,20210608,3080,3100,3040,3040,113479,011,26697000
54,A002220,«—¿œ√∂∞≠,20210607,3165,3190,3020,3110,271102,011,26697000
55,A002220,«—¿œ√∂∞≠,20210604,3150,3175,3085,3160,150784,011,26697000
56,A002220,«—¿œ√∂∞≠,20210603,3155,3160,3075,3150,95308,011,26697000
57,A002220,«—¿œ√∂∞≠,20210602,3030,3160,3030,3125,214602,011,26697000
58,A002220,«—¿œ√∂∞≠,20210601,3035,3055,3005,3025,182089,011,26697000
59,A002220,«—¿œ√∂∞≠,20210531,3040,3070,2980,3010,154548,011,26697000
60,A002220,«—¿œ√∂∞≠,20210528,3040,3070,2985,3035,155168,011,26697000
61,A002220,«—¿œ√∂∞≠,20210527,3010,3090,2995,3000,142381,011,26697000
62,A002220,«—¿œ√∂∞≠,20210526,3010,3045,2930,2995,186281,011,26697000
63,A002220,«—¿œ√∂∞≠,20210525,2970,3020,2875,3000,275898,011,26697000
64,A002220,«—¿œ√∂∞≠,20210524,3020,3050,2895,2970,518466,011,26697000
65,A002220,«—¿œ√∂∞≠,20210521,3235,3260,3085,3110,240618,011,26697000
66,A002220,«—¿œ√∂∞≠,20210520,3395,3395,3150,3235,318543,011,26697000
67,A002220,«—¿œ√∂∞≠,20210518,3210,3340,3205,3280,260688,011,26397000
68,A002220,«—¿œ√∂∞≠,20210517,3255,3300,3130,3195,397673,011,26397000
69,A002220,«—¿œ√∂∞≠,20210514,3410,3435,3215,3290,408079,011,26397000
70,A002220,«—¿œ√∂∞≠,20210513,3505,3570,3330,3395,443389,011,26397000
71,A002220,«—¿œ√∂∞≠,20210512,3730,3765,3580,3580,943094,011,26397000
72,A002220,«—¿œ√∂∞≠,20210511,3525,3990,3485,3800,2892416,011,26397000
73,A002220,«—¿œ√∂∞≠,20210510,3600,3615,3450,3485,1145566,011,26397000
74,A002220,«—¿œ√∂∞≠,20210507,3590,4185,3585,3640,7860583,011,26397000
75,A002220,«—¿œ√∂∞≠,20210506,3000,3585,2950,3580,5341500,011,26397000
76,A002220,«—¿œ√∂∞≠,20210504,2920,3100,2910,2965,468879,011,26397000
77,A002220,«—¿œ√∂∞≠,20210503,3070,3070,2875,2910,636735,011,26397000
78,A002220,«—¿œ√∂∞≠,20210430,2960,3390,2960,3120,2971965,011,26397000
79,A002220,«—¿œ√∂∞≠,20210429,2865,3020,2860,2940,455152,011,26397000
80,A002220,«—¿œ√∂∞≠,20210428,3140,3140,2830,2865,906858,011,26397000
81,A002220,«—¿œ√∂∞≠,20210427,2940,3200,2890,3140,2049229,011,26397000
82,A002220,«—¿œ√∂∞≠,20210426,2990,2990,2915,2935,257219,011,26397000
83,A002220,«—¿œ√∂∞≠,20210423,2910,3025,2860,2940,1027896,011,26397000
84,A002220,«—¿œ√∂∞≠,20210422,2865,2905,2835,2885,126993,011,26397000
85,A002220,«—¿œ√∂∞≠,20210421,2910,2910,2830,2860,133749,011,26397000
86,A002220,«—¿œ√∂∞≠,20210420,2805,2915,2790,2905,255118,011,26397000
87,A002220,«—¿œ√∂∞≠,20210419,2830,2830,2750,2800,229809,011,26397000
88,A002220,«—¿œ√∂∞≠,20210416,2820,2850,2795,2835,153916,011,26397000
89,A002220,«—¿œ√∂∞≠,20210415,2905,2905,2780,2820,321960,011,26397000
90,A002220,«—¿œ√∂∞≠,20210414,2890,2945,2835,2940,287029,011,26397000
91,A002220,«—¿œ√∂∞≠,20210413,3030,3035,2865,2925,537621,011,26397000
92,A002220,«—¿œ√∂∞≠,20210412,3130,3135,2955,3000,1203230,011,26397000
93,A002220,«—¿œ√∂∞≠,20210409,2675,3320,2630,3100,8917635,011,26397000
94,A002220,«—¿œ√∂∞≠,20210408,2610,2755,2555,2625,397258,011,26397000
95,A002220,«—¿œ√∂∞≠,20210407,2545,2620,2520,2580,143923,011,26397000
96,A002220,«—¿œ√∂∞≠,20210406,2595,2745,2510,2545,312404,011,26397000
97,A002220,«—¿œ√∂∞≠,20210405,2525,2550,2455,2520,156676,011,26397000
98,A002220,«—¿œ√∂∞≠,20210402,2500,2590,2420,2480,285720,011,26397000
99,A002220,«—¿œ√∂∞≠,20210401,2350,2550,2285,2455,480768,011,26397000
100,A002220,«—¿œ√∂∞≠,20210331,2300,2335,2275,2335,36170,011,26397000
101,A002220,«—¿œ√∂∞≠,20210330,2325,2325,2275,2300,22075,011,26397000
102,A002220,«—¿œ√∂∞≠,20210329,2330,2330,2285,2295,35029,011,26397000
103,A002220,«—¿œ√∂∞≠,20210326,2290,2310,2245,2305,36373,011,26397000
104,A002220,«—¿œ√∂∞≠,20210325,2250,2270,2225,2255,35864,011,26397000
