,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A051600,한전KPS,20210823,37000,37300,36600,37100,51309,018,45000000
1,A051600,한전KPS,20210820,36250,37600,36150,36650,325479,018,45000000
2,A051600,한전KPS,20210819,38150,38150,36050,36200,568346,018,45000000
3,A051600,한전KPS,20210818,39200,39300,37650,38300,271464,018,45000000
4,A051600,한전KPS,20210817,39950,39950,38750,39200,210533,018,45000000
5,A051600,한전KPS,20210813,40900,40900,39600,39950,257656,018,45000000
6,A051600,한전KPS,20210812,41100,41700,40700,40700,216983,018,45000000
7,A051600,한전KPS,20210811,41250,41600,40850,41050,110549,018,45000000
8,A051600,한전KPS,20210810,41150,41550,40600,41500,154066,018,45000000
9,A051600,한전KPS,20210809,42350,42350,41050,41150,223508,018,45000000
10,A051600,한전KPS,20210806,42200,42650,42000,42450,116207,018,45000000
11,A051600,한전KPS,20210805,42250,42400,41600,42200,123206,018,45000000
12,A051600,한전KPS,20210804,41150,42250,40950,42100,156817,018,45000000
13,A051600,한전KPS,20210803,41900,42150,40600,41150,348498,018,45000000
14,A051600,한전KPS,20210802,42550,42950,42150,42200,122605,018,45000000
15,A051600,한전KPS,20210730,42950,43350,42350,42650,166429,018,45000000
16,A051600,한전KPS,20210729,43250,43500,42650,42900,116839,018,45000000
17,A051600,한전KPS,20210728,43000,44700,42500,43050,490194,018,45000000
18,A051600,한전KPS,20210727,43100,43450,42650,42650,125125,018,45000000
19,A051600,한전KPS,20210726,42700,43300,41950,42950,254281,018,45000000
20,A051600,한전KPS,20210723,43850,43850,42900,42950,217114,018,45000000
21,A051600,한전KPS,20210722,43650,44150,43050,43800,325235,018,45000000
22,A051600,한전KPS,20210721,43950,44000,42650,42900,339254,018,45000000
23,A051600,한전KPS,20210720,42600,44650,42600,43950,924623,018,45000000
24,A051600,한전KPS,20210719,43000,43450,41900,42900,202347,018,45000000
25,A051600,한전KPS,20210716,43000,43750,42550,43000,250904,018,45000000
26,A051600,한전KPS,20210715,41500,43500,41400,43000,592018,018,45000000
27,A051600,한전KPS,20210714,41350,41600,40400,41500,287023,018,45000000
28,A051600,한전KPS,20210713,42300,42650,41150,41300,400569,018,45000000
29,A051600,한전KPS,20210712,42800,42800,42050,42450,213019,018,45000000
30,A051600,한전KPS,20210709,41150,42550,41050,41800,527999,018,45000000
31,A051600,한전KPS,20210708,43450,43500,42000,42000,369137,018,45000000
32,A051600,한전KPS,20210707,44350,44350,43300,43400,338713,018,45000000
33,A051600,한전KPS,20210706,43150,45000,43150,44500,1084239,018,45000000
34,A051600,한전KPS,20210705,43300,43400,42650,42900,201927,018,45000000
35,A051600,한전KPS,20210702,42750,43500,42700,43100,211798,018,45000000
36,A051600,한전KPS,20210701,42850,43700,42450,42750,291835,018,45000000
37,A051600,한전KPS,20210630,43500,43600,42700,42850,231273,018,45000000
38,A051600,한전KPS,20210629,42650,43650,42350,43500,275213,018,45000000
39,A051600,한전KPS,20210628,42900,43650,42350,42700,192807,018,45000000
40,A051600,한전KPS,20210625,42250,43150,42250,42750,331351,018,45000000
41,A051600,한전KPS,20210624,42000,43150,40900,42200,442068,018,45000000
42,A051600,한전KPS,20210623,42600,42650,41250,41750,273640,018,45000000
43,A051600,한전KPS,20210622,41850,42850,41850,42450,274320,018,45000000
