,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A002320,한진,20210823,37450,38150,37400,38100,9193,019,14947000
1,A002320,한진,20210820,38400,38850,37150,37550,62253,019,14947000
2,A002320,한진,20210819,39100,39600,38350,38350,63031,019,14947000
3,A002320,한진,20210818,39000,39800,39000,39600,46577,019,14947000
4,A002320,한진,20210817,40350,40350,39300,39600,52619,019,14947000
5,A002320,한진,20210813,40650,40700,39850,40400,39294,019,14947000
6,A002320,한진,20210812,40550,40800,40400,40800,41062,019,14947000
7,A002320,한진,20210811,41100,41100,40500,40850,43113,019,14947000
8,A002320,한진,20210810,41100,41200,40500,41200,34713,019,14947000
9,A002320,한진,20210809,41600,41600,40750,41150,44829,019,14947000
10,A002320,한진,20210806,42050,42050,41250,41550,33480,019,14947000
11,A002320,한진,20210805,41300,41650,40950,41650,43101,019,14947000
12,A002320,한진,20210804,41150,41450,40750,41200,32103,019,14947000
13,A002320,한진,20210803,40700,40900,40450,40900,29716,019,14947000
14,A002320,한진,20210802,41200,41200,40550,40900,35346,019,14947000
15,A002320,한진,20210730,40800,40800,40350,40800,30221,019,14947000
16,A002320,한진,20210729,40800,41000,40250,40750,42917,019,14947000
17,A002320,한진,20210728,40950,41200,40100,40850,48048,019,14947000
18,A002320,한진,20210727,40200,41300,40200,40950,28501,019,14947000
19,A002320,한진,20210726,41100,41200,40300,40300,61541,019,14947000
20,A002320,한진,20210723,41450,41450,40900,41150,43890,019,14947000
21,A002320,한진,20210722,41500,41550,41050,41150,62207,019,14947000
22,A002320,한진,20210721,41800,42050,41350,41500,38908,019,14947000
23,A002320,한진,20210720,41150,41900,41050,41800,33584,019,14947000
24,A002320,한진,20210719,42700,42700,41700,41800,65092,019,14947000
25,A002320,한진,20210716,42550,42700,42250,42700,60754,019,14947000
26,A002320,한진,20210715,43750,43750,42700,42700,81882,019,14947000
27,A002320,한진,20210714,43950,43950,43150,43550,56768,019,14947000
28,A002320,한진,20210713,43300,44150,42500,43700,183828,019,14947000
29,A002320,한진,20210712,42000,43200,42000,43050,105456,019,14947000
