,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A086280,현대글로비스,20210823,176000,181000,176000,180500,50750,019,37500000
1,A086280,현대글로비스,20210820,180500,181500,174000,175500,135873,019,37500000
2,A086280,현대글로비스,20210819,184000,185500,178500,179000,139682,019,37500000
3,A086280,현대글로비스,20210818,185000,188500,183500,186000,91777,019,37500000
4,A086280,현대글로비스,20210817,188000,189500,184000,186500,125592,019,37500000
5,A086280,현대글로비스,20210813,191500,191500,185500,187500,118587,019,37500000
6,A086280,현대글로비스,20210812,191000,192500,189000,189500,79988,019,37500000
7,A086280,현대글로비스,20210811,189500,192000,188500,189000,109874,019,37500000
8,A086280,현대글로비스,20210810,191000,191500,188500,189500,93374,019,37500000
9,A086280,현대글로비스,20210809,193500,194000,191500,192000,88850,019,37500000
10,A086280,현대글로비스,20210806,196500,197000,194000,195000,59584,019,37500000
11,A086280,현대글로비스,20210805,195500,198000,195000,195500,67793,019,37500000
12,A086280,현대글로비스,20210804,194500,198500,194500,195500,101032,019,37500000
13,A086280,현대글로비스,20210803,198000,198000,192000,193500,102586,019,37500000
14,A086280,현대글로비스,20210802,195500,197000,193000,196000,78452,019,37500000
15,A086280,현대글로비스,20210730,199500,200000,194500,194500,149788,019,37500000
16,A086280,현대글로비스,20210729,200000,201500,199000,200500,79920,019,37500000
17,A086280,현대글로비스,20210728,201000,203500,198500,199000,149363,019,37500000
18,A086280,현대글로비스,20210727,208000,209000,201500,203000,129443,019,37500000
19,A086280,현대글로비스,20210726,203000,212000,201500,206000,343772,019,37500000
20,A086280,현대글로비스,20210723,201500,202500,198000,200000,91619,019,37500000
21,A086280,현대글로비스,20210722,200500,204000,199500,201000,100654,019,37500000
22,A086280,현대글로비스,20210721,200500,201000,198000,199500,88767,019,37500000
23,A086280,현대글로비스,20210720,198500,201000,198500,199000,83272,019,37500000
24,A086280,현대글로비스,20210719,200500,203000,199000,201500,78837,019,37500000
25,A086280,현대글로비스,20210716,203500,204000,200500,203000,80619,019,37500000
26,A086280,현대글로비스,20210715,199000,207000,198500,206000,185628,019,37500000
27,A086280,현대글로비스,20210714,201000,201500,198000,198000,116612,019,37500000
28,A086280,현대글로비스,20210713,200500,203500,199500,201000,103847,019,37500000
29,A086280,현대글로비스,20210712,201000,201500,199000,200500,72164,019,37500000
30,A086280,현대글로비스,20210709,198000,201500,196500,199000,132604,019,37500000
31,A086280,현대글로비스,20210708,207000,208000,200000,200500,221468,019,37500000
32,A086280,현대글로비스,20210707,208500,209000,205000,207000,174129,019,37500000
33,A086280,현대글로비스,20210706,213000,214000,210000,211000,118802,019,37500000
34,A086280,현대글로비스,20210705,209000,213000,207500,211000,192313,019,37500000
35,A086280,현대글로비스,20210702,206000,209000,204500,205500,87808,019,37500000
36,A086280,현대글로비스,20210701,208000,208500,204000,206000,142439,019,37500000
37,A086280,현대글로비스,20210630,209000,211500,207000,209000,128828,019,37500000
38,A086280,현대글로비스,20210629,212000,212500,206500,208500,183625,019,37500000
39,A086280,현대글로비스,20210628,212000,212500,207000,212000,154965,019,37500000
40,A086280,현대글로비스,20210625,209000,216000,208500,213000,268902,019,37500000
41,A086280,현대글로비스,20210624,214000,217000,206500,207500,279449,019,37500000
42,A086280,현대글로비스,20210623,207000,214500,203000,212500,363089,019,37500000
43,A086280,현대글로비스,20210622,207000,212000,205500,207500,343536,019,37500000
44,A086280,현대글로비스,20210621,200000,204500,198500,204500,211967,019,37500000
45,A086280,현대글로비스,20210618,204500,205000,199000,202500,219081,019,37500000
46,A086280,현대글로비스,20210617,202500,206000,202000,204500,272744,019,37500000
47,A086280,현대글로비스,20210616,193000,206000,192500,204500,793925,019,37500000
48,A086280,현대글로비스,20210615,190000,195000,187500,194500,180548,019,37500000
49,A086280,현대글로비스,20210614,191000,191500,186000,189500,137901,019,37500000
50,A086280,현대글로비스,20210611,190500,193000,189500,191000,104204,019,37500000
51,A086280,현대글로비스,20210610,192000,193000,189500,189500,218370,019,37500000
52,A086280,현대글로비스,20210609,198500,199000,192000,192500,186215,019,37500000
53,A086280,현대글로비스,20210608,194000,200000,191500,198000,279697,019,37500000
54,A086280,현대글로비스,20210607,196000,197500,193500,194000,163958,019,37500000
55,A086280,현대글로비스,20210604,193000,195500,189000,194000,170373,019,37500000
56,A086280,현대글로비스,20210603,192000,195500,190000,193500,115941,019,37500000
57,A086280,현대글로비스,20210602,191500,194500,191000,191500,114756,019,37500000
58,A086280,현대글로비스,20210601,190000,196000,189500,191500,165029,019,37500000
59,A086280,현대글로비스,20210531,192500,194000,188000,189000,129771,019,37500000
60,A086280,현대글로비스,20210528,187000,194000,186000,191500,207905,019,37500000
61,A086280,현대글로비스,20210527,187500,188500,185000,185500,118808,019,37500000
62,A086280,현대글로비스,20210526,187000,189000,186000,187000,60313,019,37500000
63,A086280,현대글로비스,20210525,186500,189000,185500,187500,67617,019,37500000
64,A086280,현대글로비스,20210524,187000,189000,185000,186500,83642,019,37500000
65,A086280,현대글로비스,20210521,190500,192500,186500,187000,124742,019,37500000
66,A086280,현대글로비스,20210520,186000,190000,184500,189000,118900,019,37500000
67,A086280,현대글로비스,20210518,185000,188500,184500,188000,103972,019,37500000
68,A086280,현대글로비스,20210517,187500,188000,183000,183500,129188,019,37500000
69,A086280,현대글로비스,20210514,192000,192500,186000,186000,208071,019,37500000
70,A086280,현대글로비스,20210513,191000,196000,187000,189000,376469,019,37500000
71,A086280,현대글로비스,20210512,197000,198500,192500,196000,165665,019,37500000
72,A086280,현대글로비스,20210511,198000,198500,194000,198000,157262,019,37500000
