,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A052260,현대바이오랜드,20210823,18850,19250,18700,19150,29617,265,15000000
1,A052260,현대바이오랜드,20210820,19400,19750,18800,18850,101245,265,15000000
2,A052260,현대바이오랜드,20210819,20150,20200,19350,19550,92178,265,15000000
3,A052260,현대바이오랜드,20210818,20100,20500,19950,20300,50781,265,15000000
4,A052260,현대바이오랜드,20210817,21100,21250,20300,20450,67815,265,15000000
5,A052260,현대바이오랜드,20210813,21100,21200,20400,20700,83040,265,15000000
6,A052260,현대바이오랜드,20210812,21000,21150,20900,21100,52096,265,15000000
7,A052260,현대바이오랜드,20210811,21200,21300,21000,21050,37650,265,15000000
8,A052260,현대바이오랜드,20210810,21350,21500,21050,21200,45564,265,15000000
9,A052260,현대바이오랜드,20210809,21550,21550,21200,21400,34310,265,15000000
10,A052260,현대바이오랜드,20210806,21550,21650,21350,21550,39020,265,15000000
11,A052260,현대바이오랜드,20210805,21200,21550,21200,21550,26934,265,15000000
12,A052260,현대바이오랜드,20210804,21050,21200,21000,21200,29897,265,15000000
13,A052260,현대바이오랜드,20210803,21150,21300,20950,21050,38268,265,15000000
14,A052260,현대바이오랜드,20210802,21150,21300,20950,21100,57569,265,15000000
15,A052260,현대바이오랜드,20210730,21350,21400,21100,21150,36023,265,15000000
16,A052260,현대바이오랜드,20210729,21250,21450,21250,21350,21704,265,15000000
17,A052260,현대바이오랜드,20210728,21200,21450,21150,21250,38288,265,15000000
18,A052260,현대바이오랜드,20210727,21200,21450,21000,21200,68927,265,15000000
19,A052260,현대바이오랜드,20210726,21550,21750,21200,21250,82822,265,15000000
20,A052260,현대바이오랜드,20210723,21500,21750,21450,21600,28921,265,15000000
21,A052260,현대바이오랜드,20210722,21400,21650,21400,21550,40578,265,15000000
22,A052260,현대바이오랜드,20210721,21500,21700,21400,21450,65681,265,15000000
23,A052260,현대바이오랜드,20210720,21500,21800,21350,21350,73753,265,15000000
24,A052260,현대바이오랜드,20210719,21850,21950,21550,21750,48836,265,15000000
25,A052260,현대바이오랜드,20210716,22050,22050,21850,21950,50294,265,15000000
26,A052260,현대바이오랜드,20210715,22050,22100,21900,22050,50420,265,15000000
27,A052260,현대바이오랜드,20210714,22100,22150,21900,21950,33548,265,15000000
28,A052260,현대바이오랜드,20210713,21800,22200,21800,22050,49781,265,15000000
29,A052260,현대바이오랜드,20210712,21700,22150,21650,21850,40836,265,15000000
30,A052260,현대바이오랜드,20210709,21900,22050,21300,21700,136727,265,15000000
31,A052260,현대바이오랜드,20210708,22500,22600,22050,22100,114595,265,15000000
32,A052260,현대바이오랜드,20210707,22750,22800,22500,22600,57764,265,15000000
33,A052260,현대바이오랜드,20210706,22500,23050,22500,22800,77043,265,15000000
34,A052260,현대바이오랜드,20210705,22500,22600,22450,22500,39702,265,15000000
35,A052260,현대바이오랜드,20210702,22600,22650,22350,22450,60029,265,15000000
36,A052260,현대바이오랜드,20210701,22650,22700,22450,22600,54841,265,15000000
37,A052260,현대바이오랜드,20210630,22600,22700,22500,22650,58999,265,15000000
38,A052260,현대바이오랜드,20210629,22600,22650,22450,22600,58483,265,15000000
39,A052260,현대바이오랜드,20210628,22350,22700,22200,22500,78035,265,15000000
40,A052260,현대바이오랜드,20210625,22450,22650,22300,22350,87346,265,15000000
41,A052260,현대바이오랜드,20210624,22750,22750,22300,22400,129304,265,15000000
42,A052260,현대바이오랜드,20210623,22950,23200,22600,22750,89758,265,15000000
43,A052260,현대바이오랜드,20210622,23300,23350,22950,22950,86729,265,15000000
44,A052260,현대바이오랜드,20210621,23400,23450,23000,23200,110310,265,15000000
45,A052260,현대바이오랜드,20210618,23800,23850,23500,23500,109418,265,15000000
46,A052260,현대바이오랜드,20210617,23850,23900,23700,23750,71814,265,15000000
47,A052260,현대바이오랜드,20210616,23900,24050,23650,23850,95656,265,15000000
48,A052260,현대바이오랜드,20210615,24000,24450,23750,23850,223527,265,15000000
49,A052260,현대바이오랜드,20210614,23700,24100,23550,23800,128119,265,15000000
50,A052260,현대바이오랜드,20210611,24000,24050,23650,23850,103914,265,15000000
51,A052260,현대바이오랜드,20210610,23150,24000,23100,23750,420598,265,15000000
52,A052260,현대바이오랜드,20210609,23550,23700,23150,23150,104843,265,15000000
53,A052260,현대바이오랜드,20210608,23300,23750,23300,23500,111095,265,15000000
54,A052260,현대바이오랜드,20210607,23800,23850,23300,23450,115058,265,15000000
55,A052260,현대바이오랜드,20210604,23950,23950,23550,23750,120356,265,15000000
56,A052260,현대바이오랜드,20210603,23700,24000,23600,23800,195863,265,15000000
57,A052260,현대바이오랜드,20210602,23650,23800,23400,23700,152523,265,15000000
58,A052260,현대바이오랜드,20210601,23800,23800,23350,23550,148166,265,15000000
59,A052260,현대바이오랜드,20210531,22650,23800,22600,23500,283401,265,15000000
60,A052260,현대바이오랜드,20210528,22950,23000,22550,22700,120657,265,15000000
61,A052260,현대바이오랜드,20210527,22150,23000,22050,22750,204063,265,15000000
62,A052260,현대바이오랜드,20210526,21950,22150,21750,21950,77715,265,15000000
63,A052260,현대바이오랜드,20210525,21950,22050,21750,21850,61077,265,15000000
64,A052260,현대바이오랜드,20210524,21750,22200,21700,21850,47841,265,15000000
65,A052260,현대바이오랜드,20210521,22600,22650,21850,21950,111070,265,15000000
66,A052260,현대바이오랜드,20210520,22400,22450,21950,22400,65985,265,15000000
67,A052260,현대바이오랜드,20210518,22100,22500,22100,22250,53067,265,15000000
68,A052260,현대바이오랜드,20210517,21900,22450,21800,22250,96090,265,15000000
69,A052260,현대바이오랜드,20210514,21500,22000,21500,21750,61592,265,15000000
70,A052260,현대바이오랜드,20210513,21550,21950,21450,21500,79318,265,15000000
71,A052260,현대바이오랜드,20210512,22000,22350,21750,21800,117742,265,15000000
72,A052260,현대바이오랜드,20210511,22300,22450,21950,22150,88360,265,15000000
73,A052260,현대바이오랜드,20210510,21850,22450,21800,22400,74120,265,15000000
