,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A004560,현대비앤지스틸,20210823,17450,17700,17000,17500,70168,011,15078000
1,A004560,현대비앤지스틸,20210820,18450,18800,17300,17400,249472,011,15078000
2,A004560,현대비앤지스틸,20210819,19500,19500,18350,18350,242877,011,15078000
3,A004560,현대비앤지스틸,20210818,18700,19650,18500,19650,171977,011,15078000
4,A004560,현대비앤지스틸,20210817,19650,19850,18900,18950,217084,011,15078000
5,A004560,현대비앤지스틸,20210813,20350,20400,19250,19800,251368,011,15078000
6,A004560,현대비앤지스틸,20210812,21000,21150,20100,20350,367598,011,15078000
7,A004560,현대비앤지스틸,20210811,21500,21700,20850,21000,332559,011,15078000
8,A004560,현대비앤지스틸,20210810,21100,21200,20850,21200,130596,011,15078000
9,A004560,현대비앤지스틸,20210809,21400,21450,20950,21200,130994,011,15078000
10,A004560,현대비앤지스틸,20210806,21500,21700,21250,21400,128679,011,15078000
11,A004560,현대비앤지스틸,20210805,21500,21800,21100,21600,168196,011,15078000
12,A004560,현대비앤지스틸,20210804,21000,21800,20800,21450,246057,011,15078000
13,A004560,현대비앤지스틸,20210803,22200,22300,20950,20950,385890,011,15078000
14,A004560,현대비앤지스틸,20210802,22400,22450,21750,22100,203284,011,15078000
15,A004560,현대비앤지스틸,20210730,22950,23200,22350,22400,301545,011,15078000
16,A004560,현대비앤지스틸,20210729,22450,23450,22200,23000,861381,011,15078000
17,A004560,현대비앤지스틸,20210728,22300,22650,21550,22150,346791,011,15078000
18,A004560,현대비앤지스틸,20210727,21500,22350,21400,22200,349284,011,15078000
19,A004560,현대비앤지스틸,20210726,22350,22500,21350,21400,211391,011,15078000
20,A004560,현대비앤지스틸,20210723,21650,22400,21300,21950,316065,011,15078000
21,A004560,현대비앤지스틸,20210722,21000,21550,20900,21450,173743,011,15078000
22,A004560,현대비앤지스틸,20210721,21700,21900,20800,20800,239772,011,15078000
23,A004560,현대비앤지스틸,20210720,21700,22050,21150,21400,448321,011,15078000
24,A004560,현대비앤지스틸,20210719,22650,23150,22100,22350,352632,011,15078000
25,A004560,현대비앤지스틸,20210716,22400,23800,22250,22650,1245116,011,15078000
26,A004560,현대비앤지스틸,20210715,22400,22750,22000,22400,407767,011,15078000
27,A004560,현대비앤지스틸,20210714,21050,23000,20750,22200,976755,011,15078000
28,A004560,현대비앤지스틸,20210713,21000,21100,20700,21050,139800,011,15078000
29,A004560,현대비앤지스틸,20210712,20550,21100,20350,20800,177159,011,15078000
30,A004560,현대비앤지스틸,20210709,20800,20800,20000,20350,318725,011,15078000
31,A004560,현대비앤지스틸,20210708,20800,21800,20700,21100,396406,011,15078000
32,A004560,현대비앤지스틸,20210707,21350,21350,20700,20850,188551,011,15078000
33,A004560,현대비앤지스틸,20210706,20850,21350,20800,21350,201590,011,15078000
34,A004560,현대비앤지스틸,20210705,20950,21250,20600,20850,119184,011,15078000
35,A004560,현대비앤지스틸,20210702,20950,21150,20700,20750,144957,011,15078000
36,A004560,현대비앤지스틸,20210701,21000,21250,20800,20900,124878,011,15078000
37,A004560,현대비앤지스틸,20210630,21000,21300,20650,21100,173281,011,15078000
38,A004560,현대비앤지스틸,20210629,21750,21800,20800,21000,300683,011,15078000
39,A004560,현대비앤지스틸,20210628,21850,22150,21300,21750,300870,011,15078000
40,A004560,현대비앤지스틸,20210625,22450,22550,21750,21850,552281,011,15078000
41,A004560,현대비앤지스틸,20210624,21150,21950,20650,21900,482850,011,15078000
42,A004560,현대비앤지스틸,20210623,21500,21550,20800,21150,351046,011,15078000
43,A004560,현대비앤지스틸,20210622,20250,21800,20250,21250,803358,011,15078000
44,A004560,현대비앤지스틸,20210621,20150,20350,19800,20200,137634,011,15078000
45,A004560,현대비앤지스틸,20210618,20350,20450,20050,20150,180558,011,15078000
