,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A005387,현대차2우B,20210823,96800,97500,95500,97300,29914,015,36485000
1,A005387,현대차2우B,20210820,99100,99600,96000,96800,103564,015,36485000
2,A005387,현대차2우B,20210819,98400,99600,98000,99000,123756,015,36485000
3,A005387,현대차2우B,20210818,98600,99900,98400,98900,94525,015,36485000
4,A005387,현대차2우B,20210817,100000,101000,98600,98600,115683,015,36485000
5,A005387,현대차2우B,20210813,103000,103000,99800,100000,255459,015,36485000
6,A005387,현대차2우B,20210812,102500,104500,102000,102500,140126,015,36485000
7,A005387,현대차2우B,20210811,103000,103500,101500,102500,62101,015,36485000
8,A005387,현대차2우B,20210810,103500,103500,101500,103000,106104,015,36485000
9,A005387,현대차2우B,20210809,104500,104500,102500,103500,141932,015,36485000
10,A005387,현대차2우B,20210806,106500,106500,104000,104500,137205,015,36485000
11,A005387,현대차2우B,20210805,106500,107000,105000,106000,98549,015,36485000
12,A005387,현대차2우B,20210804,106500,107000,106000,107000,71859,015,36485000
13,A005387,현대차2우B,20210803,105000,106500,104500,106500,115483,015,36485000
14,A005387,현대차2우B,20210802,104500,105500,103500,105500,72805,015,36485000
15,A005387,현대차2우B,20210730,106000,106000,104000,104000,93362,015,36485000
16,A005387,현대차2우B,20210729,106000,106500,104500,105500,90375,015,36485000
17,A005387,현대차2우B,20210728,106500,106500,104500,106000,160103,015,36485000
18,A005387,현대차2우B,20210727,106500,107500,106000,107000,149972,015,36485000
19,A005387,현대차2우B,20210726,108500,108500,105000,107000,149703,015,36485000
20,A005387,현대차2우B,20210723,110000,110500,107000,108000,159426,015,36485000
21,A005387,현대차2우B,20210722,110500,111500,109500,110000,136384,015,36485000
22,A005387,현대차2우B,20210721,113000,113500,110000,110500,117146,015,36485000
23,A005387,현대차2우B,20210720,111500,113000,110500,112000,79266,015,36485000
24,A005387,현대차2우B,20210719,113000,113500,111500,112500,87412,015,36485000
25,A005387,현대차2우B,20210716,113500,114500,112000,114500,71877,015,36485000
26,A005387,현대차2우B,20210715,112000,114000,111000,113500,95136,015,36485000
27,A005387,현대차2우B,20210714,111500,113000,111000,112000,78816,015,36485000
28,A005387,현대차2우B,20210713,110500,112000,110500,112000,55841,015,36485000
29,A005387,현대차2우B,20210712,111500,112500,110000,111000,96556,015,36485000
30,A005387,현대차2우B,20210709,111000,111000,108000,109500,111575,015,36485000
31,A005387,현대차2우B,20210708,112500,113500,110000,112000,139245,015,36485000
32,A005387,현대차2우B,20210707,113500,114000,112000,112000,65578,015,36485000
33,A005387,현대차2우B,20210706,114000,115500,113500,113500,53258,015,36485000
34,A005387,현대차2우B,20210705,114500,115000,113000,114000,40923,015,36485000
35,A005387,현대차2우B,20210702,115000,115500,114000,114000,72917,015,36485000
36,A005387,현대차2우B,20210701,115000,115500,113000,115000,113161,015,36485000
37,A005387,현대차2우B,20210630,116000,116500,114500,115000,113308,015,36485000
38,A005387,현대차2우B,20210629,116500,118000,115000,115000,145054,015,36485000
39,A005387,현대차2우B,20210628,118000,118500,116500,117500,63818,015,36485000
40,A005387,현대차2우B,20210625,117500,118000,116000,117500,70102,015,36485000
41,A005387,현대차2우B,20210624,118000,120000,117000,117000,126129,015,36485000
42,A005387,현대차2우B,20210623,118000,118500,116500,117500,85377,015,36485000
43,A005387,현대차2우B,20210622,115000,118500,115000,116500,61254,015,36485000
44,A005387,현대차2우B,20210621,115500,116500,114000,114000,60597,015,36485000
45,A005387,현대차2우B,20210618,117000,117500,116000,116000,69030,015,36485000
46,A005387,현대차2우B,20210617,117000,118000,115500,116500,84712,015,36485000
47,A005387,현대차2우B,20210616,116500,119000,116000,117000,54895,015,36485000
48,A005387,현대차2우B,20210615,115500,116500,114500,116000,32204,015,36485000
49,A005387,현대차2우B,20210614,115500,116500,114500,115500,66884,015,36485000
50,A005387,현대차2우B,20210611,116500,118500,116000,116500,48125,015,36485000
51,A005387,현대차2우B,20210610,118000,118000,115000,115500,117750,015,36485000
52,A005387,현대차2우B,20210609,120500,121000,118000,118000,46901,015,36485000
53,A005387,현대차2우B,20210608,119000,122000,118000,120500,156071,015,36485000
54,A005387,현대차2우B,20210607,118000,121500,117500,119000,109031,015,36485000
55,A005387,현대차2우B,20210604,114000,117500,113500,117000,144634,015,36485000
56,A005387,현대차2우B,20210603,113000,114000,112000,113000,114819,015,36485000
57,A005387,현대차2우B,20210602,112500,115000,112000,112500,92423,015,36485000
58,A005387,현대차2우B,20210601,112000,113500,110500,112000,135283,015,36485000
59,A005387,현대차2우B,20210531,110500,112500,109500,112000,61271,015,36485000
60,A005387,현대차2우B,20210528,107000,111000,106500,109500,158414,015,36485000
61,A005387,현대차2우B,20210527,111000,111000,105500,105500,224459,015,36485000
62,A005387,현대차2우B,20210526,111000,111000,109500,110500,58422,015,36485000
63,A005387,현대차2우B,20210525,111500,112000,110000,111000,53756,015,36485000
64,A005387,현대차2우B,20210524,109500,111500,109500,111000,75005,015,36485000
65,A005387,현대차2우B,20210521,110500,112500,109500,109500,130608,015,36485000
66,A005387,현대차2우B,20210520,111000,111500,109000,109500,101195,015,36485000
67,A005387,현대차2우B,20210518,110000,112500,110000,111500,71319,015,36485000
68,A005387,현대차2우B,20210517,114500,114500,110000,111000,120019,015,36485000
69,A005387,현대차2우B,20210514,114500,116000,112000,113000,63394,015,36485000
70,A005387,현대차2우B,20210513,110500,114000,109500,113000,190345,015,36485000
71,A005387,현대차2우B,20210512,113000,117000,111500,112500,106909,015,36485000
72,A005387,현대차2우B,20210511,112500,113500,111000,112500,89636,015,36485000
73,A005387,현대차2우B,20210510,111500,115000,111500,113500,157526,015,36485000
74,A005387,현대차2우B,20210507,107500,112000,107500,111000,169053,015,36485000
75,A005387,현대차2우B,20210506,106000,108500,105000,107500,75636,015,36485000
76,A005387,현대차2우B,20210504,107000,107500,104500,106500,69279,015,36485000
77,A005387,현대차2우B,20210503,106000,109000,105500,106000,112481,015,36485000
78,A005387,현대차2우B,20210430,106000,107500,104500,106000,153447,015,36485000
79,A005387,현대차2우B,20210429,106000,108000,104500,107000,122064,015,36485000
80,A005387,현대차2우B,20210428,104500,107000,104500,105500,83212,015,36485000
81,A005387,현대차2우B,20210427,107000,107000,105000,105500,58845,015,36485000
82,A005387,현대차2우B,20210426,106000,106500,105000,106500,85451,015,36485000
83,A005387,현대차2우B,20210423,105500,106500,104500,105000,128640,015,36485000
84,A005387,현대차2우B,20210422,105000,107500,104500,106000,86873,015,36485000
85,A005387,현대차2우B,20210421,106500,107000,104000,104000,92180,015,36485000
86,A005387,현대차2우B,20210420,107000,108500,106500,107500,94798,015,36485000
87,A005387,현대차2우B,20210419,107500,108500,107000,107000,60714,015,36485000
88,A005387,현대차2우B,20210416,107500,108500,107000,107000,54772,015,36485000
89,A005387,현대차2우B,20210415,109000,109000,107000,107500,54436,015,36485000
90,A005387,현대차2우B,20210414,108500,110500,108000,108500,63442,015,36485000
91,A005387,현대차2우B,20210413,106500,109000,106000,108000,128175,015,36485000
92,A005387,현대차2우B,20210412,104500,106500,103500,106500,142143,015,36485000
93,A005387,현대차2우B,20210409,105500,105500,104000,104500,108687,015,36485000
94,A005387,현대차2우B,20210408,104500,106000,103500,105500,80455,015,36485000
95,A005387,현대차2우B,20210407,104500,106000,103000,105000,155752,015,36485000
96,A005387,현대차2우B,20210406,107500,107500,104500,105500,82769,015,36485000
97,A005387,현대차2우B,20210405,106500,107000,104500,106500,58771,015,36485000
98,A005387,현대차2우B,20210402,100500,106500,100000,105500,212281,015,36485000
99,A005387,현대차2우B,20210401,99200,100500,98300,98500,63218,015,36485000
100,A005387,현대차2우B,20210331,99700,99900,98000,98000,50916,015,36485000
101,A005387,현대차2우B,20210330,96800,100500,96800,99600,84428,015,36485000
102,A005387,현대차2우B,20210329,97900,97900,96600,97900,93871,015,36485000
103,A005387,현대차2우B,20210326,98000,98100,97000,97700,58440,015,36485000
104,A005387,현대차2우B,20210325,98300,98800,96800,97300,86487,015,36485000
105,A005387,현대차2우B,20210324,100000,100500,98300,98300,164927,015,36485000
106,A005387,현대차2우B,20210323,101000,102000,100000,100500,122476,015,36485000
107,A005387,현대차2우B,20210322,101000,101500,99800,100500,59491,015,36485000
108,A005387,현대차2우B,20210319,101000,103000,100000,100000,106717,015,36485000
109,A005387,현대차2우B,20210318,100000,103500,100000,102500,112194,015,36485000
110,A005387,현대차2우B,20210317,101500,101500,99200,99400,94919,015,36485000
111,A005387,현대차2우B,20210316,103000,103500,100500,101500,77977,015,36485000
112,A005387,현대차2우B,20210315,101500,103500,100000,102000,48142,015,36485000
113,A005387,현대차2우B,20210312,100000,101500,99700,101500,102618,015,36485000
114,A005387,현대차2우B,20210311,97400,99600,97400,98200,60715,015,36485000
115,A005387,현대차2우B,20210310,101000,101500,96800,96900,70788,015,36485000
116,A005387,현대차2우B,20210309,98900,100500,96500,98800,106206,015,36485000
117,A005387,현대차2우B,20210308,102500,102500,98300,98500,121853,015,36485000
118,A005387,현대차2우B,20210305,100500,102000,98700,101000,118807,015,36485000
119,A005387,현대차2우B,20210304,102000,103500,101500,102000,91973,015,36485000
120,A005387,현대차2우B,20210303,104000,104500,100500,103500,183737,015,36485000
121,A005387,현대차2우B,20210302,105000,107500,102500,104500,131664,015,36485000
122,A005387,현대차2우B,20210226,104000,108000,101500,102000,232077,015,36485000
123,A005387,현대차2우B,20210225,104500,107500,102500,107000,168353,015,36485000
124,A005387,현대차2우B,20210224,109000,110000,102500,103500,169394,015,36485000
125,A005387,현대차2우B,20210223,107000,109500,105000,108500,142563,015,36485000
126,A005387,현대차2우B,20210222,110500,112000,107500,108000,95770,015,36485000
127,A005387,현대차2우B,20210219,110000,112000,107500,110000,172848,015,36485000
128,A005387,현대차2우B,20210218,114000,115000,110000,110500,158076,015,36485000
129,A005387,현대차2우B,20210217,116500,116500,113500,114500,92856,015,36485000
130,A005387,현대차2우B,20210216,116000,116500,114500,116000,110865,015,36485000
131,A005387,현대차2우B,20210215,115000,116000,113000,115500,98652,015,36485000
132,A005387,현대차2우B,20210210,109500,113000,108000,113000,94318,015,36485000
133,A005387,현대차2우B,20210209,107000,110000,107000,108000,129668,015,36485000
134,A005387,현대차2우B,20210208,108000,109000,105500,107000,190124,015,36485000
135,A005387,현대차2우B,20210205,116000,116000,111500,114000,142959,015,36485000
136,A005387,현대차2우B,20210204,113500,116000,111500,114000,172180,015,36485000
137,A005387,현대차2우B,20210203,110000,112500,109000,111000,159805,015,36485000
138,A005387,현대차2우B,20210202,110500,111000,105000,107500,147122,015,36485000
139,A005387,현대차2우B,20210201,103000,109000,101000,108000,127937,015,36485000
140,A005387,현대차2우B,20210129,112000,112000,102000,103000,250714,015,36485000
141,A005387,현대차2우B,20210128,108500,111500,108000,109500,156137,015,36485000
142,A005387,현대차2우B,20210127,115500,117500,111500,112000,168531,015,36485000
143,A005387,현대차2우B,20210126,120500,121000,114000,115000,180599,015,36485000
144,A005387,현대차2우B,20210125,116000,121000,114500,120000,126843,015,36485000
