,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A012670,환영철강공업,20210823,28000,28000,28000,28000,0,699,7665000
1,A012670,환영철강공업,20210820,28000,28000,28000,28000,0,699,7665000
2,A012670,환영철강공업,20210819,28000,28000,28000,28000,83,699,7665000
3,A012670,환영철강공업,20210818,29950,29950,29950,29950,1,699,7665000
4,A012670,환영철강공업,20210817,27000,27900,27000,27900,105,699,7665000
5,A012670,환영철강공업,20210813,28000,28000,28000,28000,8,699,7665000
6,A012670,환영철강공업,20210812,28500,28500,28500,28500,0,699,7665000
7,A012670,환영철강공업,20210811,28500,28500,28500,28500,1,699,7665000
8,A012670,환영철강공업,20210810,28000,28000,28000,28000,0,699,7665000
9,A012670,환영철강공업,20210809,28000,28000,28000,28000,0,699,7665000
10,A012670,환영철강공업,20210806,28000,28000,28000,28000,8,699,7665000
11,A012670,환영철강공업,20210805,28000,28000,28000,28000,6,699,7665000
12,A012670,환영철강공업,20210804,29900,29900,28000,28000,3,699,7665000
13,A012670,환영철강공업,20210803,26600,26600,26600,26600,0,699,7665000
14,A012670,환영철강공업,20210802,26500,26700,26500,26700,2,699,7665000
15,A012670,환영철강공업,20210730,27000,27000,27000,27000,0,699,7665000
16,A012670,환영철강공업,20210729,26700,27000,26700,27000,696,699,7665000
17,A012670,환영철강공업,20210728,26100,26100,26100,26100,2,699,7665000
18,A012670,환영철강공업,20210727,28000,28000,28000,28000,2,699,7665000
19,A012670,환영철강공업,20210726,27000,27000,27000,27000,0,699,7665000
20,A012670,환영철강공업,20210723,27000,27000,27000,27000,0,699,7665000
21,A012670,환영철강공업,20210722,24700,27000,24700,27000,103,699,7665000
22,A012670,환영철강공업,20210721,19700,28000,19700,28000,5,699,7665000
23,A012670,환영철강공업,20210720,28100,29000,28000,28000,169,699,7665000
24,A012670,환영철강공업,20210719,24100,34000,24100,28900,4,699,7665000
25,A012670,환영철강공업,20210716,26000,28900,26000,28900,2,699,7665000
26,A012670,환영철강공업,20210715,29000,29000,28700,28700,9,699,7665000
27,A012670,환영철강공업,20210714,28900,28900,28900,28900,0,699,7665000
28,A012670,환영철강공업,20210713,28900,28900,28900,28900,1,699,7665000
29,A012670,환영철강공업,20210712,28500,28500,28500,28500,0,699,7665000
30,A012670,환영철강공업,20210709,28500,28500,28500,28500,0,699,7665000
31,A012670,환영철강공업,20210708,28500,28500,28500,28500,0,699,7665000
32,A012670,환영철강공업,20210707,29000,29000,29000,29000,1,699,7665000
33,A012670,환영철강공업,20210706,28500,28500,28500,28500,0,699,7665000
34,A012670,환영철강공업,20210705,28000,29000,28000,28450,198,699,7665000
35,A012670,환영철강공업,20210702,28000,28500,28000,28000,89,699,7665000
36,A012670,환영철강공업,20210701,28000,28000,28000,28000,0,699,7665000
37,A012670,환영철강공업,20210630,28000,28000,28000,28000,1,699,7665000
38,A012670,환영철강공업,20210629,26500,26600,26500,26500,881,699,7665000
39,A012670,환영철강공업,20210628,27000,27000,27000,27000,50,699,7665000
40,A012670,환영철강공업,20210625,27150,27150,27150,27150,42,699,7665000
41,A012670,환영철강공업,20210624,27150,27150,27150,27150,0,699,7665000
42,A012670,환영철강공업,20210623,27150,27150,27150,27150,0,699,7665000
43,A012670,환영철강공업,20210622,27000,27000,27000,27000,100,699,7665000
44,A012670,환영철강공업,20210621,29200,29200,29200,29200,0,699,7665000
45,A012670,환영철강공업,20210618,29150,29200,29150,29200,5,699,7665000
46,A012670,환영철강공업,20210617,29400,29400,29400,29400,1,699,7665000
47,A012670,환영철강공업,20210616,24000,29000,24000,29000,51,699,7665000
48,A012670,환영철강공업,20210615,29000,29000,29000,29000,20,699,7665000
49,A012670,환영철강공업,20210614,28800,28800,28800,28800,2,699,7665000
50,A012670,환영철강공업,20210611,27000,27000,27000,27000,0,699,7665000
51,A012670,환영철강공업,20210610,27000,27000,27000,27000,0,699,7665000
52,A012670,환영철강공업,20210609,27000,27000,27000,27000,4,699,7665000
53,A012670,환영철강공업,20210608,27450,27450,27450,27450,0,699,7665000
54,A012670,환영철강공업,20210607,27600,27600,27000,27000,387,699,7665000
55,A012670,환영철강공업,20210604,27000,27000,27000,27000,0,699,7665000
56,A012670,환영철강공업,20210603,27000,27000,27000,27000,301,699,7665000
57,A012670,환영철강공업,20210602,27000,27000,27000,27000,0,699,7665000
58,A012670,환영철강공업,20210601,27100,27200,27000,27200,302,699,7665000
59,A012670,환영철강공업,20210531,27100,27100,27100,27100,40,699,7665000
60,A012670,환영철강공업,20210528,27000,27000,27000,27000,118,699,7665000
61,A012670,환영철강공업,20210527,27600,27600,27000,27000,57,699,7665000
62,A012670,환영철강공업,20210526,27600,27600,27600,27600,20,699,7665000
63,A012670,환영철강공업,20210525,28500,28500,28500,28500,1,699,7665000
64,A012670,환영철강공업,20210524,28300,28300,28300,28300,20,699,7665000
65,A012670,환영철강공업,20210521,28000,28000,28000,28000,0,699,7665000
66,A012670,환영철강공업,20210520,28000,28000,28000,28000,0,699,7665000
67,A012670,환영철강공업,20210518,28000,28000,28000,28000,20,699,7665000
68,A012670,환영철강공업,20210517,28200,28200,28200,28200,0,699,7665000
69,A012670,환영철강공업,20210514,28600,28600,28000,28000,33,699,7665000
70,A012670,환영철강공업,20210513,22000,30000,22000,30000,402,699,7665000
71,A012670,환영철강공업,20210512,28000,28500,25100,26100,668,699,7665000
72,A012670,환영철강공업,20210511,30000,30000,29500,29500,2,699,7665000
73,A012670,환영철강공업,20210510,30000,30000,29000,29000,101,699,7665000
74,A012670,환영철강공업,20210507,25000,29500,25000,29500,30,699,7665000
75,A012670,환영철강공업,20210506,27150,27150,27150,27150,0,699,7665000
76,A012670,환영철강공업,20210504,28400,28400,27000,27000,334,699,7665000
77,A012670,환영철강공업,20210503,28400,28400,28400,28400,557,699,7665000
78,A012670,환영철강공업,20210430,29150,29150,28000,28000,501,699,7665000
79,A012670,환영철강공업,20210429,30000,30000,29100,29100,21,699,7665000
80,A012670,환영철강공업,20210428,29000,29500,29000,29500,90,699,7665000
81,A012670,환영철강공업,20210427,28000,29000,28000,29000,367,699,7665000
82,A012670,환영철강공업,20210426,28000,28000,28000,28000,0,699,7665000
83,A012670,환영철강공업,20210423,28000,28000,28000,28000,0,699,7665000
84,A012670,환영철강공업,20210422,28000,28000,28000,28000,70,699,7665000
85,A012670,환영철강공업,20210421,27800,27800,27800,27800,0,699,7665000
86,A012670,환영철강공업,20210420,27500,28000,27500,28000,191,699,7665000
87,A012670,환영철강공업,20210419,29900,29900,26000,26000,3,699,7665000
88,A012670,환영철강공업,20210416,27550,27550,27550,27550,0,699,7665000
89,A012670,환영철강공업,20210415,27550,27550,27550,27550,0,699,7665000
90,A012670,환영철강공업,20210414,27900,27900,27500,27500,221,699,7665000
91,A012670,환영철강공업,20210413,27300,28050,24900,24900,110,699,7665000
92,A012670,환영철강공업,20210412,37300,37300,25500,29000,43,699,7665000
93,A012670,환영철강공업,20210409,40000,44000,24400,27500,9,699,7665000
94,A012670,환영철강공업,20210408,33900,33900,33900,33900,1,699,7665000
