,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A298050,효성첨단소재,20210823,520000,531000,514000,531000,22376,008,4479000
1,A298050,효성첨단소재,20210820,539000,544000,513000,519000,84442,008,4479000
2,A298050,효성첨단소재,20210819,546000,563000,536000,539000,59623,008,4479000
3,A298050,효성첨단소재,20210818,548000,561000,535000,554000,47328,008,4479000
4,A298050,효성첨단소재,20210817,572000,572000,548000,550000,64097,008,4479000
5,A298050,효성첨단소재,20210813,576000,579000,556000,572000,62839,008,4479000
6,A298050,효성첨단소재,20210812,552000,575000,552000,570000,85798,008,4479000
7,A298050,효성첨단소재,20210811,580000,580000,544000,547000,133436,008,4479000
8,A298050,효성첨단소재,20210810,589000,595000,578000,580000,47505,008,4479000
9,A298050,효성첨단소재,20210809,575000,589000,574000,582000,54407,008,4479000
10,A298050,효성첨단소재,20210806,593000,598000,581000,581000,47750,008,4479000
11,A298050,효성첨단소재,20210805,593000,593000,584000,591000,49887,008,4479000
12,A298050,효성첨단소재,20210804,590000,595000,579000,589000,61463,008,4479000
13,A298050,효성첨단소재,20210803,586000,605000,578000,593000,91690,008,4479000
14,A298050,효성첨단소재,20210802,613000,622000,572000,588000,180324,008,4479000
15,A298050,효성첨단소재,20210730,635000,637000,603000,614000,187570,008,4479000
16,A298050,효성첨단소재,20210729,607000,646000,602000,642000,193882,008,4479000
17,A298050,효성첨단소재,20210728,596000,604000,586000,602000,54185,008,4479000
18,A298050,효성첨단소재,20210727,606000,619000,595000,597000,66592,008,4479000
19,A298050,효성첨단소재,20210726,604000,625000,600000,604000,85710,008,4479000
20,A298050,효성첨단소재,20210723,621000,627000,600000,610000,92568,008,4479000
21,A298050,효성첨단소재,20210722,585000,615000,575000,610000,147830,008,4479000
22,A298050,효성첨단소재,20210721,582000,602000,573000,580000,121848,008,4479000
23,A298050,효성첨단소재,20210720,581000,592000,558000,573000,135637,008,4479000
24,A298050,효성첨단소재,20210719,571000,609000,558000,586000,174126,008,4479000
25,A298050,효성첨단소재,20210716,625000,661000,571000,583000,421245,008,4479000
26,A298050,효성첨단소재,20210715,573000,638000,571000,634000,268479,008,4479000
27,A298050,효성첨단소재,20210714,552000,572000,548000,568000,112789,008,4479000
28,A298050,효성첨단소재,20210713,517000,560000,511000,552000,129946,008,4479000
29,A298050,효성첨단소재,20210712,514000,521000,503000,514000,79147,008,4479000
30,A298050,효성첨단소재,20210709,485500,514000,481000,513000,140546,008,4479000
31,A298050,효성첨단소재,20210708,490500,501000,483500,491500,106479,008,4479000
32,A298050,효성첨단소재,20210707,468000,493500,464000,487000,126818,008,4479000
33,A298050,효성첨단소재,20210706,451000,471000,450000,467500,115066,008,4479000
34,A298050,효성첨단소재,20210705,464500,468500,446000,448000,79703,008,4479000
35,A298050,효성첨단소재,20210702,458000,468000,447000,455000,69586,008,4479000
36,A298050,효성첨단소재,20210701,440000,473000,438500,454000,161813,008,4479000
37,A298050,효성첨단소재,20210630,426000,444500,422000,440500,92203,008,4479000
38,A298050,효성첨단소재,20210629,418000,427500,413000,426000,73160,008,4479000
39,A298050,효성첨단소재,20210628,430500,434500,412000,415000,104609,008,4479000
40,A298050,효성첨단소재,20210625,413500,443000,409500,429000,192556,008,4479000
41,A298050,효성첨단소재,20210624,410500,420500,408000,410500,75989,008,4479000
42,A298050,효성첨단소재,20210623,419500,426500,405000,413500,149437,008,4479000
43,A298050,효성첨단소재,20210622,385500,414500,383000,414000,186088,008,4479000
44,A298050,효성첨단소재,20210621,388500,391000,381000,382500,52559,008,4479000
45,A298050,효성첨단소재,20210618,399500,400000,390500,393500,61032,008,4479000
46,A298050,효성첨단소재,20210617,380000,398000,377500,396000,110634,008,4479000
47,A298050,효성첨단소재,20210616,388500,393500,377000,383000,79050,008,4479000
48,A298050,효성첨단소재,20210615,374000,389000,367000,387000,113595,008,4479000
49,A298050,효성첨단소재,20210614,360000,376000,360000,372500,85804,008,4479000
50,A298050,효성첨단소재,20210611,362500,369000,356500,361000,107847,008,4479000
