,종목코드,종목명,날짜,시가,고가,저가,종가,거래량,증권전산업종코드,발행주식수
0,A215620,흥국 S&P코리아로우볼,20210823,12020,12020,12020,12020,5,000,480000
1,A215620,흥국 S&P코리아로우볼,20210820,12105,12105,11890,11890,334,000,480000
2,A215620,흥국 S&P코리아로우볼,20210819,12355,12360,12055,12055,340,000,480000
3,A215620,흥국 S&P코리아로우볼,20210818,12415,12415,12410,12410,20,000,480000
4,A215620,흥국 S&P코리아로우볼,20210817,12320,12360,12320,12360,110,000,480000
5,A215620,흥국 S&P코리아로우볼,20210813,12570,12570,12570,12570,0,000,480000
6,A215620,흥국 S&P코리아로우볼,20210812,12690,12690,12690,12690,0,000,480000
7,A215620,흥국 S&P코리아로우볼,20210811,12690,12690,12690,12690,0,000,480000
8,A215620,흥국 S&P코리아로우볼,20210810,12705,12705,12705,12705,0,000,480000
9,A215620,흥국 S&P코리아로우볼,20210809,12730,12730,12730,12730,0,000,480000
10,A215620,흥국 S&P코리아로우볼,20210806,12785,12785,12785,12785,0,000,480000
11,A215620,흥국 S&P코리아로우볼,20210805,12785,12785,12785,12785,60,000,480000
12,A215620,흥국 S&P코리아로우볼,20210804,12735,12735,12735,12735,0,000,480000
13,A215620,흥국 S&P코리아로우볼,20210803,12635,12635,12535,12580,323,000,480000
14,A215620,흥국 S&P코리아로우볼,20210802,12710,12710,12710,12710,0,000,480000
15,A215620,흥국 S&P코리아로우볼,20210730,12740,12740,12710,12710,7,000,480000
16,A215620,흥국 S&P코리아로우볼,20210729,12735,12735,12735,12735,0,000,480000
17,A215620,흥국 S&P코리아로우볼,20210728,12660,12660,12660,12660,196,000,480000
18,A215620,흥국 S&P코리아로우볼,20210727,12675,12675,12675,12675,55,000,480000
19,A215620,흥국 S&P코리아로우볼,20210726,12670,12670,12670,12670,55,000,480000
20,A215620,흥국 S&P코리아로우볼,20210723,12690,12715,12675,12715,900,000,480000
21,A215620,흥국 S&P코리아로우볼,20210722,12670,12680,12665,12680,249,000,480000
22,A215620,흥국 S&P코리아로우볼,20210721,12650,12650,12590,12610,1021,000,480000
23,A215620,흥국 S&P코리아로우볼,20210720,12610,12735,12610,12710,1010,000,480000
24,A215620,흥국 S&P코리아로우볼,20210719,12790,12790,12705,12730,916,000,480000
25,A215620,흥국 S&P코리아로우볼,20210716,12770,12840,12735,12835,1218,000,480000
26,A215620,흥국 S&P코리아로우볼,20210715,12710,12710,12710,12710,0,000,480000
27,A215620,흥국 S&P코리아로우볼,20210714,12590,12590,12590,12590,20,000,480000
28,A215620,흥국 S&P코리아로우볼,20210713,12665,12700,12665,12665,327,000,480000
29,A215620,흥국 S&P코리아로우볼,20210712,12550,12560,12520,12560,503,000,480000
30,A215620,흥국 S&P코리아로우볼,20210709,12365,12365,12365,12365,50,000,480000
31,A215620,흥국 S&P코리아로우볼,20210708,12660,12660,12660,12660,0,000,480000
32,A215620,흥국 S&P코리아로우볼,20210707,12880,12880,12725,12730,1610,000,480000
33,A215620,흥국 S&P코리아로우볼,20210706,12900,12905,12900,12905,47,000,480000
34,A215620,흥국 S&P코리아로우볼,20210705,12810,12810,12810,12810,126,000,480000
35,A215620,흥국 S&P코리아로우볼,20210702,12830,12830,12830,12830,16,000,480000
36,A215620,흥국 S&P코리아로우볼,20210701,12830,12830,12830,12830,0,000,480000
37,A215620,흥국 S&P코리아로우볼,20210630,12885,12885,12885,12885,0,000,480000
38,A215620,흥국 S&P코리아로우볼,20210629,12875,12875,12875,12875,0,000,480000
39,A215620,흥국 S&P코리아로우볼,20210628,12875,12875,12875,12875,0,000,480000
40,A215620,흥국 S&P코리아로우볼,20210625,12770,12770,12770,12770,89,000,480000
41,A215620,흥국 S&P코리아로우볼,20210624,12660,12660,12660,12660,0,000,480000
42,A215620,흥국 S&P코리아로우볼,20210623,12630,12630,12630,12630,2,000,480000
43,A215620,흥국 S&P코리아로우볼,20210622,12680,12680,12680,12680,7,000,480000
44,A215620,흥국 S&P코리아로우볼,20210621,12785,12785,12650,12650,164,000,480000
45,A215620,흥국 S&P코리아로우볼,20210618,12810,12900,12810,12900,81,000,480000
46,A215620,흥국 S&P코리아로우볼,20210617,12885,12885,12865,12865,163,000,480000
47,A215620,흥국 S&P코리아로우볼,20210616,12885,12945,12885,12885,158,000,480000
48,A215620,흥국 S&P코리아로우볼,20210615,12780,12780,12780,12780,39,000,480000
49,A215620,흥국 S&P코리아로우볼,20210614,12800,12800,12800,12800,0,000,480000
50,A215620,흥국 S&P코리아로우볼,20210611,12800,12800,12800,12800,0,000,480000
